,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732146964432,0,READ,487,4767.74,3.42,45.11,4.2,154.75,279.81,4767.74
1,1732146964432,1,READ,491,640.0,5.79,218.74,199.04,272.38,558.59,640.0
2,1732146964432,2,READ,491,1270.78,5.9,194.16,167.29,244.48,556.54,1270.78
3,1732146964432,3,READ,491,589.31,5.45,187.1,165.63,261.76,515.58,589.31
4,1732146964934,0,READ,501,402.94,3.38,21.23,3.96,136.06,193.28,308.99
5,1732146964934,1,READ,501,672.25,4.28,204.76,181.63,270.85,573.95,664.06
6,1732146964934,2,READ,501,596.48,5.26,184.93,166.27,237.06,541.18,563.2
7,1732146964934,3,READ,501,731.13,5.22,186.54,169.34,245.5,533.5,633.86
8,1732146965435,0,READ,501,475.65,3.35,17.54,3.95,9.39,214.27,438.01
9,1732146965435,1,READ,502,639.49,5.82,206.11,188.8,281.6,563.71,582.65
10,1732146965435,2,READ,503,619.52,6.04,183.13,166.78,234.5,535.04,607.74
11,1732146965435,3,READ,503,848.38,5.58,186.46,168.19,255.74,540.67,684.54
12,1732146965940,0,READ,504,385.02,3.43,15.94,3.97,6.09,226.3,306.18
13,1732146965940,1,READ,504,673.28,4.52,200.18,199.29,261.5,413.95,554.5
14,1732146965940,2,READ,503,566.27,4.82,174.26,166.14,231.04,394.5,562.17
15,1732146965940,3,READ,501,626.69,4.92,176.63,168.57,235.52,399.87,509.69
16,1732146966441,0,READ,501,217.6,3.42,14.7,3.91,5.8,206.21,216.57
17,1732146966441,1,READ,501,640.0,4.56,196.55,189.69,276.48,391.94,578.56
18,1732146966441,2,READ,501,619.52,5.12,170.07,165.63,227.33,376.83,549.89
19,1732146966441,3,READ,501,688.64,5.3,176.76,170.24,246.01,344.32,535.04
20,1732146966942,0,READ,501,302.33,3.37,14.62,4.04,5.97,198.91,248.45
21,1732146966942,1,READ,501,790.53,4.29,205.16,203.26,267.01,595.97,608.25
22,1732146966942,2,READ,501,630.27,5.06,172.49,164.86,236.16,553.98,629.76
23,1732146966942,3,READ,501,610.3,4.88,169.04,162.56,232.32,536.58,554.5
24,1732146967444,0,READ,501,451.33,3.51,14.05,3.98,5.66,225.92,379.65
25,1732146967444,1,READ,502,932.35,4.26,200.18,191.62,271.87,534.01,667.13
26,1732146967444,2,READ,502,647.68,5.22,169.93,163.33,219.01,504.06,628.74
27,1732146967444,3,READ,501,874.5,4.6,171.12,164.35,234.88,516.35,676.86
28,1732146967945,0,READ,501,338.94,3.5,15.5,4.05,5.77,193.92,324.61
29,1732146967945,1,READ,501,642.56,4.2,194.51,194.69,256.77,577.53,604.16
30,1732146967945,2,READ,501,564.22,4.43,169.5,162.18,239.1,532.99,560.64
31,1732146967945,3,READ,502,540.16,4.71,169.01,163.46,243.97,530.43,539.13
32,1732146968446,0,READ,501,323.07,3.44,11.9,4.1,5.76,183.81,313.86
33,1732146968446,1,READ,501,584.7,4.49,192.53,182.53,266.75,441.6,568.32
34,1732146968446,2,READ,501,529.41,4.73,167.97,162.43,220.03,390.4,521.47
35,1732146968446,3,READ,501,558.08,5.52,171.96,164.86,235.01,416.0,517.38
36,1732146968948,0,READ,501,452.61,3.44,15.42,4.08,7.66,216.45,358.91
37,1732146968948,1,READ,502,589.82,4.52,196.8,189.18,278.01,572.93,583.17
38,1732146968948,2,READ,503,618.5,5.06,176.63,165.63,242.43,544.25,552.45
39,1732146968948,3,READ,503,549.89,5.21,171.3,162.05,235.52,525.82,549.89
40,1732146969452,0,READ,504,247.42,3.5,11.53,4.02,6.43,178.81,229.89
41,1732146969452,1,READ,504,659.97,4.91,198.69,194.69,262.4,582.65,640.0
42,1732146969452,2,READ,502,653.31,5.27,180.53,173.69,241.15,522.5,629.76
43,1732146969452,3,READ,501,582.14,4.86,164.46,155.52,235.9,505.86,553.47
44,1732146969953,0,READ,501,497.92,3.46,13.53,3.94,6.07,268.8,305.41
45,1732146969953,1,READ,501,670.21,4.69,198.68,181.25,276.22,455.42,604.16
46,1732146969953,2,READ,502,553.47,5.11,184.8,173.95,252.8,403.2,515.07
47,1732146969953,3,READ,500,610.82,5.01,170.64,159.87,234.11,420.61,551.93
48,1732146970454,0,READ,501,304.64,3.42,10.03,3.93,5.29,174.21,258.05
49,1732146970454,1,READ,501,660.99,4.43,201.55,195.97,257.15,591.36,646.65
50,1732146970454,2,READ,501,603.13,5.38,184.33,175.62,246.27,507.39,573.44
51,1732146970454,3,READ,501,595.46,4.98,168.64,157.31,247.68,537.6,589.82
52,1732146970956,0,READ,501,249.34,3.46,11.54,3.95,9.54,200.32,230.53
53,1732146970956,1,READ,502,698.37,4.44,179.32,174.08,244.86,541.18,611.84
54,1732146970956,2,READ,502,666.11,4.93,175.25,167.81,238.34,439.04,654.85
55,1732146970956,3,READ,503,538.11,4.76,164.3,157.57,230.53,463.87,529.92
56,1732146971460,0,READ,504,464.89,3.35,12.66,3.95,7.27,197.12,315.39
57,1732146971460,1,READ,503,513.79,5.7,175.09,163.58,236.41,421.38,513.02
58,1732146971460,2,READ,503,594.94,5.77,180.13,169.6,222.97,509.44,569.86
