,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732150778267,0,READ,484,5132.29,3.43,47.53,4.24,148.48,286.21,5132.29
1,1732150778267,1,READ,488,470.27,3.26,35.32,4.28,168.7,323.07,470.27
2,1732150778267,2,READ,488,375.3,3.63,34.99,4.99,163.71,282.11,375.3
3,1732150778267,3,READ,487,2134.01,3.41,41.32,4.25,165.12,356.86,2134.01
4,1732150778769,0,READ,501,463.36,3.43,26.34,4.0,141.31,244.99,341.76
5,1732150778769,1,READ,501,356.1,3.54,22.84,4.21,16.77,243.07,296.19
6,1732150778769,2,READ,501,577.53,3.79,21.82,4.68,7.17,240.25,398.85
7,1732150778769,3,READ,501,417.02,3.42,24.1,4.19,149.76,258.43,392.96
8,1732150779270,0,READ,501,194.3,3.47,16.69,4.11,9.75,167.42,181.12
9,1732150779270,1,READ,501,547.33,3.39,20.71,4.21,9.74,220.29,422.65
10,1732150779270,2,READ,501,647.68,3.77,24.74,4.6,37.12,283.65,576.51
11,1732150779270,3,READ,501,413.95,3.53,17.85,4.21,8.2,239.87,343.55
12,1732150779772,0,READ,501,334.59,3.48,15.64,4.01,6.29,188.16,253.18
13,1732150779772,1,READ,501,354.56,3.56,16.91,4.19,6.62,199.29,331.77
14,1732150779772,2,READ,502,335.62,3.79,18.19,4.6,7.66,242.94,266.75
15,1732150779772,3,READ,502,480.77,2.69,22.58,4.18,8.62,216.7,409.34
16,1732150780273,0,READ,501,239.36,3.38,13.75,3.96,6.36,177.28,198.4
17,1732150780273,1,READ,501,544.25,2.77,19.48,4.26,7.62,215.55,349.69
18,1732150780273,2,READ,501,618.5,3.77,17.2,4.51,6.25,225.66,512.0
19,1732150780273,3,READ,501,395.77,3.46,16.93,4.16,5.77,233.85,252.03
20,1732150780774,0,READ,501,457.98,3.4,13.81,4.11,6.03,197.25,292.61
21,1732150780774,1,READ,501,349.69,3.56,16.23,4.13,6.16,211.07,315.9
22,1732150780774,2,READ,501,512.77,3.72,21.25,4.62,7.27,235.13,357.89
23,1732150780774,3,READ,501,330.75,3.59,13.75,4.2,6.2,204.67,325.63
24,1732150781275,0,READ,501,227.58,3.4,13.08,3.98,5.53,175.49,220.8
25,1732150781275,1,READ,501,500.22,3.47,19.49,4.25,7.1,241.79,362.5
26,1732150781275,2,READ,501,589.31,3.5,16.1,4.46,6.25,202.5,333.57
27,1732150781275,3,READ,501,328.96,3.57,15.8,4.1,6.01,221.31,282.11
28,1732150781777,0,READ,501,398.85,3.45,17.55,4.03,5.86,178.43,333.82
29,1732150781777,1,READ,501,323.33,3.42,13.87,4.14,6.19,202.75,242.81
30,1732150781777,2,READ,502,364.29,3.5,18.78,4.56,7.27,262.01,349.18
31,1732150781777,3,READ,502,402.94,3.59,17.3,4.16,5.96,239.23,348.67
32,1732150782278,0,READ,501,356.61,2.81,15.12,3.98,9.81,224.38,321.02
33,1732150782278,1,READ,502,335.87,3.46,15.84,4.17,8.88,221.95,317.69
34,1732150782278,2,READ,501,512.77,3.82,19.67,4.58,10.73,259.58,424.45
35,1732150782278,3,READ,501,515.07,3.62,20.02,4.21,10.4,244.35,355.07
36,1732150782780,0,READ,502,534.01,3.39,14.92,3.97,6.73,169.47,227.71
37,1732150782780,1,READ,501,309.76,3.56,16.98,4.23,7.44,214.4,254.46
38,1732150782780,2,READ,501,599.04,3.77,18.49,4.55,7.35,248.7,498.94
39,1732150782780,3,READ,502,331.01,3.58,12.9,4.13,6.01,239.74,275.2
40,1732150783281,0,READ,501,451.58,3.46,12.99,3.99,7.7,178.43,268.03
41,1732150783281,1,READ,501,246.78,3.54,11.33,4.13,5.73,217.22,243.07
42,1732150783281,2,READ,501,347.65,3.69,13.86,4.52,6.66,202.24,260.1
43,1732150783281,3,READ,501,257.41,3.46,12.9,4.06,5.69,210.05,233.22
44,1732150783782,0,READ,501,671.74,3.49,14.61,4.02,6.14,191.36,362.24
45,1732150783782,1,READ,500,487.94,3.5,15.26,4.1,5.77,257.28,465.92
46,1732150783782,2,READ,501,203.26,3.76,13.21,4.42,6.38,186.62,195.33
47,1732150783782,3,READ,501,414.72,3.58,11.71,4.09,5.76,202.62,341.5
48,1732150784283,0,READ,501,261.38,3.46,9.75,3.98,5.82,168.83,216.57
49,1732150784283,1,READ,501,487.17,3.43,16.39,4.07,5.99,211.71,326.4
50,1732150784283,2,READ,501,424.19,3.75,16.12,4.49,6.42,191.1,394.24
51,1732150784283,3,READ,501,267.26,3.51,14.09,4.14,5.83,201.34,253.31
52,1732150784785,0,READ,501,510.46,3.36,13.67,3.99,7.99,182.53,274.69
53,1732150784785,1,READ,501,337.15,3.48,13.81,4.05,8.28,222.34,272.89
54,1732150784785,2,READ,501,604.67,3.62,15.71,4.42,9.58,280.06,362.75
55,1732150784785,3,READ,501,350.21,3.57,11.99,4.09,8.05,204.16,282.11
56,1732150785286,0,READ,501,256.51,3.43,11.54,3.91,5.7,168.57,231.04
57,1732150785286,1,READ,501,355.58,2.7,14.43,3.97,5.95,239.1,339.45
58,1732150785286,2,READ,502,644.1,3.63,13.27,4.38,7.17,235.13,521.73
59,1732150785286,3,READ,501,446.72,3.58,13.63,4.03,6.45,218.88,278.53
60,1732150785787,0,READ,501,219.65,3.54,11.44,4.0,5.84,164.61,197.5
61,1732150785787,1,READ,501,509.18,3.36,14.41,3.94,7.48,254.85,322.56
62,1732150785787,2,READ,501,518.14,3.53,14.74,4.33,7.02,243.46,266.24
63,1732150785787,3,READ,501,591.87,3.48,15.69,4.1,6.2,258.56,411.65
