,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732021183870,0,READ,484,456.7,3.56,6.68,4.06,4.48,8.35,456.7
1,1732021183870,1,READ,490,729.09,5.87,189.61,167.68,244.48,528.38,729.09
2,1732021183870,2,READ,490,716.29,6.55,242.48,219.65,318.72,613.38,716.29
3,1732021183870,3,READ,478,14311.42,5.66,209.96,164.74,242.18,452.86,14311.42
4,1732021184371,0,READ,501,308.99,3.55,4.81,4.11,4.45,5.33,23.18
5,1732021184371,1,READ,502,807.42,5.25,189.0,168.45,257.92,544.77,614.91
6,1732021184371,2,READ,501,684.03,5.97,232.73,216.32,288.25,609.28,662.01
7,1732021184371,3,READ,501,603.65,5.5,182.04,167.17,250.75,474.62,557.57
8,1732021184873,0,READ,502,489.98,3.62,5.38,4.2,4.67,11.55,39.07
9,1732021184873,1,READ,502,566.78,6.93,180.03,166.14,239.23,532.99,565.25
10,1732021184873,2,READ,503,670.72,6.15,210.59,195.07,275.45,600.06,621.57
11,1732021184873,3,READ,504,552.45,6.0,174.88,165.5,220.93,461.31,537.09
12,1732021185378,0,READ,504,24.7,3.63,4.49,4.26,4.9,6.46,24.09
13,1732021185378,1,READ,503,616.96,5.66,177.07,166.53,257.66,364.8,546.3
14,1732021185378,2,READ,503,676.35,6.06,205.2,200.32,256.64,419.07,601.6
15,1732021185378,3,READ,503,565.25,5.87,171.32,163.84,234.75,387.58,547.84
16,1732021185879,0,READ,501,9.46,3.69,4.25,4.2,4.62,5.25,6.66
17,1732021185879,1,READ,501,722.94,5.24,168.83,163.58,230.66,392.7,545.79
18,1732021185879,2,READ,501,759.81,5.95,196.43,184.7,269.06,428.29,567.81
19,1732021185879,3,READ,501,538.62,5.6,165.19,162.56,221.44,376.32,493.06
20,1732021186381,0,READ,502,25.61,3.63,4.38,4.16,4.61,6.7,23.09
21,1732021186381,1,READ,502,708.1,5.48,171.64,163.2,246.53,543.23,692.74
22,1732021186381,2,READ,502,636.41,5.96,193.45,189.69,247.81,584.7,604.16
23,1732021186381,3,READ,501,518.4,5.18,162.88,159.62,229.38,462.08,488.19
24,1732021186883,0,READ,501,23.38,3.61,4.17,4.09,4.47,5.36,10.22
25,1732021186883,1,READ,501,642.05,5.19,166.21,162.56,220.93,424.19,612.35
26,1732021186883,2,READ,502,662.01,5.48,190.79,180.09,262.4,468.74,651.77
27,1732021186883,3,READ,502,551.42,4.54,162.22,157.31,217.34,468.99,525.31
28,1732021187384,0,READ,501,23.68,3.66,4.18,4.1,4.38,5.43,6.15
29,1732021187384,1,READ,502,696.32,4.86,168.37,162.18,243.33,535.55,557.05
30,1732021187384,2,READ,501,668.67,5.32,184.99,183.94,241.92,576.51,582.14
31,1732021187384,3,READ,501,527.36,4.39,159.11,158.08,226.69,446.72,488.96
32,1732021187886,0,READ,502,364.29,3.71,4.99,4.25,4.66,5.22,5.49
33,1732021187886,1,READ,502,551.93,5.67,164.15,159.49,224.51,363.77,515.07
34,1732021187886,2,READ,502,592.89,6.1,189.97,188.67,257.02,407.81,559.62
35,1732021187886,3,READ,502,492.54,5.11,160.06,158.46,204.93,350.72,464.64
36,1732021188388,0,READ,502,349.95,3.68,5.73,4.48,5.31,14.94,37.5
37,1732021188388,1,READ,502,690.17,5.46,196.55,175.74,258.18,545.79,632.83
38,1732021188388,2,READ,503,584.7,5.49,183.42,178.05,236.29,515.58,578.56
39,1732021188388,3,READ,504,594.94,5.43,189.33,179.58,242.43,508.16,577.02
40,1732021188892,0,READ,504,5.78,3.57,4.32,4.27,4.81,5.46,5.65
41,1732021188892,1,READ,503,624.64,6.21,197.22,195.07,263.94,551.93,603.13
42,1732021188892,2,READ,503,636.41,6.17,175.73,169.47,236.41,495.36,629.76
43,1732021188892,3,READ,502,620.03,5.91,191.48,199.17,253.95,486.4,609.79
44,1732021189394,0,READ,502,26.67,3.66,4.47,4.29,4.8,6.59,23.18
45,1732021189394,1,READ,502,598.01,6.09,207.6,218.88,253.69,431.36,579.58
46,1732021189394,2,READ,502,499.97,6.56,182.93,172.16,253.82,419.07,487.94
47,1732021189394,3,READ,502,622.59,5.86,193.76,173.95,257.02,469.25,535.55
48,1732021189896,0,READ,501,23.87,3.65,4.2,4.13,4.51,4.92,5.54
49,1732021189896,1,READ,502,663.04,5.53,198.16,193.92,258.94,505.86,579.07
50,1732021189896,2,READ,502,623.62,6.04,177.08,168.96,232.57,481.79,590.34
51,1732021189896,3,READ,502,643.58,5.7,191.78,187.01,259.07,444.42,610.82
52,1732021190398,0,READ,501,33.95,3.46,4.29,4.11,4.57,6.57,22.35
53,1732021190398,1,READ,502,1093.63,5.46,188.06,178.18,245.76,507.13,588.8
54,1732021190398,2,READ,503,605.18,6.2,175.36,169.85,242.94,481.28,527.87
55,1732021190398,3,READ,504,609.79,5.71,175.62,164.61,236.16,462.33,551.93
56,1732021190902,0,READ,505,18.94,3.56,4.55,4.46,5.05,5.82,10.87
57,1732021190902,1,READ,504,608.25,6.18,193.21,173.18,265.21,473.86,578.05
58,1732021190902,2,READ,503,610.3,7.5,183.68,173.31,239.49,455.17,591.87
59,1732021190902,3,READ,502,509.18,6.86,169.6,160.64,224.38,442.88,504.57
60,1732021191404,0,READ,501,25.02,3.62,4.3,4.19,4.65,5.66,23.92
61,1732021191404,1,READ,502,550.4,5.6,186.45,182.01,244.86,439.55,547.33
62,1732021191404,2,READ,502,639.49,6.37,178.78,173.82,237.69,489.47,593.92
63,1732021191404,3,READ,502,612.86,5.87,169.88,164.35,238.72,417.54,608.25
64,1732021191906,0,READ,501,5.97,3.54,4.09,4.05,4.4,4.81,5.67
65,1732021191906,1,READ,501,577.53,5.87,189.64,171.78,260.74,500.74,571.39
66,1732021191906,2,READ,501,566.78,6.74,178.77,170.24,223.62,499.97,537.09
67,1732021191906,3,READ,501,520.45,4.49,168.58,159.87,225.02,444.16,500.99
68,1732021192407,0,READ,501,41.85,3.58,4.26,4.05,4.41,7.86,19.9
69,1732021192407,1,READ,503,574.98,5.54,179.54,179.33,230.91,481.02,551.42
70,1732021192407,2,READ,503,626.69,5.92,175.45,170.5,231.17,480.51,512.77
71,1732021192407,3,READ,504,503.81,4.73,164.47,159.23,238.34,390.65,502.27
72,1732021192912,0,READ,505,20.11,3.5,4.09,4.0,4.37,5.36,11.52
73,1732021192912,1,READ,504,582.65,6.37,194.16,194.56,259.45,514.56,577.02
74,1732021192912,2,READ,502,649.22,6.95,179.68,169.34,244.61,506.62,600.58
75,1732021192912,3,READ,502,545.79,6.22,168.87,157.82,225.41,486.4,514.05
76,1732021193414,0,READ,501,23.49,3.47,4.21,4.07,4.58,5.78,20.19
77,1732021193414,1,READ,501,685.05,5.76,189.98,182.53,237.95,538.11,578.56
78,1732021193414,2,READ,501,628.74,6.91,182.54,172.29,233.09,491.01,607.74
79,1732021193414,3,READ,502,646.65,4.91,176.3,163.97,251.01,479.23,538.11
80,1732021193915,0,READ,501,309.76,3.44,5.08,4.45,5.09,6.0,6.35
81,1732021193915,1,READ,501,624.13,5.98,187.51,193.28,259.33,507.13,584.7
82,1732021193915,2,READ,502,637.95,6.42,173.45,173.44,237.69,440.83,535.55
83,1732021193915,3,READ,502,510.21,5.12,160.93,160.13,214.91,438.27,505.86
84,1732021194417,0,READ,502,297.98,3.52,4.95,4.22,4.66,7.57,23.89
85,1732021194417,1,READ,502,608.77,5.85,182.45,181.25,227.97,499.45,576.51
86,1732021194417,2,READ,501,608.77,6.27,177.45,171.65,230.53,488.45,548.86
87,1732021194417,3,READ,501,527.36,5.91,168.42,160.51,242.81,452.86,500.74
88,1732021194919,0,READ,501,54.66,3.42,4.37,4.17,4.64,6.42,20.62
89,1732021194919,1,READ,501,595.97,5.7,186.32,194.94,252.29,448.77,576.0
90,1732021194919,2,READ,501,630.78,6.38,175.99,172.8,227.71,486.4,592.38
91,1732021194919,3,READ,501,517.12,5.23,162.96,156.29,214.14,477.18,506.37
