,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732146412589,0,READ,487,244.74,3.65,5.51,4.12,4.56,10.89,244.74
1,1732146412589,1,READ,492,556.54,5.42,220.37,232.19,255.87,428.03,556.54
2,1732146412589,2,READ,493,656.89,5.57,211.98,190.46,268.03,358.65,656.89
3,1732146412589,3,READ,493,557.57,5.7,214.7,195.07,283.39,409.34,557.57
4,1732146413091,0,READ,501,18.35,3.7,4.23,4.13,4.48,5.39,15.2
5,1732146413091,1,READ,502,578.05,5.34,207.46,210.18,262.01,354.05,545.79
6,1732146413091,2,READ,501,608.25,5.9,208.14,192.25,278.78,432.38,569.86
7,1732146413091,3,READ,501,594.43,5.38,224.99,223.1,268.03,358.91,550.91
8,1732146413592,0,READ,501,47.13,3.75,4.25,4.11,4.42,4.92,12.36
9,1732146413592,1,READ,502,730.62,5.07,205.36,219.9,260.86,332.54,670.21
10,1732146413592,2,READ,503,748.54,5.21,210.82,205.18,279.55,399.1,687.1
11,1732146413592,3,READ,504,683.01,5.28,220.18,219.65,278.53,407.3,628.74
12,1732146414097,0,READ,505,451.07,3.73,5.08,4.14,4.45,4.91,19.28
13,1732146414097,1,READ,503,1129.47,5.03,213.8,222.21,271.62,353.02,611.33
14,1732146414097,2,READ,503,1143.81,5.19,218.68,225.15,277.5,423.68,508.67
15,1732146414097,3,READ,502,1068.03,5.09,216.91,224.77,273.15,479.49,577.02
16,1732146414598,0,READ,501,258.05,3.54,5.37,3.96,4.21,15.27,228.35
17,1732146414598,1,READ,501,337.15,4.97,215.42,233.6,256.64,291.33,295.94
18,1732146414598,2,READ,501,328.19,5.2,216.38,233.73,254.72,292.86,323.84
19,1732146414598,3,READ,501,355.84,5.22,215.15,237.57,259.45,297.73,339.2
20,1732146415099,0,READ,501,17.87,3.59,4.11,4.0,4.26,5.38,16.4
21,1732146415099,1,READ,501,322.3,5.5,200.67,209.66,258.43,308.48,319.23
22,1732146415099,2,READ,501,319.49,5.92,209.98,214.4,255.87,308.99,317.95
23,1732146415099,3,READ,501,325.12,5.48,199.18,211.46,262.91,304.38,316.16
24,1732146415601,0,READ,501,17.86,3.59,4.13,4.01,4.29,5.89,17.65
25,1732146415601,1,READ,501,329.47,5.09,196.21,216.57,246.27,272.64,323.84
26,1732146415601,2,READ,502,323.33,5.85,213.94,226.05,243.33,312.57,322.05
27,1732146415601,3,READ,501,326.4,5.33,196.08,182.4,252.16,282.62,291.33
28,1732146416102,0,READ,501,10.79,3.58,4.25,3.99,4.35,10.2,10.66
29,1732146416102,1,READ,501,312.83,5.34,185.89,201.6,249.6,301.06,310.53
30,1732146416102,2,READ,501,328.96,5.52,200.76,211.97,245.76,295.68,306.69
31,1732146416102,3,READ,502,324.86,5.45,182.93,169.22,258.81,277.5,316.67
32,1732146416604,0,READ,501,19.65,3.55,4.02,3.96,4.24,4.54,17.74
33,1732146416604,1,READ,501,315.39,5.37,182.04,200.19,233.98,278.01,313.09
34,1732146416604,2,READ,502,313.09,5.72,196.06,205.95,225.79,303.62,308.74
35,1732146416604,3,READ,501,320.51,5.21,182.87,168.7,241.79,277.76,320.0
36,1732146417105,0,READ,501,48.06,3.58,4.25,3.98,4.3,12.47,18.19
37,1732146417105,1,READ,502,302.59,5.74,174.78,166.78,245.38,253.31,299.26
38,1732146417105,2,READ,502,287.23,5.21,194.33,217.98,235.52,270.85,281.86
39,1732146417105,3,READ,503,313.09,4.98,172.86,167.55,251.9,263.42,290.3
40,1732146417609,0,READ,504,55.1,3.57,4.27,3.99,4.31,12.54,20.08
41,1732146417609,1,READ,503,323.33,5.34,164.63,159.74,251.39,273.15,313.34
42,1732146417609,2,READ,502,309.76,6.1,190.47,202.62,243.71,294.14,307.2
43,1732146417609,3,READ,502,283.9,5.18,166.86,166.14,225.02,277.25,282.62
44,1732146418111,0,READ,501,33.7,3.57,4.64,4.0,6.76,14.06,21.71
45,1732146418111,1,READ,501,289.02,5.22,169.57,160.9,238.21,276.99,286.21
46,1732146418111,2,READ,501,326.65,4.93,188.34,210.56,228.09,309.25,321.54
47,1732146418111,3,READ,501,294.91,5.38,170.23,166.14,236.41,262.65,291.58
48,1732146418612,0,READ,501,17.95,3.56,4.05,3.95,4.24,5.05,15.92
49,1732146418612,1,READ,501,317.18,5.62,173.37,160.0,251.26,265.73,269.57
50,1732146418612,2,READ,501,294.14,5.84,198.63,225.28,242.81,251.26,285.69
51,1732146418612,3,READ,501,281.09,4.86,164.76,163.07,217.98,274.18,280.57
52,1732146419113,0,READ,501,31.65,3.55,4.23,3.98,4.29,14.85,17.47
53,1732146419113,1,READ,502,319.49,5.02,168.44,161.92,233.6,274.43,317.95
54,1732146419113,2,READ,502,316.16,5.22,186.84,203.39,227.2,264.96,314.88
55,1732146419113,3,READ,503,281.6,5.02,161.68,164.35,220.29,257.92,275.71
56,1732146419617,0,READ,504,17.47,3.54,4.02,3.93,4.24,5.05,12.59
57,1732146419617,1,READ,503,353.54,5.27,169.37,162.94,246.27,261.38,315.13
58,1732146419617,2,READ,503,348.93,6.23,196.86,217.47,232.06,285.95,332.8
59,1732146419617,3,READ,502,276.99,5.22,163.22,165.38,206.59,263.68,275.2
60,1732146420118,0,READ,501,4.44,3.54,3.94,3.94,4.2,4.38,4.42
61,1732146420118,1,READ,501,278.01,5.36,156.83,157.69,224.77,265.21,272.89
62,1732146420118,2,READ,501,336.38,5.71,191.96,204.54,236.67,260.86,302.33
63,1732146420118,3,READ,501,253.69,5.1,159.24,166.01,212.61,249.22,251.9
64,1732146420619,0,READ,501,17.76,3.57,4.06,3.96,4.24,5.12,17.73
65,1732146420619,1,READ,501,286.72,5.22,159.78,160.0,229.38,249.09,268.54
66,1732146420619,2,READ,501,297.73,5.95,187.88,193.28,217.09,282.88,295.42
