,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732020631199,0,READ,488,4087.81,3.68,60.3,4.83,192.25,582.14,4087.81
1,1732020631199,1,READ,492,501.5,5.54,207.62,224.51,254.72,355.58,501.5
2,1732020631199,2,READ,492,629.76,6.64,220.74,222.59,271.62,456.19,629.76
3,1732020631199,3,READ,493,516.35,5.45,225.64,232.45,274.94,399.62,516.35
4,1732020631700,0,READ,501,881.15,3.37,30.62,4.53,9.64,463.62,634.88
5,1732020631700,1,READ,502,413.18,4.85,203.37,212.61,266.24,349.18,404.22
6,1732020631700,2,READ,501,451.07,6.41,208.26,216.7,273.66,377.09,430.33
7,1732020631700,3,READ,501,440.83,5.1,230.64,241.92,257.41,362.75,405.76
8,1732020632202,0,READ,501,788.99,3.66,26.93,4.76,12.27,409.6,582.14
9,1732020632202,1,READ,502,682.5,5.71,205.81,227.71,256.64,399.62,680.45
10,1732020632202,2,READ,503,688.13,6.57,212.78,229.12,266.24,349.95,379.39
11,1732020632202,3,READ,503,619.01,5.8,222.05,254.08,273.66,360.96,615.93
12,1732020632707,0,READ,504,462.33,3.74,20.05,4.56,8.93,396.03,420.35
13,1732020632707,1,READ,504,453.63,5.1,201.4,213.38,267.77,378.62,442.37
14,1732020632707,2,READ,503,527.36,5.56,209.54,222.08,276.48,361.98,465.41
15,1732020632707,3,READ,502,605.7,5.18,220.73,237.44,279.81,374.53,483.07
16,1732020633208,0,READ,501,441.09,3.78,34.55,4.69,167.04,241.79,333.57
17,1732020633208,1,READ,502,326.65,5.37,203.51,225.53,252.41,260.35,280.83
18,1732020633208,2,READ,501,296.45,5.97,205.01,194.18,257.15,268.8,287.49
19,1732020633208,3,READ,501,391.68,6.32,223.73,252.03,269.31,291.07,329.21
20,1732020633710,0,READ,502,271.87,3.7,21.17,4.41,7.44,247.81,268.54
21,1732020633710,1,READ,502,325.89,5.8,196.88,181.63,264.96,279.81,301.57
22,1732020633710,2,READ,502,323.58,7.58,207.04,212.99,267.26,281.86,321.28
23,1732020633710,3,READ,501,300.03,5.53,209.11,196.09,248.96,288.51,296.19
24,1732020634212,0,READ,501,300.03,3.73,20.24,4.57,6.51,244.09,289.54
25,1732020634212,1,READ,501,268.54,6.14,187.68,173.06,247.17,257.79,260.74
26,1732020634212,2,READ,501,344.06,6.48,200.18,225.02,249.98,274.94,337.41
27,1732020634212,3,READ,502,281.34,6.06,224.51,254.59,269.31,276.99,279.55
28,1732020634714,0,READ,501,278.01,3.78,20.66,4.84,7.88,258.05,276.74
29,1732020634714,1,READ,502,281.34,6.81,183.2,172.03,258.81,275.45,280.32
30,1732020634714,2,READ,501,314.62,6.66,189.05,204.29,253.44,273.92,308.22
31,1732020634714,3,READ,502,288.51,5.86,200.69,230.14,251.9,279.55,283.13
32,1732020635215,0,READ,502,289.02,3.66,22.23,4.43,7.25,243.58,260.48
33,1732020635215,1,READ,501,336.64,5.49,187.45,178.3,247.94,284.67,303.36
34,1732020635215,2,READ,502,348.67,6.0,190.58,217.98,243.58,327.42,334.33
35,1732020635215,3,READ,501,308.48,5.45,221.64,249.34,265.21,277.5,300.29
36,1732020635717,0,READ,501,338.18,3.7,15.22,4.46,9.6,228.22,337.41
37,1732020635717,1,READ,501,323.33,5.47,166.68,164.74,224.77,281.86,310.53
38,1732020635717,2,READ,503,321.02,6.51,173.62,169.22,247.81,301.82,317.95
39,1732020635717,3,READ,504,321.79,5.47,187.84,184.45,249.98,280.06,292.1
40,1732020636222,0,READ,504,252.41,3.72,13.46,4.53,7.1,239.1,248.45
41,1732020636222,1,READ,503,283.9,5.74,155.04,157.95,189.95,237.06,272.38
42,1732020636222,2,READ,503,364.54,6.71,164.46,167.55,212.35,241.53,338.69
43,1732020636222,3,READ,502,292.1,6.15,184.63,184.32,253.18,262.14,286.21
44,1732020636723,0,READ,502,273.92,3.59,13.91,4.52,6.4,215.42,271.36
45,1732020636723,1,READ,502,260.61,6.12,161.14,161.66,198.53,256.51,259.97
46,1732020636723,2,READ,502,321.79,6.8,167.74,169.09,222.46,271.62,311.81
47,1732020636723,3,READ,501,327.42,5.78,179.96,175.49,258.18,280.32,288.0
48,1732020637225,0,READ,501,257.02,3.66,16.11,4.25,5.96,199.81,252.67
49,1732020637225,1,READ,502,288.77,4.91,159.75,160.9,203.78,238.34,271.36
50,1732020637225,2,READ,501,315.9,6.62,169.34,170.11,214.14,238.85,280.57
51,1732020637225,3,READ,502,303.62,5.41,185.83,185.85,249.34,261.76,289.79
52,1732020637727,0,READ,502,240.9,3.72,14.63,4.46,8.89,201.34,237.57
53,1732020637727,1,READ,501,276.48,5.51,163.62,163.71,208.38,256.38,263.42
54,1732020637727,2,READ,503,304.38,5.38,168.27,170.5,223.23,259.33,279.3
55,1732020637727,3,READ,504,295.94,5.96,178.69,172.8,256.89,277.76,279.55
56,1732020638231,0,READ,504,267.01,3.78,17.03,4.58,8.39,249.85,266.5
57,1732020638231,1,READ,504,284.42,5.62,163.11,163.97,203.65,249.09,271.87
