,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732142971095,0,READ,240,5050.37,6.19,199.33,171.01,236.03,260.35,5050.37
1,1732142971095,1,READ,241,317.18,7.3,178.47,158.85,264.19,280.57,317.18
2,1732142971095,2,READ,241,669.18,6.99,257.76,200.96,413.95,595.46,669.18
3,1732142971095,3,READ,242,420.61,5.95,241.8,228.35,280.83,383.23,420.61
4,1732142971597,0,READ,250,265.98,6.95,179.59,173.06,226.81,252.03,265.98
5,1732142971597,1,READ,251,295.68,8.41,186.15,163.71,255.23,261.5,295.68
6,1732142971597,2,READ,250,677.89,7.84,250.61,230.91,405.25,638.98,677.89
7,1732142971597,3,READ,251,415.49,6.82,220.62,211.58,270.59,333.31,415.49
8,1732142972099,0,READ,250,274.94,6.01,179.34,173.44,226.43,273.92,274.94
9,1732142972099,1,READ,251,566.78,6.7,184.74,166.01,246.4,287.49,566.78
10,1732142972099,2,READ,252,631.81,6.46,254.43,220.03,423.68,619.52,631.81
11,1732142972099,3,READ,251,539.65,5.75,222.41,200.83,300.29,352.77,539.65
12,1732142972603,0,READ,253,271.1,6.07,171.41,162.18,231.04,261.5,271.1
13,1732142972603,1,READ,251,321.28,6.1,181.65,165.63,244.74,278.53,321.28
14,1732142972603,2,READ,251,605.18,6.65,253.81,209.79,405.76,570.88,605.18
15,1732142972603,3,READ,251,382.72,5.58,243.28,237.69,297.47,348.42,382.72
16,1732142973105,0,READ,250,275.2,8.02,170.37,162.81,231.29,247.81,275.2
17,1732142973105,1,READ,251,320.25,6.4,183.68,165.25,260.48,274.69,320.25
18,1732142973105,2,READ,250,611.84,6.44,238.02,236.03,389.89,569.86,611.84
19,1732142973105,3,READ,250,422.91,6.04,236.87,225.41,321.02,375.55,422.91
20,1732142973607,0,READ,250,284.42,5.7,174.14,170.24,223.36,262.91,284.42
21,1732142973607,1,READ,251,269.06,5.8,175.31,161.79,249.22,259.45,269.06
22,1732142973607,2,READ,251,667.65,6.04,257.74,230.01,421.89,604.16,667.65
23,1732142973607,3,READ,250,416.51,5.9,217.72,210.3,312.06,338.43,416.51
24,1732142974108,0,READ,251,274.94,5.9,173.45,167.81,228.48,267.52,274.94
25,1732142974108,1,READ,251,333.57,5.81,178.82,163.2,241.02,294.14,333.57
26,1732142974108,2,READ,251,666.11,5.72,254.91,218.37,442.62,595.46,666.11
27,1732142974108,3,READ,251,456.19,5.48,221.26,199.04,304.13,395.26,456.19
28,1732142974610,0,READ,251,328.7,5.77,171.49,167.42,235.01,266.24,328.7
29,1732142974610,1,READ,251,327.42,5.51,174.96,161.02,239.23,283.39,327.42
30,1732142974610,2,READ,251,700.41,5.87,247.1,205.18,404.74,574.46,700.41
31,1732142974610,3,READ,251,395.52,5.51,234.96,242.69,297.47,342.53,395.52
32,1732142975112,0,READ,251,269.82,6.1,175.4,171.9,239.74,259.71,269.82
33,1732142975112,1,READ,251,318.98,6.13,164.05,158.59,230.14,279.3,318.98
34,1732142975112,2,READ,251,605.18,5.68,237.69,198.66,396.8,578.05,605.18
35,1732142975112,3,READ,252,504.57,5.82,214.75,227.71,283.65,337.15,504.57
36,1732142975616,0,READ,252,320.25,5.94,165.6,165.5,229.76,260.86,320.25
37,1732142975616,1,READ,252,325.38,5.76,155.01,154.5,212.86,239.36,325.38
38,1732142975616,2,READ,251,748.54,5.56,230.4,221.18,376.57,606.72,748.54
39,1732142975616,3,READ,251,322.3,5.46,178.72,172.03,232.83,311.81,322.3
40,1732142976118,0,READ,251,310.27,6.59,177.16,171.01,227.33,277.76,310.27
41,1732142976118,1,READ,250,286.98,5.7,155.66,150.66,201.98,252.8,286.98
42,1732142976118,2,READ,251,610.3,7.39,241.64,209.92,412.67,531.46,610.3
43,1732142976118,3,READ,251,311.81,6.74,191.46,200.83,259.97,271.87,311.81
44,1732142976620,0,READ,251,282.88,5.41,174.61,168.57,242.3,268.29,282.88
45,1732142976620,1,READ,251,250.5,5.1,158.0,154.88,220.29,245.63,250.5
46,1732142976620,2,READ,251,698.88,5.9,237.68,202.5,394.24,579.07,698.88
47,1732142976620,3,READ,251,341.76,4.98,202.48,240.0,249.98,264.19,341.76
48,1732142977121,0,READ,251,258.56,6.19,167.95,166.78,238.34,249.73,258.56
49,1732142977121,1,READ,251,258.69,5.18,156.24,154.62,222.08,237.06,258.69
50,1732142977121,2,READ,251,589.31,6.87,233.18,229.38,384.0,562.17,589.31
51,1732142977121,3,READ,252,336.89,6.01,187.03,187.13,239.49,275.45,336.89
52,1732142977626,0,READ,252,328.7,6.51,171.85,169.73,232.7,265.73,328.7
53,1732142977626,1,READ,251,272.89,6.02,152.58,150.27,210.05,226.94,272.89
54,1732142977626,2,READ,252,620.54,7.22,239.21,218.24,388.86,597.5,620.54
55,1732142977626,3,READ,251,321.54,5.76,179.85,172.8,228.48,274.18,321.54
56,1732142978128,0,READ,251,267.01,5.38,160.92,165.76,213.89,260.22,267.01
57,1732142978128,1,READ,251,266.24,5.52,148.07,149.12,199.68,223.87,266.24
