,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732141872092,0,READ,240,4984.83,5.8,192.89,164.48,216.83,272.64,4984.83
1,1732141872092,1,READ,241,340.74,5.87,183.78,171.26,236.03,306.43,340.74
2,1732141872092,2,READ,241,307.2,5.96,202.51,195.46,261.89,270.85,307.2
3,1732141872092,3,READ,242,2181.12,5.9,182.44,163.2,244.86,257.41,2181.12
4,1732141872594,0,READ,250,454.4,6.98,176.17,166.66,219.13,267.77,454.4
5,1732141872594,1,READ,251,325.89,5.85,180.51,170.24,225.66,316.67,325.89
6,1732141872594,2,READ,250,341.76,7.02,206.58,200.19,251.9,291.33,341.76
7,1732141872594,3,READ,250,269.82,5.71,172.18,163.2,235.9,245.89,269.82
8,1732141873095,0,READ,250,267.01,5.4,166.74,160.0,213.5,264.7,267.01
9,1732141873095,1,READ,251,317.18,5.36,173.04,164.86,219.26,308.99,317.18
10,1732141873095,2,READ,252,294.14,5.95,197.11,189.82,240.0,275.97,294.14
11,1732141873095,3,READ,252,278.78,5.82,177.24,169.09,232.06,239.49,278.78
12,1732141873600,0,READ,252,315.39,5.7,168.44,163.97,209.15,253.82,315.39
13,1732141873600,1,READ,252,302.85,5.58,176.75,165.5,249.34,258.43,302.85
14,1732141873600,2,READ,251,283.39,6.52,188.65,177.02,264.96,274.69,283.39
15,1732141873600,3,READ,251,270.59,5.85,173.43,166.66,216.06,260.35,270.59
16,1732141874101,0,READ,251,260.99,5.78,172.44,166.66,229.5,252.41,260.99
17,1732141874101,1,READ,251,285.95,5.82,171.12,166.4,232.45,283.9,285.95
18,1732141874101,2,READ,251,281.6,6.21,195.89,178.94,266.75,274.69,281.6
19,1732141874101,3,READ,251,276.22,5.07,170.29,164.99,227.2,262.65,276.22
20,1732141874602,0,READ,250,305.15,5.72,172.97,167.17,235.26,293.89,305.15
21,1732141874602,1,READ,250,323.33,5.43,163.92,161.02,214.01,276.74,323.33
22,1732141874602,2,READ,250,290.56,6.12,202.12,202.5,256.13,263.42,290.56
23,1732141874602,3,READ,250,257.02,5.22,166.41,159.87,239.36,250.37,257.02
24,1732141875104,0,READ,251,285.69,5.34,171.75,165.63,227.71,262.65,285.69
25,1732141875104,1,READ,251,293.63,5.24,165.42,165.38,232.96,261.5,293.63
26,1732141875104,2,READ,251,298.5,6.14,183.0,181.12,234.88,279.3,298.5
27,1732141875104,3,READ,250,241.66,5.11,162.28,162.69,231.42,240.77,241.66
28,1732141875605,0,READ,251,271.36,5.14,166.67,164.35,214.66,267.01,271.36
29,1732141875605,1,READ,251,304.89,5.42,168.48,164.74,241.79,256.0,304.89
30,1732141875605,2,READ,251,279.04,5.59,181.03,173.44,260.61,272.89,279.04
31,1732141875605,3,READ,251,237.44,5.23,157.1,163.97,216.45,233.22,237.44
32,1732141876106,0,READ,250,273.92,5.66,168.21,166.78,216.57,265.98,273.92
33,1732141876106,1,READ,251,302.33,5.2,165.12,163.58,231.81,238.97,302.33
34,1732141876106,2,READ,251,308.22,5.5,187.8,182.14,254.21,261.89,308.22
35,1732141876106,3,READ,252,292.86,5.26,167.0,165.63,231.04,267.52,292.86
36,1732141876610,0,READ,252,305.15,5.42,167.18,162.81,244.22,266.24,305.15
37,1732141876610,1,READ,251,283.39,4.96,159.26,160.51,218.88,257.41,283.39
38,1732141876610,2,READ,251,314.11,5.62,190.1,188.93,250.75,287.74,314.11
39,1732141876610,3,READ,250,323.07,4.78,165.51,163.58,232.32,256.77,323.07
40,1732141877111,0,READ,251,308.99,4.79,171.47,163.58,235.01,271.87,308.99
41,1732141877111,1,READ,251,272.89,5.48,155.8,157.69,209.53,238.08,272.89
42,1732141877111,2,READ,251,262.91,5.79,179.72,180.48,234.37,240.9,262.91
43,1732141877111,3,READ,251,265.98,5.72,161.36,163.2,230.66,247.68,265.98
44,1732141877613,0,READ,250,314.11,5.77,165.53,162.3,221.18,272.38,314.11
45,1732141877613,1,READ,250,289.28,5.45,164.34,163.58,245.12,261.63,289.28
46,1732141877613,2,READ,251,273.15,6.41,182.81,171.78,259.97,271.36,273.15
47,1732141877613,3,READ,251,254.21,4.85,164.46,168.83,229.5,236.67,254.21
48,1732141878114,0,READ,250,310.53,5.61,163.68,164.09,217.47,269.57,310.53
49,1732141878114,1,READ,250,293.89,6.19,166.37,164.22,235.52,251.13,293.89
50,1732141878114,2,READ,251,262.14,6.19,187.2,180.48,250.88,257.02,262.14
51,1732141878114,3,READ,251,282.11,5.98,161.98,168.32,217.47,271.62,282.11
52,1732141878618,0,READ,252,265.21,5.59,167.19,164.61,235.78,258.18,265.21
