,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity,cache_hits,cache_misses
0,1733137855480,0,READ,9,3604.48,49.76,1564.63,1262.59,2930.69,3604.48,3604.48,8769624,167772160,775,1018
1,1733137855480,1,READ,9,3827.71,47.71,1635.06,1286.14,3207.17,3827.71,3827.71,8769624,167772160,0,0
2,1733137855480,2,READ,9,3635.2,36.9,1616.1,1275.9,3026.94,3635.2,3635.2,8778288,167772160,1,1
3,1733137855480,3,READ,9,3782.66,51.46,1666.42,1340.41,3258.37,3782.66,3782.66,8786952,167772160,1,1
4,1733137855480,4,READ,9,3502.08,38.82,1646.58,1329.15,3391.49,3502.08,3502.08,8786952,167772160,0,0
5,1733137855480,5,READ,9,3842.05,39.07,1580.73,1233.92,2770.94,3842.05,3842.05,8804280,167772160,2,2
6,1733137855480,6,READ,9,3502.08,49.66,1611.15,1335.3,2988.03,3502.08,3502.08,8804280,167772160,0,0
7,1733137855480,7,READ,9,3643.39,44.16,1605.42,1292.29,3010.56,3643.39,3643.39,8812944,167772160,1,1
8,1733137855480,8,READ,9,3674.11,38.78,1597.31,1346.56,2754.56,3674.11,3674.11,8821608,167772160,1,1
9,1733137855480,9,READ,9,3588.09,54.66,1621.61,1350.65,2867.2,3588.09,3588.09,8830272,167772160,0,0
10,1733137855480,10,READ,9,3938.3,45.98,1665.58,1318.91,3041.28,3938.3,3938.3,8838936,167772160,2,2
11,1733137855480,11,READ,9,4040.7,53.31,1754.35,1358.85,3612.67,4040.7,4040.7,8838936,167772160,0,0
12,1733137855480,12,READ,9,3751.93,40.67,1563.73,1243.13,2891.78,3751.93,3751.93,8856264,167772160,0,2
13,1733137855480,13,READ,9,3600.38,35.23,1541.51,1256.45,2697.22,3600.38,3600.38,8856264,167772160,0,0
14,1733137855480,14,READ,420,1020.41,0.06,301.01,74.11,984.06,1002.5,1020.41,8856264,167772160,0,0
15,1733137855480,15,READ,421,1010.17,0.25,437.27,140.93,990.21,1006.08,1010.17,8873592,167772160,2,2
16,1733137855987,0,READ,10,3522.56,46.72,1365.98,1261.57,1335.3,3522.56,3522.56,18805064,167772160,942,1146
17,1733137855987,1,READ,10,3786.75,44.45,1416.24,1260.54,1439.74,3786.75,3786.75,18822392,167772160,0,2
18,1733137855987,2,READ,10,3573.76,47.65,1339.24,1215.49,1302.53,3573.76,3573.76,18822392,167772160,0,0
19,1733137855987,3,READ,10,3424.26,45.31,1360.41,1244.16,1326.08,3424.26,3424.26,18831056,167772160,2,2
20,1733137855987,4,READ,10,3631.1,36.64,1398.46,1278.97,1518.59,3631.1,3631.1,18839720,167772160,0,0
21,1733137855987,5,READ,10,3862.53,40.93,1378.2,1201.15,1315.84,3862.53,3862.53,18839720,167772160,1,1
22,1733137855987,6,READ,10,3698.69,46.5,1389.92,1227.78,1361.92,3698.69,3698.69,18857048,167772160,1,1
23,1733137855987,7,READ,10,3581.95,61.47,1406.06,1281.02,1440.77,3581.95,3581.95,18857048,167772160,0,0
24,1733137855987,8,READ,10,3649.53,40.42,1506.66,1382.4,1705.98,3649.53,3649.53,18874392,167772160,0,2
25,1733137855987,9,READ,10,3676.16,50.46,1371.27,1251.33,1363.97,3676.16,3676.16,18874392,167772160,0,0
26,1733137855987,10,READ,10,3747.84,46.3,1449.91,1293.31,1644.54,3747.84,3747.84,18883056,167772160,0,1
27,1733137855987,11,READ,10,3483.65,45.44,1450.95,1397.76,1546.24,3483.65,3483.65,18891720,167772160,0,1
28,1733137855987,12,READ,10,3561.47,59.26,1363.44,1242.11,1334.27,3561.47,3561.47,18891720,167772160,0,0
29,1733137855987,13,READ,10,3616.77,42.66,1359.84,1241.09,1333.25,3616.77,3616.77,18909064,167772160,2,2
30,1733137855987,14,READ,507,1034.75,0.16,295.99,71.94,983.55,1010.17,1022.98,18909064,167772160,0,0
31,1733137855987,15,READ,506,1022.98,0.07,348.22,91.78,987.13,1002.5,1017.86,18917728,167772160,1,1
32,1733137856494,0,READ,10,3815.42,56.03,1748.54,1318.91,3510.27,3815.42,3815.42,28701640,167772160,1003,1129
33,1733137856494,1,READ,10,3713.02,53.82,1730.39,1260.54,3592.19,3713.02,3713.02,28719000,167772160,4,0
34,1733137856494,2,READ,10,3575.81,58.05,1688.66,1208.32,3557.38,3575.81,3575.81,28719000,167772160,0,0
35,1733137856494,3,READ,10,3889.15,42.34,1783.99,1262.59,3815.42,3889.15,3889.15,28719000,167772160,2,2
36,1733137856494,4,READ,10,3901.44,53.28,1830.01,1285.12,3774.46,3901.44,3901.44,28719000,167772160,0,0
37,1733137856494,5,READ,10,3909.63,37.06,1802.81,1317.89,3846.14,3909.63,3909.63,28719000,167772160,0,0
38,1733137856494,6,READ,10,4052.99,46.34,1790.94,1180.67,3932.16,4052.99,4052.99,28736328,167772160,2,2
39,1733137856494,7,READ,10,3606.53,39.52,1734.26,1337.34,3489.79,3606.53,3606.53,28736328,167772160,0,0
40,1733137856494,8,READ,10,3905.53,36.0,1759.83,1265.66,3545.09,3905.53,3905.53,28753672,167772160,2,2
41,1733137856494,9,READ,10,3708.93,46.43,1714.21,1223.68,3586.05,3708.93,3708.93,28753672,167772160,0,0
42,1733137856494,10,READ,10,3870.72,40.29,1740.08,1307.65,3569.66,3870.72,3870.72,28753672,167772160,1,1
43,1733137856494,11,READ,10,3753.98,45.7,1738.47,1250.3,3692.54,3753.98,3753.98,28771016,167772160,1,1
44,1733137856494,12,READ,10,3497.98,40.06,1640.27,1207.3,3409.92,3497.98,3497.98,28771016,167772160,0,0
45,1733137856494,13,READ,10,3540.99,42.94,1683.35,1201.15,3510.27,3540.99,3540.99,28788344,167772160,2,2
46,1733137856494,14,READ,507,1014.27,0.82,324.8,68.22,984.58,1004.54,1005.57,28788344,167772160,0,0
47,1733137856494,15,READ,506,1006.59,0.27,364.97,95.04,986.11,1001.98,1005.57,28797008,167772160,1,0
48,1733137857001,0,READ,10,3559.42,40.64,1098.07,1146.88,1311.74,3559.42,3559.42,37281736,167772160,1133,982
49,1733137857001,1,READ,10,3594.24,36.35,1150.86,1232.89,1437.69,3594.24,3594.24,37290416,167772160,1,1
50,1733137857001,2,READ,10,3471.36,43.52,1157.97,1290.24,1409.02,3471.36,3471.36,37316408,167772160,1,1
