,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
0,1733217435578,0,READ,79,3915.78,110.59,1264.14,1193.98,1401.86,3006.46,3915.78,18243232,83886080,2556,4537,343448,0,74,85
1,1733217435578,1,READ,81,12582.91,970.24,1426.86,1132.54,1466.37,3682.3,12582.91,18267472,83886080,4,4,355520,0,76,88
2,1733217435578,2,READ,81,3473.41,108.22,1283.38,1222.65,1489.92,3459.07,3473.41,18287672,83886080,4,7,355552,0,76,88
3,1733217435578,3,READ,81,12107.77,124.74,1483.16,1246.21,1483.78,3790.85,12107.77,18303832,83886080,4,5,355568,0,76,88
4,1733217435578,4,READ,81,11665.41,26.82,1427.89,1197.06,1442.82,3768.32,11665.41,18332112,83886080,4,8,355536,0,76,88
5,1733217435578,5,READ,81,3794.94,124.42,1314.11,1203.2,1436.67,3622.91,3794.94,18356352,83886080,19,17,355568,0,77,89
6,1733217435578,6,READ,81,11132.93,68.61,1355.51,1174.53,1462.27,3721.22,11132.93,18416952,83886080,6,7,359560,0,77,89
7,1733217435578,7,READ,82,3592.19,43.58,1270.83,1201.15,1423.36,2727.93,3592.19,18457352,83886080,3,5,355568,0,77,88
8,1733217435578,8,READ,82,10608.64,368.13,1406.08,1216.51,1390.59,4003.84,10608.64,18481592,83886080,0,5,359592,0,77,89
9,1733217435578,9,READ,82,3833.86,12.16,1276.74,1179.65,1391.62,3565.57,3833.86,18505832,83886080,5,6,359592,0,77,89
10,1733217435578,10,READ,82,10190.85,707.07,1503.24,1201.15,1429.5,10149.89,10190.85,18526032,83886080,7,5,359608,0,77,89
11,1733217435578,11,READ,82,9814.01,228.1,1427.57,1256.45,1603.58,3780.61,9814.01,18546232,83886080,6,5,359640,0,77,89
12,1733217435578,12,READ,82,3840.0,374.27,1365.07,1250.3,1483.78,3825.66,3840.0,18566432,83886080,16,16,359656,0,78,90
13,1733217435578,13,READ,82,17006.59,967.68,1463.72,1146.88,1444.86,3739.65,17006.59,18606832,83886080,5,6,359592,0,78,90
14,1733217435578,14,READ,1608,12582.91,0.0,132.51,82.62,239.1,796.67,1436.67,18655312,83886080,5,6,6788080,0,769,1690
15,1733217435578,15,READ,1612,1224.7,0.1,107.24,73.34,233.22,427.52,1040.38,18671472,83886080,0,5,6800408,0,771,1694
16,1733217436090,0,READ,104,4012.03,39.46,2035.37,2402.3,2951.17,3383.3,4012.03,38750288,83886080,3267,4994,808048,0,170,200
17,1733217436090,1,READ,104,3457.02,54.66,2050.22,2510.85,2893.82,3264.51,3457.02,38774528,83886080,9,8,816080,0,172,202
