,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732424933954,0,READ,9,678.4,33.38,501.94,588.8,631.29,678.4,678.4,69272,10485760
1,1732424933954,1,READ,446,1010.69,25.3,490.56,492.8,604.16,770.05,1010.69,3849024,10485760
2,1732424933954,2,READ,447,897.53,29.81,497.03,489.98,610.82,810.5,897.53,3857608,10485760
3,1732424933954,3,READ,447,1037.82,24.91,481.74,472.83,603.13,813.57,1037.82,3857672,10485760
4,1732424934455,0,READ,10,649.22,35.84,496.94,528.89,646.65,649.22,649.22,147152,10484505
5,1732424934455,1,READ,502,962.56,26.4,511.58,504.06,634.88,816.13,902.14,8173936,10484505
6,1732424934455,2,READ,502,998.91,25.9,499.43,496.89,607.23,781.31,838.14,8182488,10484505
7,1732424934455,3,READ,502,949.76,25.54,494.61,492.03,610.82,776.7,913.92,8165240,10489525
8,1732424934957,0,READ,10,1588.22,41.38,518.45,448.51,579.07,1588.22,1588.22,216336,10282887
9,1732424934957,1,READ,502,1628.16,24.37,475.74,471.81,594.94,818.69,987.65,10379480,10508066
10,1732424934957,2,READ,502,1000.96,24.69,483.19,478.72,602.62,794.11,951.29,10439920,10645113
11,1732424934957,3,READ,503,1532.93,28.13,474.2,472.57,597.5,825.86,1054.72,10284240,10508258
12,1732424935462,0,READ,11,572.93,36.13,375.75,463.87,557.57,572.93,572.93,285520,9978369
13,1732424935462,1,READ,503,939.52,27.74,471.41,468.48,593.41,856.06,937.98,10517736,10655041
14,1732424935462,2,READ,503,992.77,26.82,470.17,468.74,599.04,736.25,901.63,10656120,10793301
15,1732424935462,3,READ,501,1330.17,27.6,480.98,481.02,608.25,801.28,1189.89,10387968,10516480
16,1732424935963,0,READ,10,774.65,409.6,557.13,525.31,658.94,774.65,774.65,372016,9607629
17,1732424935963,1,READ,498,3850.24,24.27,479.48,470.53,596.48,844.29,3850.24,10794456,10915483
18,1732424935963,2,READ,500,1768.45,24.64,482.95,477.69,595.46,817.15,1768.45,10656072,10779261
19,1732424935963,3,READ,501,1275.9,24.5,486.29,483.33,608.25,890.37,1100.8,10517688,10641677
20,1732424936465,0,READ,10,653.31,34.34,308.03,65.15,598.01,653.31,653.31,415272,9289183
21,1732424936465,1,READ,501,826.88,23.17,476.01,477.44,583.68,799.23,815.1,10932808,11068982
22,1732424936465,2,READ,499,2209.79,24.51,486.54,483.07,601.6,811.52,2209.79,10794408,10930798
23,1732424936465,3,READ,501,1329.15,24.45,494.22,498.18,616.45,850.43,990.21,10517704,10654095
24,1732424936967,0,READ,10,693.76,26.59,205.48,38.85,608.77,693.76,693.76,441216,8891688
25,1732424936967,1,READ,502,1129.47,24.98,485.27,484.61,605.7,884.22,935.93,11071160,11201638
26,1732424936967,2,READ,502,976.38,23.18,471.58,468.74,586.24,753.15,950.27,11071176,11201569
27,1732424936967,3,READ,502,934.4,24.51,482.21,482.3,605.7,819.71,902.14,10517704,10648690
28,1732424937469,0,READ,10,620.03,30.78,192.79,41.34,553.98,620.03,620.03,467176,8594666
29,1732424937469,1,READ,502,814.59,28.78,476.24,481.79,593.41,723.97,803.33,11347912,11485194
30,1732424937469,2,READ,502,1503.23,30.7,472.97,471.04,584.7,823.81,1115.13,11071176,11208244
31,1732424937469,3,READ,504,951.81,24.75,480.94,484.61,595.46,753.66,915.97,10517704,10655049
32,1732424937973,0,READ,10,705.53,29.49,273.85,48.93,681.98,705.53,705.53,501784,8204180
33,1732424937973,1,READ,504,986.11,28.35,498.54,498.43,611.33,876.03,958.98,11763016,11891786
34,1732424937973,2,READ,504,978.43,27.79,481.49,480.51,596.48,800.77,933.38,11071176,11200730
35,1732424937973,3,READ,502,1001.47,25.5,494.36,489.21,615.42,919.04,992.77,10517704,10647155
36,1732424938475,0,READ,10,642.56,36.61,247.99,44.51,617.98,642.56,642.56,536376,7903217
37,1732424938475,1,READ,501,842.75,31.41,481.13,481.28,600.06,749.05,814.59,11901400,12038520
