,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732426694083,0,READ,9,733.18,300.8,559.35,558.08,694.78,733.18,733.18,77920,10485760
1,1732426694083,1,READ,440,6557.69,24.62,503.12,495.1,617.47,771.07,6557.69,3805912,10485760
2,1732426694083,2,READ,446,939.52,25.23,485.77,482.56,611.33,805.38,939.52,3857832,10485760
3,1732426694083,3,READ,446,1751.04,23.73,483.55,474.37,591.87,916.48,1751.04,3849088,10485760
4,1732426694585,0,READ,10,871.93,286.72,484.2,420.1,636.93,871.93,871.93,164432,10485760
5,1732426694585,1,READ,499,3184.64,25.52,495.73,491.77,601.6,806.91,3184.64,8104688,10485760
6,1732426694585,2,READ,501,1011.2,25.49,481.26,477.18,594.43,761.34,794.11,8174112,10485760
7,1732426694585,3,READ,502,1028.1,25.52,479.79,475.9,602.62,754.17,922.11,8174048,10485760
8,1732426695086,0,READ,10,611.84,447.49,536.86,552.45,606.21,611.84,611.84,250912,10284332
9,1732426695086,1,READ,502,1211.39,24.67,474.22,477.95,596.48,734.72,1031.17,10266976,10505090
10,1732426695086,2,READ,503,1683.45,25.5,482.17,483.07,599.55,793.6,910.85,10466104,10645801
11,1732426695086,3,READ,503,1267.71,23.82,480.7,481.54,590.34,794.11,1265.66,10379512,10508257
12,1732426695591,0,READ,11,654.34,282.62,517.36,532.48,608.77,654.34,654.34,346040,9977755
13,1732426695591,1,READ,504,976.38,27.02,465.12,470.53,606.21,768.51,816.13,10517784,10655120
14,1732426695591,2,READ,503,875.52,28.38,462.87,470.27,587.26,768.0,796.67,10656376,10793656
15,1732426695591,3,READ,503,907.26,27.62,463.18,466.69,578.56,757.25,901.63,10379512,10516580
16,1732426696093,0,READ,10,633.86,265.47,459.47,474.62,569.34,633.86,633.86,432536,9575336
17,1732426696093,1,READ,501,1260.54,25.71,468.89,466.94,590.34,849.92,1072.13,10517784,10650832
18,1732426696093,2,READ,501,1136.64,25.9,474.83,472.83,590.85,770.05,868.35,10933128,11066444
19,1732426696093,3,READ,501,1206.27,26.26,465.25,459.01,573.95,750.08,1149.95,10517848,10650952
20,1732426696595,0,READ,10,731.13,287.74,531.69,538.11,638.98,731.13,731.13,519080,9247413
21,1732426696595,1,READ,500,1936.38,24.4,491.04,493.31,613.38,801.79,1936.38,10630208,10727241
22,1732426696595,2,READ,500,2058.24,23.42,482.5,477.44,615.42,899.07,2058.24,10933128,11052195
23,1732426696595,3,READ,501,1377.28,23.66,476.18,473.09,587.26,790.53,1196.03,10794568,10913783
24,1732426697097,0,READ,10,988.16,423.42,555.94,481.28,609.79,988.16,988.16,605576,8875968
25,1732426697097,1,READ,486,6676.48,23.63,512.54,478.21,604.16,925.18,6676.48,10794504,10929890
26,1732426697097,2,READ,502,1956.86,24.16,481.4,473.6,608.25,836.61,981.5,11071464,11207134
27,1732426697097,3,READ,504,1476.61,22.72,475.52,479.49,590.34,802.82,1018.88,10794568,10930436
28,1732426697601,0,READ,10,630.78,396.03,529.55,521.73,629.25,630.78,630.78,692056,8476124
