,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732426362087,0,READ,9,2727.93,411.9,777.59,545.28,647.17,2727.93,2727.93,0,0
1,1732426362087,1,READ,440,3258.37,26.06,506.62,493.06,601.09,933.89,3258.37,0,0
2,1732426362087,2,READ,440,3414.01,25.97,396.42,291.07,598.53,1491.97,3414.01,0,0
3,1732426362087,3,READ,421,4501.5,28.38,421.57,284.67,599.04,2373.63,4501.5,0,0
4,1732426362589,0,READ,10,709.63,451.58,564.98,559.62,658.94,709.63,709.63,0,0
5,1732426362589,1,READ,498,2349.05,25.71,508.12,496.38,624.13,1048.06,2349.05,0,0
6,1732426362589,2,READ,499,2611.2,25.33,377.15,298.5,576.0,693.25,2611.2,0,0
7,1732426362589,3,READ,489,5517.31,26.3,371.15,283.39,581.63,1067.01,5517.31,0,0
8,1732426363090,0,READ,10,710.65,413.7,541.32,517.12,623.62,710.65,710.65,0,0
9,1732426363090,1,READ,499,3135.49,25.6,498.91,489.98,609.79,845.82,3135.49,0,0
10,1732426363090,2,READ,499,3293.18,26.61,391.63,302.85,584.7,917.5,3293.18,0,0
11,1732426363090,3,READ,502,2461.7,27.79,339.35,275.2,576.51,970.24,1935.36,0,0
12,1732426363595,0,READ,11,767.49,431.36,542.43,543.23,611.84,767.49,767.49,0,0
13,1732426363595,1,READ,503,984.58,24.67,499.42,487.42,619.01,826.88,953.86,0,0
14,1732426363595,2,READ,502,1233.92,23.9,378.99,310.27,572.93,806.4,1069.06,0,0
15,1732426363595,3,READ,502,1163.26,25.52,343.02,279.81,564.74,892.93,1140.73,0,0
16,1732426364097,0,READ,10,622.59,485.63,537.52,534.01,574.98,622.59,622.59,0,0
17,1732426364097,1,READ,499,2138.11,24.13,496.8,489.98,621.57,786.43,2138.11,0,0
18,1732426364097,2,READ,502,1113.09,24.43,383.67,317.95,583.68,780.29,1052.67,0,0
19,1732426364097,3,READ,501,1259.52,23.01,332.43,275.97,552.96,898.56,1101.82,0,0
20,1732426364599,0,READ,10,615.42,454.66,543.09,538.11,596.48,615.42,615.42,0,0
21,1732426364599,1,READ,500,2193.41,24.5,499.66,495.87,603.13,810.5,2193.41,0,0
22,1732426364599,2,READ,496,3504.13,24.34,403.36,383.23,571.9,957.95,3504.13,0,0
23,1732426364599,3,READ,495,6275.07,25.41,340.08,275.97,503.3,906.75,6275.07,0,0
24,1732426365100,0,READ,10,928.25,417.79,572.13,532.48,677.89,928.25,928.25,0,0
25,1732426365100,1,READ,494,6688.77,24.16,523.43,500.48,616.96,902.65,6688.77,0,0
26,1732426365100,2,READ,498,4374.53,23.81,395.98,354.56,586.24,809.47,4374.53,0,0
27,1732426365100,3,READ,500,2191.36,23.78,314.19,277.5,483.07,660.99,2191.36,0,0
28,1732426365602,0,READ,10,874.5,454.4,607.94,568.83,702.98,874.5,874.5,0,0
29,1732426365602,1,READ,502,1345.54,26.85,506.25,502.78,623.62,859.13,1229.82,0,0
30,1732426365602,2,READ,502,1492.99,24.7,403.49,399.87,572.41,834.56,1208.32,0,0
31,1732426365602,3,READ,500,2674.69,25.3,336.88,286.21,514.56,686.08,2674.69,0,0
32,1732426366107,0,READ,10,773.12,428.8,561.16,562.17,627.71,773.12,773.12,0,0
33,1732426366107,1,READ,503,907.77,24.13,508.22,501.76,616.45,776.7,858.11,0,0
34,1732426366107,2,READ,494,6578.18,26.45,442.75,423.42,615.93,836.61,6578.18,0,0
