,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732427723076,0,READ,9,1065.98,444.93,712.79,672.77,948.74,1065.98,1065.98,0,0
1,1732427723076,1,READ,411,3569.66,25.7,558.47,506.88,637.44,2488.32,3569.66,0,0
2,1732427723076,2,READ,414,2848.77,25.2,426.2,306.69,571.39,2027.52,2848.77,0,0
3,1732427723076,3,READ,410,2500.61,24.64,414.75,297.21,613.38,2217.98,2500.61,0,0
4,1732427723578,0,READ,10,851.97,312.32,558.64,559.62,639.49,851.97,851.97,0,0
5,1732427723578,1,READ,491,6496.26,26.11,523.57,489.73,617.98,1092.61,6496.26,0,0
6,1732427723578,2,READ,500,2629.63,25.79,384.62,302.08,582.14,813.57,2629.63,0,0
7,1732427723578,3,READ,499,2069.5,26.78,347.4,290.81,541.18,738.82,2069.5,0,0
8,1732427724080,0,READ,10,1548.29,286.72,590.58,432.38,757.25,1548.29,1548.29,0,0
9,1732427724080,1,READ,497,5279.74,28.16,504.7,489.98,619.01,884.22,5279.74,0,0
10,1732427724080,2,READ,501,2081.79,32.46,386.5,315.65,591.36,774.65,1371.13,0,0
11,1732427724080,3,READ,503,1380.35,28.43,329.37,287.23,538.11,747.52,1154.05,0,0
12,1732427724585,0,READ,10,2674.69,281.34,706.69,511.74,645.12,2674.69,2674.69,0,0
13,1732427724585,1,READ,498,4145.15,25.12,512.8,492.8,625.15,951.81,4145.15,0,0
14,1732427724585,2,READ,502,1135.62,25.65,378.66,315.13,579.58,726.53,807.93,0,0
15,1732427724585,3,READ,501,1634.3,27.78,336.02,291.84,520.7,758.27,1216.51,0,0
16,1732427725086,0,READ,10,1221.63,275.46,578.33,525.82,779.26,1221.63,1221.63,0,0
17,1732427725086,1,READ,501,982.01,24.91,486.04,485.12,610.3,823.81,958.98,0,0
18,1732427725086,2,READ,501,964.61,25.81,385.86,354.56,577.53,734.72,863.74,0,0
19,1732427725086,3,READ,500,1801.21,24.83,330.68,278.53,538.62,749.57,998.4,0,0
20,1732427725588,0,READ,10,871.93,259.84,531.67,518.4,668.16,871.93,871.93,0,0
21,1732427725588,1,READ,490,4546.56,23.62,525.75,498.94,627.2,1203.2,4546.56,0,0
22,1732427725588,2,READ,499,2476.03,25.62,391.64,324.61,577.53,859.65,2476.03,0,0
23,1732427725588,3,READ,499,2541.57,25.57,330.86,281.09,509.44,763.9,2541.57,0,0
24,1732427726090,0,READ,10,713.22,297.98,507.69,486.14,619.01,713.22,713.22,0,0
25,1732427726090,1,READ,494,5406.72,23.06,504.83,484.35,612.35,888.32,5406.72,0,0
26,1732427726090,2,READ,500,2873.34,23.5,378.55,303.36,579.58,754.17,2873.34,0,0
27,1732427726090,3,READ,499,2670.59,25.95,308.22,273.66,426.75,650.75,2670.59,0,0
28,1732427726591,0,READ,10,655.36,301.57,521.86,530.43,621.57,655.36,655.36,0,0
29,1732427726591,1,READ,500,2582.53,24.05,487.57,490.5,612.86,763.39,2582.53,0,0
30,1732427726591,2,READ,497,3387.39,24.64,406.89,353.54,598.01,781.82,3387.39,0,0
31,1732427726591,3,READ,503,870.91,23.81,309.31,280.83,476.42,687.1,803.84,0,0
32,1732427727096,0,READ,10,724.48,306.94,493.85,482.56,542.21,724.48,724.48,0,0
