,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733863889475,0,READ,38,7.65,0.21,0.89,0.58,0.84,7.65,7.65,27675480,5368709120,477,6002,347200,201336058,33,76,0.0,155648
1,1733863889475,1,READ,40,8.05,0.2,0.98,0.39,0.94,8.05,8.05,28351560,5368709120,477,6150,351800,201336058,33,77,0.0,163840
2,1733863889475,2,READ,41,7.75,0.22,0.88,0.41,0.95,7.75,7.75,29050464,5368709120,477,6319,356320,201336058,33,79,0.0,167936
3,1733863889475,3,READ,43,7.82,0.22,0.79,0.37,0.92,7.82,7.82,29785928,5368709120,477,6468,365440,201336058,33,80,0.0,176128
4,1733863889475,4,READ,44,8.42,0.2,0.93,0.38,0.97,8.42,8.42,30443720,5368709120,477,6617,370008,201336058,33,81,0.0,180224
5,1733863889475,5,READ,45,8.95,0.22,1.0,0.37,0.97,8.95,8.95,31165464,5368709120,477,6768,374592,201336058,33,82,0.0,184320
6,1733863889475,6,READ,46,8.5,0.22,0.88,0.42,0.97,8.5,8.5,31836960,5368709120,477,6923,383760,201336058,33,84,0.0,188416
7,1733863889475,7,READ,48,8.57,0.21,0.92,0.37,0.99,8.57,8.57,32622672,5368709120,477,7097,388280,201336058,33,85,0.0,196608
8,1733863889475,8,READ,49,7.11,0.19,0.77,0.38,0.9,7.11,7.11,33326160,5368709120,477,7252,397432,201336058,32,88,0.0,200704
9,1733863889475,9,READ,51,8.15,0.21,0.83,0.36,0.89,6.99,8.15,34157536,5368709120,477,7417,402000,201336058,33,88,0.0,208896
10,1733863889475,10,READ,52,7.09,0.21,0.69,0.34,0.98,2.65,7.09,34920424,5368709120,477,7591,406616,201336058,33,89,0.0,212992
11,1733863889475,11,READ,53,8.7,0.2,0.83,0.34,0.85,5.73,8.7,35578232,5368709120,477,7748,415704,201336058,33,91,0.0,217088
12,1733863889475,12,READ,109,7.82,0.18,0.63,0.28,0.47,7.18,7.82,36263432,5368709120,477,7893,507048,201336058,0,111,0.0,446464
13,1733863889475,13,READ,112,7.38,0.18,0.56,0.26,0.59,7.16,7.38,37035488,5368709120,477,8051,520752,201336058,0,114,0.0,458752
14,1733863889475,14,READ,2784,10.29,0.16,0.58,0.26,0.85,7.33,9.12,37706984,5368709120,477,8204,15797264,201336058,33,3461,0.0,11403264
15,1733863889475,15,READ,2870,9.72,0.17,0.58,0.26,0.78,7.58,8.83,38392200,5368709120,477,8357,16203912,201336058,34,3549,0.0,11755520
16,1733863889620,0,READ,68,0.68,0.18,0.27,0.26,0.34,0.46,0.68,65832712,5368709120,705,14354,666960,201336058,53,146,0.145,278528
17,1733863889620,1,READ,69,0.7,0.2,0.31,0.29,0.38,0.45,0.7,66682392,5368709120,733,14528,671560,201336058,55,147,0.145,282624
18,1733863889620,2,READ,69,0.61,0.18,0.29,0.29,0.36,0.41,0.61,67486376,5368709120,779,14717,680648,201336058,59,149,0.145,282624
19,1733863889620,3,READ,69,0.65,0.2,0.3,0.31,0.35,0.38,0.65,68176192,5368709120,805,14870,685216,201336058,61,150,0.145,282624
20,1733863889620,4,READ,69,0.41,0.22,0.3,0.3,0.35,0.4,0.41,68939048,5368709120,848,15048,689768,201336058,65,152,0.145,282624
21,1733863889620,5,READ,70,0.67,0.2,0.31,0.3,0.4,0.46,0.67,69669928,5368709120,877,15195,698952,201336058,67,153,0.145,286720
22,1733863889620,6,READ,69,0.63,0.22,0.32,0.3,0.38,0.52,0.63,70492440,5368709120,901,15357,703520,201336058,69,154,0.145,282624
23,1733863889620,7,READ,69,0.54,0.22,0.31,0.3,0.4,0.52,0.54,71709320,5368709120,952,15604,712624,201336058,73,156,0.145,282624
24,1733863889620,8,READ,70,0.7,0.21,0.31,0.29,0.36,0.52,0.7,73045144,5368709120,985,15887,721760,201336058,74,158,0.145,286720
25,1733863889620,9,READ,69,0.58,0.21,0.31,0.29,0.4,0.46,0.58,73918080,5368709120,1032,16139,721776,201336058,77,158,0.145,282624
26,1733863889620,10,READ,69,0.38,0.2,0.3,0.3,0.36,0.38,0.38,74653528,5368709120,1060,16284,730944,201336058,81,160,0.145,282624
27,1733863889620,11,READ,69,0.57,0.2,0.27,0.26,0.33,0.49,0.57,75256536,5368709120,1084,16431,735464,201336058,83,161,0.145,282624
28,1733863889620,12,READ,139,0.54,0.18,0.27,0.26,0.34,0.49,0.54,76069656,5368709120,1128,16603,1151136,201336058,0,252,0.145,569344
29,1733863889620,13,READ,139,0.38,0.18,0.25,0.25,0.3,0.38,0.38,76809688,5368709120,1156,16752,1164856,201336058,0,255,0.145,569344
30,1733863889620,14,READ,3464,1.21,0.16,0.27,0.24,0.33,0.9,1.11,77650200,5368709120,1184,16926,33174072,201336058,49,7265,0.145,14188544
31,1733863889620,15,READ,3475,1.4,0.16,0.27,0.24,0.32,0.94,1.21,78330848,5368709120,1228,17097,33590096,201336058,49,7355,0.145,14233600
32,1733863889767,0,READ,69,4.27,0.19,0.61,0.33,0.89,3.96,4.27,112097200,5368709120,2178,24454,1219704,201336058,170,267,0.292,282624
33,1733863889767,1,READ,70,3.95,0.2,0.65,0.36,1.14,2.61,3.95,113129600,5368709120,2214,24692,1233424,201336058,171,270,0.292,286720
34,1733863889767,2,READ,69,6.03,0.24,0.69,0.4,0.98,3.72,6.03,114120856,5368709120,2236,24912,1251648,201336058,173,275,0.292,282624
