,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733843624629,0,READ,540,13.8,0.15,1.59,1.05,3.62,8.66,12.61,2558488,335544320,2,575,0,0,0,0,0.0,2211840
1,1733843624629,1,READ,559,15.1,0.17,1.47,1.06,3.23,8.48,12.86,2604152,335544320,1,579,0,0,0,0,0.0,2289664
2,1733843624629,2,READ,570,12.62,0.16,1.44,1.06,3.21,8.44,10.93,2640680,335544320,0,591,0,0,0,0,0.0,2334720
3,1733843624629,3,READ,581,12.63,0.17,1.54,1.09,3.38,9.0,12.26,2722872,335544320,1,607,0,0,0,0,0.0,2379776
4,1733843624629,4,READ,587,13.78,0.16,1.49,1.13,3.06,8.68,12.6,2773296,335544320,2,619,0,0,0,0,0.0,2404352
5,1733843624629,5,READ,591,11.89,0.16,1.45,1.05,3.19,8.91,11.63,2741032,335544320,0,612,0,0,0,0,0.0,2420736
6,1733843624629,6,READ,597,12.79,0.16,1.51,1.05,3.37,8.96,12.06,2805336,335544320,0,625,0,0,0,0,0.0,2445312
7,1733843624629,7,READ,607,12.85,0.17,1.47,1.11,3.25,8.45,12.52,2864560,335544320,0,637,0,0,0,0,0.0,2486272
8,1733843624629,8,READ,603,12.81,0.15,1.45,1.09,3.17,8.4,12.23,2846544,335544320,0,643,0,0,0,0,0.0,2469888
9,1733843624629,9,READ,607,12.78,0.17,1.57,1.1,3.29,9.1,12.12,2850792,335544320,0,640,0,0,0,0,0.0,2486272
10,1733843624629,10,READ,611,12.79,0.16,1.59,1.1,3.32,9.23,12.79,2850744,335544320,1,637,0,0,0,0,0.0,2502656
11,1733843624629,11,READ,614,12.49,0.16,1.57,1.11,3.32,8.95,12.26,2896440,335544320,1,647,0,0,0,0,0.0,2514944
12,1733843624629,12,READ,627,15.92,0.15,1.59,1.12,3.33,8.62,13.24,2900880,335544320,0,650,0,0,0,0,0.0,2568192
13,1733843624629,13,READ,634,12.82,0.15,1.63,1.09,3.45,8.66,12.54,2951224,335544320,0,659,0,0,0,0,0.0,2596864
14,1733843624629,14,READ,630,24.05,0.16,2.57,1.19,7.97,19.66,22.75,2951288,335544320,2,660,0,0,0,0,0.0,2580480
15,1733843624629,15,READ,582,25.04,0.17,4.12,1.45,15.09,23.09,24.4,2718432,335544320,0,610,0,0,0,0,0.0,2383872
16,1733843624737,0,READ,634,10.45,0.17,2.2,2.06,4.76,7.56,9.0,5564616,335544320,4,1238,0,0,0,0,0.108,2596864
17,1733843624737,1,READ,632,10.76,0.18,2.26,2.1,4.81,7.5,9.48,5605728,335544320,2,1242,0,0,0,0,0.108,2588672
18,1733843624737,2,READ,627,11.62,0.17,2.3,2.14,4.93,7.95,10.86,5596544,335544320,0,1241,0,0,0,0,0.108,2568192
19,1733843624737,3,READ,625,9.46,0.18,2.27,2.14,4.84,7.63,8.15,5655784,335544320,3,1247,0,0,0,0,0.108,2560000
20,1733843624737,4,READ,629,12.13,0.16,2.04,1.95,4.54,6.91,8.02,5733744,335544320,4,1267,0,0,0,0,0.108,2576384
21,1733843624737,5,READ,626,12.32,0.18,2.2,1.99,4.83,7.78,11.11,5701464,335544320,0,1263,0,0,0,0,0.108,2564096
22,1733843624737,6,READ,627,10.2,0.16,2.22,2.15,4.65,6.86,8.36,5747448,335544320,0,1271,0,0,0,0,0.108,2568192
23,1733843624737,7,READ,621,10.0,0.17,2.22,2.14,4.85,7.21,10.0,5857064,335544320,2,1294,0,0,0,0,0.108,2543616
24,1733843624737,8,READ,625,8.21,0.18,2.26,2.2,4.86,7.11,8.2,5761136,335544320,1,1281,0,0,0,0,0.108,2560000
25,1733843624737,9,READ,629,12.82,0.18,2.42,2.2,4.93,7.95,10.92,5834128,335544320,1,1288,0,0,0,0,0.108,2576384
26,1733843624737,10,READ,636,12.54,0.18,2.23,2.08,4.74,7.61,12.42,5875240,335544320,2,1293,0,0,0,0,0.108,2605056
27,1733843624737,11,READ,628,11.32,0.17,2.23,2.1,4.75,7.22,10.13,5856824,335544320,1,1297,0,0,0,0,0.108,2572288
28,1733843624737,12,READ,624,12.03,0.17,2.1,1.9,4.77,7.56,9.05,5833840,335544320,0,1292,0,0,0,0,0.108,2555904
29,1733843624737,13,READ,622,12.51,0.17,2.14,1.99,4.66,8.29,11.52,5902520,335544320,1,1310,0,0,0,0,0.108,2547712
