,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733862378684,0,READ,74,5.27,0.19,0.61,0.33,0.85,3.5,5.27,8456864,5368709120,407,1835,516296,268440189,33,113,0.0,303104
1,1733862378684,1,READ,77,3.44,0.18,0.61,0.34,1.12,3.16,3.44,8685296,5368709120,407,1889,529904,268440189,33,116,0.0,315392
2,1733862378684,2,READ,80,3.52,0.21,0.53,0.3,0.86,2.56,3.52,8909176,5368709120,407,1936,539088,268440189,33,118,0.0,327680
3,1733862378684,3,READ,82,3.29,0.2,0.57,0.33,0.91,2.92,3.29,9146936,5368709120,407,1985,548192,268440189,33,121,0.0,335872
4,1733862378684,4,READ,85,3.52,0.2,0.62,0.34,0.97,3.36,3.52,9352624,5368709120,407,2035,561896,268440189,33,123,0.0,348160
5,1733862378684,5,READ,87,4.05,0.19,0.54,0.32,0.91,3.14,4.05,9636096,5368709120,409,2087,571096,268440189,33,125,0.0,356352
6,1733862378684,6,READ,89,4.3,0.18,0.62,0.32,1.0,3.66,4.3,9942472,5368709120,409,2152,584736,268440189,33,128,0.0,364544
7,1733862378684,7,READ,92,3.17,0.2,0.6,0.32,1.36,2.94,3.17,10166496,5368709120,411,2213,589288,268440189,33,129,0.0,376832
8,1733862378684,8,READ,94,3.82,0.19,0.59,0.29,0.94,3.13,3.82,10394944,5368709120,411,2267,602976,268440189,33,132,0.0,385024
9,1733862378684,9,READ,96,3.88,0.19,0.6,0.29,0.97,3.58,3.88,10600520,5368709120,411,2307,616712,268440189,32,136,0.0,393216
10,1733862378684,10,READ,99,4.13,0.18,0.58,0.29,0.95,3.74,4.13,10815264,5368709120,411,2354,634984,268440189,33,139,0.0,405504
11,1733862378684,11,READ,101,3.47,0.18,0.53,0.28,0.94,3.41,3.47,10988848,5368709120,453,2393,639536,268440189,38,140,0.0,413696
12,1733862378684,12,READ,103,2.82,0.18,0.4,0.26,0.61,2.25,2.82,11203544,5368709120,507,2436,484208,268440189,0,106,0.0,421888
13,1733862378684,13,READ,106,2.43,0.18,0.36,0.26,0.46,1.8,2.43,11372560,5368709120,569,2480,493392,268440189,0,108,0.0,434176
14,1733862378684,14,READ,215,3.34,0.18,0.46,0.27,0.74,2.5,3.34,11591840,5368709120,625,2523,1298368,268440189,2,284,0.0,880640
15,1733862378684,15,READ,220,3.25,0.18,0.47,0.27,0.79,2.78,3.25,11760856,5368709120,675,2562,1321272,268440189,2,289,0.0,901120
16,1733862378825,0,READ,132,1.42,0.19,0.44,0.3,0.78,0.95,1.42,25574696,5368709120,2423,5563,1617216,268440189,204,354,0.141,540672
17,1733862378825,1,READ,132,1.4,0.19,0.46,0.31,0.78,1.01,1.4,26058904,5368709120,2470,5662,1658200,268440189,207,363,0.141,540672
18,1733862378825,2,READ,133,0.94,0.21,0.47,0.34,0.78,0.94,0.94,26602496,5368709120,2506,5786,1690224,268440189,210,371,0.141,544768
19,1733862378825,3,READ,133,1.25,0.21,0.49,0.35,0.8,0.93,1.25,27091272,5368709120,2535,5900,1722216,268440189,212,378,0.141,544768
20,1733862378825,4,READ,133,0.87,0.2,0.48,0.38,0.8,0.87,0.87,27433872,5368709120,2573,5996,1745008,268440189,216,383,0.141,544768
21,1733862378825,5,READ,133,0.95,0.19,0.5,0.36,0.83,0.95,0.95,27899872,5368709120,2606,6071,1777048,268440189,218,389,0.141,544768
22,1733862378825,6,READ,132,1.23,0.19,0.53,0.41,0.84,1.02,1.23,28329424,5368709120,2631,6178,1813560,268440189,220,397,0.141,540672
23,1733862378825,7,READ,134,1.13,0.19,0.53,0.6,0.8,1.09,1.13,28873144,5368709120,2663,6286,1840936,268440189,222,403,0.141,548864
24,1733862378825,8,READ,133,0.92,0.19,0.52,0.62,0.81,0.91,0.92,29307280,5368709120,2691,6397,1859208,268440189,226,408,0.141,544768
25,1733862378825,9,READ,133,1.05,0.2,0.51,0.58,0.81,0.91,1.05,29722968,5368709120,2729,6471,1900336,268440189,227,417,0.141,544768
26,1733862378825,10,READ,133,1.03,0.21,0.52,0.59,0.83,0.97,1.03,30271144,5368709120,2764,6592,1936912,268440189,229,425,0.141,544768
27,1733862378825,11,READ,133,0.94,0.19,0.51,0.61,0.77,0.91,0.94,30746232,5368709120,2797,6700,1973392,268440189,232,432,0.141,544768
28,1733862378825,12,READ,133,0.38,0.18,0.26,0.25,0.32,0.36,0.38,31139096,5368709120,2823,6799,1100888,268440189,0,241,0.141,544768
29,1733862378825,13,READ,133,0.41,0.18,0.24,0.23,0.3,0.36,0.41,31577640,5368709120,2867,6880,1114640,268440189,0,244,0.141,544768
30,1733862378825,14,READ,267,0.85,0.17,0.26,0.23,0.31,0.66,0.85,32080120,5368709120,2896,6992,2678416,268440189,3,586,0.141,1093632
