,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733858817043,0,READ,41,6.44,0.18,0.69,0.32,0.77,6.44,6.44,28812784,5368709120,477,6251,0,24058,33,78,0.0,167936
1,1733858817043,1,READ,42,7.7,0.22,0.88,0.33,0.86,7.7,7.7,29584776,5368709120,477,6419,365440,24058,33,80,0.0,172032
2,1733858817043,2,READ,44,6.89,0.18,0.78,0.32,0.81,6.89,6.89,30356784,5368709120,477,6588,370088,24058,33,81,0.0,180224
3,1733858817043,3,READ,45,7.58,0.2,0.86,0.35,0.95,7.58,7.58,31229272,5368709120,477,6761,379144,24058,33,83,0.0,184320
4,1733858817043,4,READ,47,7.58,0.22,0.82,0.32,0.88,7.58,7.58,31932744,5368709120,477,6946,383760,24058,33,84,0.0,192512
5,1733858817043,5,READ,48,7.49,0.22,0.81,0.34,0.9,7.49,7.49,32773272,5368709120,477,7117,392864,24058,33,86,0.0,196608
6,1733858817043,6,READ,50,7.44,0.22,0.83,0.32,0.93,7.44,7.44,33636640,5368709120,477,7298,397416,24058,33,87,0.0,204800
7,1733858817043,7,READ,51,7.64,0.2,0.79,0.34,0.84,6.37,7.64,34358384,5368709120,477,7463,402000,24058,33,89,0.0,208896
8,1733858817043,8,READ,53,7.55,0.22,0.8,0.34,1.06,6.48,7.55,35103000,5368709120,477,7630,411136,24058,33,90,0.0,217088
9,1733858817043,9,READ,54,7.4,0.22,0.77,0.31,1.22,5.82,7.4,35820224,5368709120,477,7785,415688,24058,33,91,0.0,221184
10,1733858817043,10,READ,55,5.4,0.18,0.6,0.29,0.9,3.4,5.4,36587680,5368709120,477,7952,424840,24058,33,93,0.0,225280
11,1733858817043,11,READ,57,7.2,0.22,0.73,0.32,0.94,5.67,7.2,37355184,5368709120,477,8114,429392,24058,33,94,0.0,233472
12,1733858817043,12,READ,116,7.16,0.17,0.47,0.23,0.32,6.42,7.16,38195760,5368709120,477,8301,543592,24058,0,119,0.0,475136
13,1733858817043,13,READ,119,7.0,0.18,0.54,0.27,0.35,6.96,7.0,39008896,5368709120,477,8478,557296,24058,0,122,0.0,487424
14,1733858817043,14,READ,2982,9.02,0.15,0.47,0.23,0.69,6.18,7.96,39808312,5368709120,477,8663,16770408,24058,33,3674,0.0,12214272
15,1733858817043,15,READ,3064,9.02,0.15,0.5,0.24,0.67,6.52,7.53,40607728,5368709120,477,8823,17167664,24058,33,3762,0.0,12550144
16,1733858817193,0,READ,71,1.81,0.18,0.28,0.26,0.33,0.46,1.81,68089336,5368709120,805,14848,0,24058,63,151,0.15,290816
17,1733858817193,1,READ,70,0.46,0.18,0.27,0.27,0.34,0.41,0.46,69149128,5368709120,853,15062,694336,24058,65,152,0.15,286720
18,1733858817193,2,READ,71,1.73,0.18,0.29,0.26,0.34,0.73,1.73,70067296,5368709120,891,15265,703568,24058,69,154,0.15,290816
19,1733858817193,3,READ,71,0.42,0.2,0.29,0.29,0.38,0.41,0.42,71146480,5368709120,926,15461,708056,24058,73,156,0.15,290816
20,1733858817193,4,READ,72,1.64,0.19,0.32,0.29,0.38,0.74,1.64,72701968,5368709120,982,15800,717224,24058,75,157,0.15,294912
21,1733858817193,5,READ,71,0.7,0.22,0.3,0.29,0.38,0.51,0.7,73881472,5368709120,1016,16104,726328,24058,79,159,0.15,290816
22,1733858817193,6,READ,72,0.42,0.2,0.29,0.29,0.35,0.38,0.42,74658032,5368709120,1060,16289,730880,24058,81,160,0.15,294912
