,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733845569343,0,READ,55,8.97,0.19,1.57,0.41,4.85,8.57,8.97,17114056,5368709120,20,3888,274176,24058,0,62,0.0,225280
1,1733845569343,1,READ,54,9.02,0.18,2.2,0.9,7.77,8.79,9.02,18105440,5368709120,20,4133,269560,24058,0,60,0.0,221184
2,1733845569343,2,READ,57,10.36,0.19,2.83,1.25,7.69,8.72,10.36,18982640,5368709120,20,4323,260392,24058,0,60,0.0,233472
3,1733845569343,3,READ,60,8.78,0.19,2.16,0.95,7.37,8.46,8.78,19887216,5368709120,20,4525,287848,24058,0,64,0.0,245760
4,1733845569343,4,READ,61,11.08,0.22,2.43,0.9,8.31,9.78,11.08,20960744,5368709120,21,4760,301584,24058,0,68,0.0,249856
5,1733845569343,5,READ,62,10.1,0.18,2.24,1.01,7.16,8.97,10.1,21668848,5368709120,21,4931,283232,24058,0,64,0.0,253952
6,1733845569343,6,READ,62,11.02,0.2,2.02,1.07,6.61,7.97,11.02,22349544,5368709120,21,5093,292352,24058,0,64,0.0,253952
7,1733845569343,7,READ,65,9.41,0.21,1.86,0.98,5.48,8.53,9.41,23153720,5368709120,21,5262,306056,24058,0,68,0.0,266240
8,1733845569343,8,READ,67,8.54,0.18,2.21,1.09,6.49,7.99,8.54,23807072,5368709120,21,5367,310640,24058,0,70,0.0,274432
9,1733845569343,9,READ,65,9.78,0.18,2.14,1.01,7.42,9.23,9.78,24236560,5368709120,21,5486,296936,24058,0,67,0.0,266240
10,1733845569343,10,READ,60,12.34,0.19,4.09,2.02,9.31,12.26,12.34,24926520,5368709120,21,5652,287816,24058,0,64,0.0,245760
11,1733845569343,11,READ,55,12.03,0.24,4.61,2.71,10.04,11.96,12.03,25237224,5368709120,21,5704,264992,24058,0,60,0.0,225280
12,1733845569343,12,READ,136,12.67,0.19,3.11,1.51,8.6,12.04,12.67,25858776,5368709120,21,5869,630416,24058,0,145,0.0,557056
13,1733845569343,13,READ,138,10.33,0.19,2.42,1.15,7.35,10.18,10.33,26315720,5368709120,21,5922,648704,24058,0,147,0.0,565248
14,1733845569343,14,READ,2284,14.34,0.18,1.26,0.9,2.38,9.78,11.02,26873096,5368709120,21,6074,10932888,24058,4,2467,0.0,9355264
15,1733845569343,15,READ,2243,10.78,0.17,1.17,0.9,2.28,8.4,10.3,27530984,5368709120,21,6186,10951336,24058,2,2462,0.0,9187328
16,1733845569456,0,READ,213,6.32,0.18,1.6,1.24,3.47,6.0,6.32,69804128,5368709120,37,15373,1302168,24058,2,288,0.113,872448
17,1733845569456,1,READ,213,8.12,0.17,1.38,0.34,3.59,5.77,8.12,70133072,5368709120,37,15493,1274648,24058,1,282,0.113,872448
18,1733845569456,2,READ,215,6.69,0.18,1.61,1.41,3.62,5.22,6.69,70603656,5368709120,37,15599,1279168,24058,0,282,0.113,880640
19,1733845569456,3,READ,214,7.26,0.17,1.65,1.28,3.98,6.25,7.26,70790944,5368709120,37,15649,1302088,24058,1,288,0.113,876544
20,1733845569456,4,READ,213,8.16,0.18,1.76,1.41,4.13,6.3,8.16,70992000,5368709120,37,15695,1329544,24058,2,293,0.113,872448
21,1733845569456,5,READ,216,6.78,0.18,1.59,1.35,3.47,5.99,6.78,71499128,5368709120,37,15808,1306608,24058,0,288,0.113,884736
22,1733845569456,6,READ,213,7.75,0.18,1.69,1.51,3.63,6.37,7.75,71663576,5368709120,37,15847,1302024,24058,0,288,0.113,872448
23,1733845569456,7,READ,214,7.97,0.18,1.51,1.01,3.65,5.99,7.97,72188928,5368709120,37,15968,1370720,24058,0,302,0.113,876544
24,1733845569456,8,READ,214,7.93,0.17,1.63,1.33,3.77,6.61,7.93,72490432,5368709120,37,16029,1375272,24058,0,304,0.113,876544
25,1733845569456,9,READ,209,31.76,0.17,4.4,1.73,18.98,24.75,31.76,72636608,5368709120,37,16065,1311240,24058,0,296,0.113,856064
26,1733845569456,10,READ,198,46.46,0.18,15.2,19.76,25.44,28.82,46.46,73180200,5368709120,37,16189,1224368,24058,1,274,0.113,811008
27,1733845569456,11,READ,196,44.41,0.18,16.33,20.25,25.61,32.17,44.41,73362920,5368709120,37,16223,1187840,24058,1,267,0.113,802816
28,1733845569456,12,READ,396,38.69,0.18,8.66,3.33,22.7,26.0,38.69,73536504,5368709120,37,16276,2457664,24058,0,549,0.113,1622016
29,1733845569456,13,READ,427,24.61,0.18,2.37,1.7,4.42,20.22,24.61,74057256,5368709120,37,16376,2649680,24058,0,588,0.113,1748992
30,1733845569456,14,READ,3309,10.54,0.16,1.88,1.77,3.65,6.2,8.38,74230840,5368709120,37,16415,26644624,24058,10,5888,0.113,13553664
31,1733845569456,15,READ,3290,10.73,0.16,1.93,1.82,3.81,6.04,9.05,74418128,5368709120,37,16455,26296384,24058,4,5804,0.113,13475840
32,1733845569568,0,READ,213,7.42,0.18,1.61,1.16,4.25,5.78,7.42,115819928,5368709120,42,25503,2293472,24058,2,506,0.225,872448
33,1733845569568,1,READ,214,9.78,0.18,1.65,1.2,3.91,5.62,9.78,116048488,5368709120,43,25554,2256816,24058,1,499,0.225,876544
34,1733845569568,2,READ,214,6.5,0.18,1.52,1.13,3.78,4.93,6.5,116482688,5368709120,43,25650,2256720,24058,0,498,0.225,876544
35,1733845569568,3,READ,217,6.04,0.17,1.56,1.24,3.6,4.72,6.04,116669992,5368709120,43,25698,2311680,24058,1,508,0.225,888832
36,1733845569568,4,READ,216,9.17,0.18,1.72,1.33,3.68,6.38,9.17,116843640,5368709120,43,25740,2339168,24058,2,513,0.225,884736
37,1733845569568,5,READ,215,4.72,0.18,1.64,1.39,3.59,4.58,4.72,117410376,5368709120,43,25853,2297928,24058,0,504,0.225,880640
38,1733845569568,6,READ,215,4.91,0.18,1.56,1.34,3.61,4.59,4.91,117611384,5368709120,43,25891,2288712,24058,0,504,0.225,880640
39,1733845569568,7,READ,214,6.81,0.18,1.62,1.27,3.98,5.15,6.81,118040872,5368709120,45,25995,2361976,24058,0,518,0.225,876544
40,1733845569568,8,READ,214,6.92,0.17,1.56,1.17,3.62,4.94,6.92,118237328,5368709120,45,26028,2357424,24058,0,519,0.225,876544
41,1733845569568,9,READ,220,26.69,0.17,3.93,1.62,18.3,23.71,26.69,118438496,5368709120,46,26078,2334568,24058,0,516,0.225,901120
