,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733844998998,0,READ,68,9.12,0.19,1.63,0.98,4.54,7.97,9.12,329080,335544320,0,76,0,0,0,0,0.0,278528
1,1733844998998,1,READ,68,10.34,0.19,2.08,0.97,6.54,8.04,10.34,319912,335544320,0,75,0,0,0,0,0.0,278528
2,1733844998998,2,READ,70,8.16,0.19,1.71,0.88,6.15,7.86,8.16,324464,335544320,0,74,0,0,0,0,0.0,286720
3,1733844998998,3,READ,68,9.87,0.19,2.23,1.18,7.09,8.58,9.87,324480,335544320,0,75,0,0,0,0,0.0,278528
4,1733844998998,4,READ,72,10.2,0.19,2.06,1.02,6.78,9.83,10.2,351936,335544320,0,81,0,0,0,0,0.0,294912
5,1733844998998,5,READ,72,10.25,0.2,2.28,1.14,6.98,9.18,10.25,329048,335544320,0,78,0,0,0,0,0.0,294912
6,1733844998998,6,READ,75,9.21,0.21,1.9,1.06,6.21,8.51,9.21,347288,335544320,0,80,0,0,0,0,0.0,307200
7,1733844998998,7,READ,74,12.4,0.23,2.46,1.16,7.67,10.49,12.4,338184,335544320,0,78,0,0,0,0,0.0,303104
8,1733844998998,8,READ,65,11.23,0.19,3.72,1.95,8.85,11.23,12.06,301640,335544320,0,71,0,0,0,0,0.0,266240
9,1733844998998,9,READ,58,11.86,0.18,4.54,3.32,9.32,10.73,11.86,265064,335544320,0,64,0,0,0,0,0.0,237568
10,1733844998998,10,READ,64,11.58,0.21,4.51,3.35,9.32,11.16,11.58,301624,335544320,0,70,0,0,0,0,0.0,262144
11,1733844998998,11,READ,73,13.82,0.2,2.9,1.3,7.51,10.24,13.82,342752,335544320,0,82,0,0,0,0,0.0,299008
12,1733844998998,12,READ,156,10.66,0.2,2.53,1.38,6.66,9.3,10.66,721880,335544320,0,166,0,0,0,0,0.0,638976
13,1733844998998,13,READ,159,10.22,0.18,2.11,1.14,6.19,9.34,10.22,735584,335544320,0,168,0,0,0,0,0.0,651264
14,1733844998998,14,READ,2395,10.62,0.17,1.33,0.94,2.63,8.46,10.17,11527168,335544320,5,2606,0,0,0,0,0.0,9809920
15,1733844998998,15,READ,2355,10.65,0.18,1.15,0.94,2.2,7.82,9.46,11243696,335544320,2,2520,0,0,0,0,0.0,9646080
16,1733844999107,0,READ,210,7.52,0.17,1.54,1.19,3.42,6.64,7.52,1338768,335544320,2,296,0,0,0,0,0.109,860160
17,1733844999107,1,READ,208,10.91,0.18,1.81,1.46,4.17,6.2,10.91,1306728,335544320,1,293,0,0,0,0,0.109,851968
18,1733844999107,2,READ,208,6.21,0.17,1.66,1.44,3.54,4.79,6.21,1311264,335544320,0,290,0,0,0,0,0.109,851968
19,1733844999107,3,READ,208,8.41,0.17,1.61,1.43,3.53,4.8,8.41,1311312,335544320,1,293,0,0,0,0,0.109,851968
20,1733844999107,4,READ,207,6.87,0.18,1.7,1.56,3.6,6.09,6.87,1352488,335544320,2,300,0,0,0,0,0.109,847872
21,1733844999107,5,READ,209,9.63,0.18,1.78,1.55,3.76,5.41,9.63,1325016,335544320,0,295,0,0,0,0,0.109,856064
22,1733844999107,6,READ,206,12.94,0.18,1.57,1.11,3.71,5.89,12.94,1324968,335544320,0,296,0,0,0,0,0.109,843776
23,1733844999107,7,READ,200,31.02,0.18,5.89,1.98,21.86,27.71,31.02,1338880,335544320,0,298,0,0,0,0,0.109,819200
24,1733844999107,8,READ,194,48.96,0.18,14.51,19.09,26.56,31.57,48.96,1252008,335544320,0,279,0,0,0,0,0.109,794624
25,1733844999107,9,READ,192,56.32,0.18,18.32,20.85,26.35,30.45,56.32,1178792,335544320,0,268,0,0,0,0,0.109,786432
26,1733844999107,10,READ,196,30.56,0.18,12.61,13.44,24.53,28.69,30.56,1219872,335544320,1,271,0,0,0,0,0.109,802816
27,1733844999107,11,READ,209,17.7,0.18,2.1,1.78,4.38,12.73,17.7,1338736,335544320,1,299,0,0,0,0,0.109,856064
28,1733844999107,12,READ,421,13.78,0.18,1.97,1.76,4.37,7.29,13.78,2667912,335544320,0,590,0,0,0,0,0.109,1724416
29,1733844999107,13,READ,416,7.97,0.18,1.81,1.66,4.12,5.87,7.97,2681760,335544320,0,595,0,0,0,0,0.109,1703936
30,1733844999107,14,READ,3176,11.55,0.17,1.88,1.81,3.64,5.95,8.21,26608056,335544320,10,5867,0,0,0,0,0.109,13008896
31,1733844999107,15,READ,3221,9.53,0.17,1.95,1.87,3.82,6.01,9.16,26241592,335544320,4,5797,0,0,0,0,0.109,13193216
32,1733844999216,0,READ,208,4.42,0.18,1.46,0.98,3.42,4.33,4.42,2298128,335544320,2,508,0,0,0,0,0.218,851968
33,1733844999216,1,READ,211,10.21,0.17,1.72,1.31,3.69,5.74,10.21,2270640,335544320,1,503,0,0,0,0,0.218,864256
34,1733844999216,2,READ,206,6.48,0.17,1.63,1.1,3.93,5.79,6.48,2256872,335544320,0,499,0,0,0,0,0.218,843776
35,1733844999216,3,READ,209,6.48,0.17,1.68,1.3,3.77,4.86,6.48,2284424,335544320,1,506,0,0,0,0,0.218,856064
36,1733844999216,4,READ,209,9.25,0.18,1.67,1.18,4.19,6.28,9.25,2330152,335544320,2,513,0,0,0,0,0.218,856064
37,1733844999216,5,READ,208,4.62,0.18,1.57,1.39,3.46,4.42,4.62,2275208,335544320,0,504,0,0,0,0,0.218,851968
38,1733844999216,6,READ,211,6.21,0.17,1.62,1.28,3.63,4.71,6.21,2293400,335544320,0,505,0,0,0,0,0.218,864256
39,1733844999216,7,READ,208,33.53,0.17,4.84,1.72,20.29,28.75,33.53,2293688,335544320,0,507,0,0,0,0,0.218,851968
40,1733844999216,8,READ,209,44.54,0.2,14.33,19.12,25.87,30.67,44.54,2225104,335544320,0,492,0,0,0,0,0.218,856064
41,1733844999216,9,READ,215,53.76,0.18,17.39,20.85,26.35,42.85,53.76,2202216,335544320,0,490,0,0,0,0,0.218,880640
42,1733844999216,10,READ,205,49.05,0.18,14.99,20.16,24.83,29.73,49.05,2183864,335544320,1,486,0,0,0,0,0.218,839680
43,1733844999216,11,READ,210,28.06,0.18,3.17,1.61,4.94,24.75,28.06,2316400,335544320,1,512,0,0,0,0,0.218,860160
44,1733844999216,12,READ,413,10.03,0.17,2.02,1.69,4.56,6.38,10.03,4595784,335544320,0,1014,0,0,0,0,0.218,1691648
45,1733844999216,13,READ,412,11.14,0.17,1.91,1.73,3.9,6.11,11.14,4614248,335544320,0,1021,0,0,0,0,0.218,1687552
46,1733844999216,14,READ,3136,8.54,0.17,1.89,1.81,3.69,6.03,7.89,41451392,335544320,15,9106,0,0,0,0,0.218,12845056
47,1733844999216,15,READ,3183,9.46,0.17,1.95,1.85,3.83,6.13,8.03,41290728,335544320,8,9068,0,0,0,0,0.218,13037568
48,1733844999328,0,READ,214,8.71,0.18,1.6,1.02,4.2,4.9,8.71,3312400,335544320,2,729,0,0,0,0,0.33,876544
49,1733844999328,1,READ,215,8.02,0.18,1.74,1.6,4.16,5.11,8.02,3271176,335544320,1,722,0,0,0,0,0.33,880640
50,1733844999328,2,READ,216,6.26,0.18,1.79,1.58,4.22,5.93,6.26,3243624,335544320,0,715,0,0,0,0,0.33,884736
51,1733844999328,3,READ,215,5.86,0.18,1.71,1.42,3.73,4.69,5.86,3266576,335544320,1,721,0,0,0,0,0.33,880640
52,1733844999328,4,READ,214,6.81,0.17,1.62,1.17,3.62,5.13,6.81,3316888,335544320,2,730,0,0,0,0,0.33,876544
53,1733844999328,5,READ,215,6.1,0.18,1.75,1.48,3.93,5.42,6.1,3294080,335544320,0,727,0,0,0,0,0.33,880640
54,1733844999328,6,READ,213,7.92,0.18,1.7,1.44,3.77,5.65,7.92,3307640,335544320,0,728,0,0,0,0,0.33,872448
55,1733844999328,7,READ,220,28.64,0.17,4.5,1.84,18.91,26.16,28.64,3317016,335544320,0,733,0,0,0,0,0.33,901120
56,1733844999328,8,READ,215,30.75,0.18,12.35,14.26,24.56,27.7,30.75,3207256,335544320,0,710,0,0,0,0,0.33,880640
57,1733844999328,9,READ,212,30.02,0.18,17.7,21.63,25.57,28.41,30.02,3170648,335544320,0,702,0,0,0,0,0.33,868352
58,1733844999328,10,READ,220,28.72,0.19,14.61,19.1,24.37,26.91,28.72,3188840,335544320,1,705,0,0,0,0,0.33,901120
59,1733844999328,11,READ,211,23.74,0.18,2.8,1.41,4.58,22.88,23.74,3280296,335544320,1,723,0,0,0,0,0.33,864256
60,1733844999328,12,READ,424,9.02,0.18,1.76,1.34,4.42,6.18,9.02,6624424,335544320,1,1463,0,0,0,0,0.33,1736704
61,1733844999328,13,READ,431,11.49,0.16,1.86,1.57,4.38,6.44,11.49,6642648,335544320,1,1465,0,0,0,0,0.33,1765376
62,1733844999328,14,READ,3236,13.05,0.16,1.99,1.86,3.92,7.01,10.98,57218968,335544320,26,12582,0,0,0,0,0.33,13254656
63,1733844999328,15,READ,3175,11.68,0.17,2.04,1.92,4.03,6.54,10.34,56431320,335544320,14,12414,0,0,0,0,0.33,13004800
64,1733844999437,0,READ,208,9.29,0.18,1.62,1.23,3.59,7.44,9.29,4303816,335544320,2,945,0,0,0,0,0.439,851968
65,1733844999437,1,READ,208,10.54,0.18,1.7,1.31,3.66,5.18,10.54,4258024,335544320,1,937,0,0,0,0,0.439,851968
66,1733844999437,2,READ,207,7.1,0.18,1.89,1.68,3.8,6.48,7.1,4225872,335544320,0,930,0,0,0,0,0.439,847872
67,1733844999437,3,READ,209,9.61,0.15,1.88,1.59,4.29,7.21,9.61,4257928,335544320,2,935,0,0,0,0,0.439,856064
68,1733844999437,4,READ,206,7.97,0.18,1.85,1.5,4.04,6.28,7.97,4294584,335544320,2,946,0,0,0,0,0.439,843776
69,1733844999437,5,READ,209,11.91,0.17,1.77,1.44,4.05,6.13,11.91,4285464,335544320,0,943,0,0,0,0,0.439,856064
70,1733844999437,6,READ,205,8.9,0.17,1.6,1.28,3.67,4.89,8.9,4280768,335544320,0,944,0,0,0,0,0.439,839680
71,1733844999437,7,READ,207,28.43,0.18,4.27,1.82,17.47,25.02,28.43,4299280,335544320,0,948,0,0,0,0,0.439,847872
72,1733844999437,8,READ,214,28.82,0.17,12.76,15.7,25.33,28.53,28.82,4212312,335544320,0,929,0,0,0,0,0.439,876544
73,1733844999437,9,READ,209,39.81,0.18,17.51,21.02,25.39,28.48,39.81,4162032,335544320,0,919,0,0,0,0,0.439,856064
74,1733844999437,10,READ,202,29.25,0.19,15.07,19.95,25.41,27.52,29.25,4143648,335544320,1,914,0,0,0,0,0.439,827392
75,1733844999437,11,READ,212,27.58,0.18,2.48,1.23,4.29,25.71,27.58,4276232,335544320,1,942,0,0,0,0,0.439,868352
76,1733844999437,12,READ,419,10.24,0.17,2.0,1.58,4.73,7.76,10.24,8671368,335544320,1,1907,0,0,0,0,0.439,1716224
77,1733844999437,13,READ,417,8.94,0.16,1.9,1.59,4.29,6.38,8.94,8597928,335544320,1,1892,0,0,0,0,0.439,1708032
78,1733844999437,14,READ,3008,12.49,0.16,2.01,1.88,3.98,7.09,10.71,71537192,335544320,33,15717,0,0,0,0,0.439,12320768
79,1733844999437,15,READ,3006,11.6,0.17,2.12,1.98,4.2,7.37,9.79,71065808,335544320,25,15614,0,0,0,0,0.439,12312576
80,1733844999545,0,READ,206,7.09,0.18,1.52,0.9,3.81,4.97,7.09,5276896,335544320,4,1159,0,0,0,0,0.547,843776
81,1733844999545,1,READ,207,8.1,0.18,1.57,1.09,3.57,4.96,8.1,5254040,335544320,2,1156,0,0,0,0,0.547,847872
82,1733844999545,2,READ,208,10.3,0.18,1.68,1.21,3.83,6.7,10.3,5226424,335544320,0,1148,0,0,0,0,0.547,851968
83,1733844999545,3,READ,207,6.82,0.18,1.65,1.3,3.81,4.84,6.82,5231024,335544320,3,1149,0,0,0,0,0.547,847872
