,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733771147290,0,READ,3,0.89,0.21,0.57,0.61,0.89,0.89,0.89,457192,85899345920,15,159,27424,1076101112,0,7,0.0,12288
1,1733771147290,1,READ,6,3.31,0.2,1.37,0.91,2.22,3.31,3.31,786120,85899345920,15,382,64000,1076101112,0,15,0.0,24576
2,1733771147290,2,READ,14,5.25,0.19,2.26,2.08,3.68,5.25,5.25,1339056,85899345920,15,640,77672,1076101112,0,17,0.0,57344
3,1733771147290,3,READ,18,4.77,0.19,1.59,1.15,3.62,4.77,4.77,1709096,85899345920,15,710,109680,1076101112,0,24,0.0,73728
4,1733771147290,4,READ,22,10.17,0.19,2.51,0.63,5.59,10.17,10.17,2069968,85899345920,15,786,137120,1076101112,0,30,0.0,90112
5,1733771147290,5,READ,26,8.03,0.19,1.71,0.28,4.33,8.03,8.03,2526768,85899345920,15,862,137056,1076101112,0,30,0.0,106496
6,1733771147290,6,READ,30,5.72,0.17,1.11,0.25,3.56,5.72,5.72,2910480,85899345920,15,945,155328,1076101112,0,34,0.0,122880
7,1733771147290,7,READ,34,5.19,0.18,0.92,0.26,2.33,5.19,5.19,3504368,85899345920,15,1037,178152,1076101112,0,39,0.0,139264
8,1733771147290,8,READ,39,3.58,0.17,0.73,0.29,2.27,3.58,3.58,4185016,85899345920,15,1235,214696,1076101112,0,47,0.0,159744
9,1733771147290,9,READ,47,3.17,0.18,0.6,0.26,1.93,3.17,3.17,4911328,85899345920,15,1373,232968,1076101112,0,51,0.0,192512
10,1733771147290,10,READ,51,2.58,0.18,0.45,0.24,0.95,2.25,2.58,5464072,85899345920,15,1490,260424,1076101112,0,57,0.0,208896
11,1733771147290,11,READ,55,4.51,0.18,0.63,0.23,1.9,3.47,4.51,6094504,85899345920,15,1611,283248,1076101112,0,62,0.0,225280
12,1733771147290,12,READ,99,14.3,0.17,4.2,3.17,9.55,14.28,14.3,6775184,85899345920,15,1768,497912,1076101112,0,128,0.0,405504
13,1733771147290,13,READ,112,9.64,0.18,2.61,1.67,6.66,9.39,9.64,7396496,85899345920,15,1941,543592,1076101112,0,142,0.0,458752
14,1733771147290,14,READ,426,87.04,0.22,41.32,45.28,56.99,74.43,87.04,8026928,85899345920,15,2069,2065040,1076101112,0,452,0.0,1744896
15,1733771147290,15,READ,176,40.8,0.21,26.75,29.54,36.38,40.51,40.8,8584272,85899345920,15,2145,1014192,1076101112,0,535,0.0,720896
16,1733771147486,0,READ,154,5.2,0.18,0.85,0.3,2.0,3.59,5.2,25030784,85899345920,25,5759,785840,1076101112,2,172,0.196,630784
17,1733771147486,1,READ,154,5.52,0.18,0.68,0.28,1.81,4.34,5.52,26300784,85899345920,25,5989,785776,1076101112,1,174,0.196,630784
18,1733771147486,2,READ,155,4.25,0.18,0.65,0.28,1.7,2.73,4.25,27406496,85899345920,25,6257,794848,1076101112,0,175,0.196,634880
19,1733771147486,3,READ,152,4.28,0.18,0.64,0.29,1.7,2.25,4.28,28320160,85899345920,26,6457,831472,1076101112,1,182,0.196,622592
20,1733771147486,4,READ,152,5.32,0.18,0.73,0.27,1.9,4.25,5.32,29165400,85899345920,26,6636,868096,1076101112,2,190,0.196,622592
21,1733771147486,5,READ,152,5.86,0.17,0.61,0.28,1.52,2.65,5.86,29983104,85899345920,27,6822,858832,1076101112,0,188,0.196,622592
22,1733771147486,6,READ,152,4.15,0.18,0.58,0.26,1.45,3.22,4.15,30796304,85899345920,27,7006,863384,1076101112,0,190,0.196,622592
23,1733771147486,7,READ,150,4.08,0.18,0.64,0.28,1.61,2.32,4.08,31623272,85899345920,27,7211,899960,1076101112,0,197,0.196,614400
24,1733771147486,8,READ,146,5.16,0.18,0.68,0.27,1.75,4.04,5.16,32326920,85899345920,27,7403,932000,1076101112,0,205,0.196,598016
25,1733771147486,9,READ,146,4.03,0.17,0.71,0.29,1.64,3.9,4.03,33153904,85899345920,27,7586,941136,1076101112,0,208,0.196,598016
26,1733771147486,10,READ,143,3.93,0.15,0.63,0.27,1.69,2.87,3.93,34040384,85899345920,27,7729,941104,1076101112,1,207,0.196,585728
27,1733771147486,11,READ,141,4.97,0.16,0.62,0.27,1.51,2.19,4.97,34643472,85899345920,27,7830,968528,1076101112,1,213,0.196,577536
28,1733771147486,12,READ,303,33.38,0.18,3.94,1.41,12.66,17.38,33.38,35918296,85899345920,27,8115,1932328,1076101112,0,423,0.196,1241088
29,1733771147486,13,READ,300,33.47,0.18,3.57,1.41,10.46,14.13,33.47,36763632,85899345920,27,8305,2000992,1076101112,0,439,0.196,1228800
30,1733771147486,14,READ,1938,12.89,0.15,1.75,1.48,4.17,6.29,8.13,37700280,85899345920,27,8535,11659664,1076101112,2,2583,0.196,7938048
31,1733771147486,15,READ,1955,108.29,17.46,30.21,28.93,40.38,71.81,102.27,38586728,85899345920,27,8753,10562640,1076101112,2,2626,0.196,8007680
32,1733771147662,0,READ,132,3.94,0.18,1.05,0.31,2.59,3.83,3.94,60370152,85899345920,31,13464,1439192,1076101112,2,317,0.372,540672
33,1733771147662,1,READ,134,5.49,0.18,1.08,0.3,2.61,4.55,5.49,61726896,85899345920,31,13698,1466552,1076101112,1,321,0.372,548864
34,1733771147662,2,READ,137,3.33,0.18,0.82,0.29,2.38,2.99,3.33,63165880,85899345920,31,14033,1471024,1076101112,0,323,0.372,561152
35,1733771147662,3,READ,138,4.42,0.17,0.98,0.3,2.44,3.04,4.42,64586528,85899345920,31,14364,1516816,1076101112,1,335,0.372,565248
