,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733776134017,0,READ,38,8.43,0.21,2.04,0.36,6.33,8.43,8.43,3499800,5368709120,15,1113,191936,67256312,0,43,0.0,155648
1,1733776134017,1,READ,39,8.13,0.19,1.44,0.26,5.26,8.13,8.13,3682536,5368709120,15,1154,205624,67256312,0,45,0.0,159744
2,1733776134017,2,READ,43,8.38,0.18,1.7,0.28,6.52,8.38,8.38,3842416,5368709120,15,1198,196440,67256312,0,43,0.0,176128
3,1733776134017,3,READ,43,8.36,0.18,1.56,0.26,6.31,8.36,8.36,3846984,5368709120,15,1204,205608,67256312,0,45,0.0,176128
4,1733776134017,4,READ,43,8.45,0.18,1.59,0.24,6.65,8.45,8.45,3851552,5368709120,15,1204,214808,67256312,0,47,0.0,176128
5,1733776134017,5,READ,43,8.29,0.17,1.32,0.24,5.78,8.29,8.29,3974888,5368709120,15,1226,196488,67256312,0,43,0.0,176128
6,1733776134017,6,READ,43,8.51,0.17,1.21,0.26,6.0,8.51,8.51,4171312,5368709120,15,1264,196456,67256312,0,47,0.0,176128
7,1733776134017,7,READ,46,8.45,0.17,1.37,0.26,6.01,8.45,8.45,4363184,5368709120,15,1305,214696,67256312,0,47,0.0,188416
8,1733776134017,8,READ,47,8.84,0.17,1.62,0.29,6.49,8.84,8.84,4367752,5368709120,15,1318,214696,67256312,0,47,0.0,192512
9,1733776134017,9,READ,47,8.38,0.18,1.38,0.26,5.7,8.38,8.38,4367752,5368709120,15,1318,214696,67256312,0,47,0.0,192512
10,1733776134017,10,READ,47,8.39,0.16,1.34,0.29,5.76,8.39,8.39,4509360,5368709120,15,1340,223864,67256312,0,49,0.0,192512
11,1733776134017,11,READ,47,8.38,0.17,1.43,0.24,6.03,8.38,8.38,4664672,5368709120,15,1373,223864,67256312,0,49,0.0,192512
12,1733776134017,12,READ,47,8.26,0.18,1.23,0.26,5.25,8.26,8.26,4833688,5368709120,15,1415,232968,67256312,0,51,0.0,192512
13,1733776134017,13,READ,51,8.32,0.17,1.03,0.25,3.73,7.34,8.32,4874800,5368709120,15,1429,232968,67256312,0,51,0.0,208896
14,1733776134017,14,READ,235,55.42,0.23,40.47,45.05,50.72,54.37,55.42,4874800,5368709120,15,1429,1096464,67256312,0,430,0.0,962560
15,1733776134017,15,READ,99,29.14,0.22,17.23,16.48,25.86,28.88,29.14,4957040,5368709120,15,1437,452232,67256312,0,290,0.0,405504
16,1733776134133,0,READ,95,3.55,0.18,0.86,0.37,1.96,3.3,3.55,18337928,5368709120,24,4365,639632,67256312,2,140,0.116,389120
17,1733776134133,1,READ,91,2.28,0.17,0.63,0.29,1.56,2.14,2.28,18602904,5368709120,24,4415,621312,67256312,1,138,0.116,372736
18,1733776134133,2,READ,91,2.78,0.18,0.53,0.26,1.48,2.04,2.78,18858760,5368709120,24,4481,616712,67256312,0,136,0.116,372736
