,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732413859655,0,READ,446,1121.28,19.07,137.05,22.38,536.06,740.86,1121.28,856400,10485760
1,1732413859655,1,READ,446,902.14,24.13,495.34,492.54,615.93,847.87,902.14,3849120,10485760
2,1732413859655,2,READ,446,1252.35,24.62,489.33,483.07,608.25,892.93,1252.35,3857848,10485760
3,1732413859655,3,READ,447,1001.98,24.16,475.98,469.76,581.12,816.64,1001.98,3857880,10485760
4,1732413860157,0,READ,502,635.39,18.9,23.67,22.37,24.75,26.66,31.44,865048,10485760
5,1732413860157,1,READ,496,6414.34,25.73,502.03,486.65,608.25,831.49,6414.34,8130744,10485760
6,1732413860157,2,READ,501,819.71,25.33,482.59,487.42,599.55,741.89,765.95,8174032,10485760
7,1732413860157,3,READ,502,1003.52,25.81,480.92,477.44,583.68,785.92,836.61,8182632,10485760
8,1732413860658,0,READ,500,623.1,19.17,23.75,21.54,27.01,33.09,623.1,865048,10279226
9,1732413860658,1,READ,501,1538.05,24.62,481.1,472.32,606.21,896.51,1060.86,10336224,10509293
10,1732413860658,2,READ,502,1625.09,25.78,495.01,499.2,609.79,826.37,1031.17,10379544,10509777
11,1732413860658,3,READ,503,1613.82,24.67,501.79,493.57,622.08,860.16,1228.8,10431288,10646019
12,1732413861163,0,READ,504,26.69,19.12,21.02,20.94,22.18,23.63,24.37,865048,9977970
13,1732413861163,1,READ,498,6586.37,28.54,497.06,486.65,614.4,808.45,6586.37,10388096,10516494
14,1732413861163,2,READ,502,941.57,25.41,474.47,473.6,595.97,783.87,941.57,10656296,10793668
15,1732413861163,3,READ,498,3940.35,24.82,494.28,486.65,611.84,850.43,3940.35,10517736,10654908
16,1732413861665,0,READ,501,63.33,19.33,22.12,21.6,23.38,46.46,59.07,865048,9591224
17,1732413861665,1,READ,502,998.91,25.15,485.38,485.63,611.84,864.77,977.92,10517832,10645956
18,1732413861665,2,READ,498,3667.97,24.82,491.24,485.38,597.5,830.46,3667.97,10794680,10923201
19,1732413861665,3,READ,499,3358.72,24.03,481.35,480.25,596.48,701.95,3358.72,10656104,10783122
20,1732413862166,0,READ,501,52.48,19.39,21.57,21.45,23.01,24.77,26.75,865048,9273578
21,1732413862166,1,READ,501,1018.88,25.04,482.49,481.54,595.46,828.93,889.34,10587032,10691319
22,1732413862166,2,READ,501,914.43,27.23,479.37,479.49,599.04,795.65,903.17,10933048,11059365
23,1732413862166,3,READ,502,906.75,28.72,479.87,478.72,592.89,799.23,880.64,10794488,10921323
24,1732413862668,0,READ,502,47.62,19.15,21.29,21.23,22.61,23.86,24.46,865048,8875577
25,1732413862668,1,READ,501,1267.71,24.13,480.18,483.58,601.6,832.0,1034.75,10794600,10930285
26,1732413862668,2,READ,502,925.7,24.18,477.19,477.95,581.63,790.01,878.59,10933048,11068833
27,1732413862668,3,READ,501,940.54,27.36,476.81,479.74,582.65,844.29,930.82,10932824,11068579
28,1732413863170,0,READ,501,24.98,18.96,21.29,21.26,22.64,23.81,24.25,865048,8479571
29,1732413863170,1,READ,501,1001.98,24.77,481.04,482.81,600.06,847.87,938.5,11071352,11200767
30,1732413863170,2,READ,501,1202.17,24.53,472.45,478.46,577.53,716.8,836.1,11071400,11200360
31,1732413863170,3,READ,501,1140.73,24.64,464.96,464.13,582.14,851.97,1027.07,10932776,11062142
32,1732413863671,0,READ,502,61.76,18.99,21.34,21.12,22.73,23.97,26.21,865048,8174849
33,1732413863671,1,READ,502,1001.98,25.9,485.86,484.1,606.72,796.67,976.38,11209736,11344859
34,1732413863671,2,READ,502,931.33,25.12,481.35,482.56,595.97,770.05,869.38,11235712,11355604
35,1732413863671,3,READ,502,851.46,28.46,473.39,474.88,593.41,766.46,798.72,10932776,11067830
36,1732413864173,0,READ,502,72.45,19.02,22.39,21.26,27.14,31.66,45.76,865048,7779255
37,1732413864173,1,READ,502,1359.87,28.24,478.23,472.83,589.31,787.97,846.34,11486456,11619011
38,1732413864173,2,READ,503,1089.54,29.06,488.07,489.47,599.55,881.66,956.93,11348152,11480509
39,1732413864173,3,READ,503,1071.1,29.07,471.42,475.65,589.31,752.64,872.45,10932776,11065146
40,1732413864678,0,READ,504,56.35,19.2,21.43,21.23,22.78,26.29,54.81,865048,7467028
41,1732413864678,1,READ,503,1089.54,27.78,473.21,481.02,589.31,736.25,847.36,11702640,11802808
42,1732413864678,2,READ,503,1033.21,26.93,478.32,482.3,594.43,782.85,988.67,11348152,11473357
43,1732413864678,3,READ,503,1165.31,28.37,480.82,480.77,599.55,845.82,890.88,11071144,11196579
44,1732413865179,0,READ,502,25.58,19.09,21.26,21.14,22.7,24.43,25.23,865048,7077410
45,1732413865179,1,READ,502,1025.54,26.56,482.28,485.38,601.6,815.62,933.89,11901512,12036982
