,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732413984948,0,READ,443,5132.29,18.88,124.14,22.59,459.52,633.86,5132.29,856320,10485760
1,1732413984948,1,READ,447,939.52,24.46,495.36,493.31,608.77,796.67,939.52,3857784,10485760
2,1732413984948,2,READ,447,1241.09,24.02,491.32,495.87,607.74,810.5,1241.09,3857848,10485760
3,1732413984948,3,READ,447,1441.79,23.82,492.29,488.7,608.77,850.94,1441.79,3857816,10485760
4,1732413985449,0,READ,501,680.45,19.09,22.93,21.54,22.88,24.66,52.8,864968,10485760
5,1732413985449,1,READ,501,1207.3,24.98,491.89,483.33,612.35,825.34,987.13,8173984,10485760
6,1732413985449,2,READ,501,867.84,24.7,486.93,488.45,598.01,797.18,848.38,8182696,10485760
7,1732413985449,3,READ,501,943.62,25.54,492.96,489.47,600.58,773.12,900.1,8182584,10485760
8,1732413985951,0,READ,500,132.74,19.18,22.91,21.71,27.1,35.07,132.74,864968,10273340
9,1732413985951,1,READ,502,1067.01,26.13,484.87,493.82,598.01,739.84,1059.84,10336256,10511228
10,1732413985951,2,READ,502,1015.81,26.3,491.54,493.57,600.58,819.71,958.98,10379496,10511006
11,1732413985951,3,READ,503,1537.02,24.32,487.7,485.89,610.3,746.5,828.41,10431320,10648360
12,1732413986456,0,READ,505,27.12,19.14,21.15,21.05,22.41,23.76,25.23,864968,9943260
13,1732413986456,1,READ,504,950.27,28.14,490.56,486.4,606.72,829.95,919.04,10517816,10638435
14,1732413986456,2,READ,503,1137.66,24.99,486.91,487.17,601.6,862.21,1047.55,10379480,10500483
15,1732413986456,3,READ,501,1797.12,27.9,481.66,481.02,592.89,797.18,1135.62,10768592,10865439
16,1732413986958,0,READ,501,56.16,19.02,21.7,21.57,23.42,25.49,28.13,864968,9569253
17,1732413986958,1,READ,501,1079.3,24.7,488.15,487.94,607.74,829.44,1007.1,10517816,10653067
