,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732415003383,0,READ,443,2359.3,21.1,445.81,492.54,604.67,772.1,2359.3,0,0
1,1732415003383,1,READ,434,3287.04,24.61,529.47,492.03,647.68,2183.17,3287.04,0,0
2,1732415003383,2,READ,433,2703.36,24.75,425.25,305.15,599.04,2308.09,2703.36,0,0
3,1732415003383,3,READ,426,2945.02,27.1,426.78,296.45,620.03,2385.92,2945.02,0,0
4,1732415003884,0,READ,502,903.68,20.59,282.96,398.33,582.14,702.98,865.79,0,0
5,1732415003884,1,READ,502,1022.46,24.94,496.17,492.03,624.13,820.74,947.71,0,0
6,1732415003884,2,READ,499,2310.14,25.54,368.95,293.63,573.44,688.64,2310.14,0,0
7,1732415003884,3,READ,499,2510.85,26.94,365.96,288.77,596.99,1013.25,2510.85,0,0
8,1732415004386,0,READ,499,848.89,20.35,205.55,27.49,559.62,688.64,848.89,0,0
9,1732415004386,1,READ,502,1289.21,25.89,489.55,484.35,620.54,876.54,1046.02,0,0
10,1732415004386,2,READ,503,1178.62,25.5,368.87,297.21,564.74,815.62,887.29,0,0
11,1732415004386,3,READ,495,6692.86,25.1,351.63,276.22,539.13,894.98,6692.86,0,0
12,1732415004891,0,READ,504,649.73,19.41,120.67,26.0,498.69,612.86,636.41,0,0
13,1732415004891,1,READ,502,2205.7,24.29,487.71,479.49,615.93,798.72,1652.73,0,0
14,1732415004891,2,READ,497,6283.26,25.81,380.47,297.21,570.37,777.22,6283.26,0,0
15,1732415004891,3,READ,499,2723.84,26.67,350.64,281.34,591.36,1016.32,2723.84,0,0
16,1732415005392,0,READ,502,706.05,20.37,112.7,24.72,476.42,608.77,646.14,0,0
17,1732415005392,1,READ,501,1362.94,23.5,478.93,491.52,598.53,800.77,1090.56,0,0
18,1732415005392,2,READ,500,2213.89,23.66,381.44,300.54,576.0,756.22,2213.89,0,0
19,1732415005392,3,READ,492,4788.22,23.87,369.94,278.78,571.9,1162.24,4788.22,0,0
20,1732415005894,0,READ,501,837.63,19.7,80.01,23.7,407.81,652.8,734.72,0,0
21,1732415005894,1,READ,499,2930.69,24.98,490.96,485.63,600.58,796.16,2930.69,0,0
22,1732415005894,2,READ,493,6438.91,24.77,393.52,296.96,577.02,784.38,6438.91,0,0
23,1732415005894,3,READ,495,2496.51,27.15,350.12,286.21,528.38,1063.93,2496.51,0,0
24,1732415006396,0,READ,502,833.02,19.84,61.13,22.91,26.72,598.01,771.58,0,0
25,1732415006396,1,READ,501,1274.88,23.6,489.39,489.21,611.84,830.98,945.15,0,0
26,1732415006396,2,READ,500,2387.97,23.15,379.91,317.69,569.86,757.76,2387.97,0,0
27,1732415006396,3,READ,494,3334.14,24.58,315.47,268.29,452.1,1514.49,3334.14,0,0
28,1732415006897,0,READ,501,719.36,20.1,41.91,22.82,25.04,522.5,670.21,0,0
29,1732415006897,1,READ,501,2131.97,23.44,465.36,468.22,603.13,817.15,900.61,0,0
30,1732415006897,2,READ,501,1186.82,23.76,354.15,287.49,548.35,699.39,791.55,0,0
31,1732415006897,3,READ,497,4882.43,25.04,307.93,265.21,451.07,670.72,4882.43,0,0
32,1732415007399,0,READ,501,608.25,19.49,41.89,22.7,24.8,559.1,603.13,0,0
33,1732415007399,1,READ,500,2590.72,22.96,490.25,488.19,599.55,797.7,2590.72,0,0
34,1732415007399,2,READ,499,2846.72,23.54,399.2,387.58,574.46,780.8,2846.72,0,0
35,1732415007399,3,READ,500,2426.88,26.77,323.08,275.45,506.11,687.1,2426.88,0,0
36,1732415007901,0,READ,502,782.34,19.79,44.18,25.68,32.05,579.58,775.68,0,0
