,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732414176219,0,READ,409,3426.3,20.58,177.44,24.7,533.5,2066.43,3426.3,0,0
1,1732414176219,1,READ,399,5611.52,26.75,580.8,516.1,652.8,2506.75,5611.52,0,0
2,1732414176219,2,READ,411,2603.01,26.58,426.94,362.75,577.02,2177.02,2603.01,0,0
3,1732414176219,3,READ,401,4325.38,25.55,394.41,290.3,540.67,2164.74,4325.38,0,0
4,1732414176721,0,READ,501,540.67,20.38,24.4,22.59,24.82,37.73,39.36,0,0
5,1732414176721,1,READ,482,6643.71,25.7,549.72,500.22,613.38,2084.86,6643.71,0,0
6,1732414176721,2,READ,497,2920.45,25.63,412.98,357.12,588.29,846.85,2920.45,0,0
7,1732414176721,3,READ,497,2705.41,27.2,340.0,283.39,539.13,809.98,2236.41,0,0
8,1732414177223,0,READ,500,1155.07,20.43,27.31,23.21,32.38,47.62,90.11,0,0
9,1732414177223,1,READ,501,1595.39,26.43,508.18,499.2,617.47,911.36,1340.41,0,0
10,1732414177223,2,READ,502,1672.19,26.88,391.19,345.09,568.32,763.9,1177.6,0,0
11,1732414177223,3,READ,503,1111.04,26.35,320.13,285.44,492.03,714.75,904.19,0,0
12,1732414177727,0,READ,504,73.34,20.22,24.49,23.12,33.25,39.71,56.77,0,0
13,1732414177727,1,READ,503,2349.05,26.78,509.54,502.78,619.52,835.58,975.36,0,0
14,1732414177727,2,READ,501,2316.29,26.02,400.07,385.79,577.53,833.53,911.87,0,0
15,1732414177727,3,READ,501,1802.24,25.92,324.89,283.13,481.02,736.25,1473.54,0,0
16,1732414178229,0,READ,502,613.38,20.1,25.34,23.07,26.35,39.87,55.77,0,0
17,1732414178229,1,READ,500,2541.57,24.53,505.29,500.99,612.35,828.41,2541.57,0,0
18,1732414178229,2,READ,500,2254.85,24.78,399.81,374.27,594.43,881.66,2254.85,0,0
19,1732414178229,3,READ,500,2095.1,23.54,325.57,283.9,507.9,660.99,2095.1,0,0
20,1732414178731,0,READ,501,353.79,19.97,25.0,22.62,24.53,40.0,309.5,0,0
21,1732414178731,1,READ,499,2516.99,23.42,508.75,497.41,614.91,857.09,2516.99,0,0
22,1732414178731,2,READ,501,1726.46,25.66,396.65,391.68,569.86,685.57,890.88,0,0
23,1732414178731,3,READ,501,849.92,25.89,304.72,264.96,478.72,699.9,845.31,0,0
24,1732414179233,0,READ,501,38.17,20.14,23.18,22.67,24.57,36.64,38.17,0,0
25,1732414179233,1,READ,499,2361.34,24.9,500.82,489.73,598.01,841.73,2361.34,0,0
26,1732414179233,2,READ,501,1200.13,24.91,402.71,403.45,589.31,762.37,887.81,0,0
27,1732414179233,3,READ,501,1011.2,25.79,314.15,275.97,504.57,681.98,1004.54,0,0
28,1732414179734,0,READ,502,57.53,20.03,23.63,22.8,25.14,38.46,41.25,0,0
29,1732414179734,1,READ,501,1064.96,25.22,481.06,487.17,588.8,846.34,1028.61,0,0
30,1732414179734,2,READ,501,1937.41,24.69,394.33,405.5,575.49,702.98,1262.59,0,0
31,1732414179734,3,READ,500,2664.45,24.35,307.48,269.31,499.71,670.21,2664.45,0,0
32,1732414180236,0,READ,502,40.09,20.19,23.27,22.59,24.86,37.76,39.36,0,0
33,1732414180236,1,READ,495,6557.69,24.8,501.46,476.93,601.09,918.53,6557.69,0,0
34,1732414180236,2,READ,498,2146.3,23.87,410.95,421.89,575.49,723.97,2146.3,0,0
35,1732414180236,3,READ,501,2193.41,25.28,306.99,263.42,487.17,714.24,820.74,0,0
36,1732414180738,0,READ,501,83.39,20.21,25.92,24.38,32.0,48.86,79.74,0,0
37,1732414180738,1,READ,498,2977.79,25.66,500.79,484.86,605.7,889.86,2977.79,0,0
38,1732414180738,2,READ,503,841.22,25.65,412.64,431.87,602.62,785.92,838.14,0,0
39,1732414180738,3,READ,504,894.46,24.62,316.4,271.62,516.86,656.89,879.1,0,0
40,1732414181243,0,READ,505,47.42,20.13,23.27,22.35,26.25,36.77,45.31,0,0
41,1732414181243,1,READ,503,1005.57,24.83,494.81,489.47,606.72,884.22,968.19,0,0
42,1732414181243,2,READ,503,1149.95,26.16,426.94,441.6,586.75,919.04,1098.75,0,0
43,1732414181243,3,READ,502,799.74,25.22,311.38,270.85,501.5,686.59,785.41,0,0
44,1732414181744,0,READ,502,58.53,19.95,23.19,22.43,24.61,37.89,42.43,0,0
45,1732414181744,1,READ,501,1484.8,25.42,500.8,497.41,606.21,806.4,947.2,0,0
46,1732414181744,2,READ,501,1417.21,27.04,431.54,440.32,591.36,790.53,962.56,0,0
47,1732414181744,3,READ,502,1033.73,23.68,326.77,271.87,525.82,721.92,904.7,0,0
48,1732414182246,0,READ,501,93.63,20.37,24.21,22.64,29.7,38.4,53.44,0,0
49,1732414182246,1,READ,503,1114.11,25.06,493.05,488.7,601.09,752.64,771.58,0,0
50,1732414182246,2,READ,500,2531.33,25.79,437.27,436.99,591.36,943.1,2531.33,0,0
51,1732414182246,3,READ,502,991.23,24.9,335.08,275.2,542.72,774.14,928.77,0,0
52,1732414182751,0,READ,504,55.52,20.06,22.95,22.32,24.24,37.89,43.45,0,0
53,1732414182751,1,READ,500,2914.3,24.91,500.93,487.68,606.21,892.41,2914.3,0,0
54,1732414182751,2,READ,503,989.7,26.45,434.4,458.5,580.1,720.89,907.77,0,0
55,1732414182751,3,READ,503,1204.22,24.99,337.62,272.89,560.64,747.01,974.85,0,0
56,1732414183252,0,READ,502,38.66,19.97,22.93,22.35,24.19,37.22,38.05,0,0
57,1732414183252,1,READ,502,861.18,27.39,495.05,490.24,605.18,757.76,808.45,0,0
58,1732414183252,2,READ,500,2723.84,26.14,436.12,448.0,595.46,832.0,2723.84,0,0
59,1732414183252,3,READ,498,2672.64,25.31,337.13,273.41,530.43,970.24,2672.64,0,0
60,1732414183754,0,READ,501,57.44,19.86,22.96,22.21,24.37,37.38,41.25,0,0
61,1732414183754,1,READ,500,2164.74,23.73,490.53,480.77,598.53,828.93,2164.74,0,0
62,1732414183754,2,READ,501,964.61,24.83,430.14,446.98,586.24,767.49,890.88,0,0
63,1732414183754,3,READ,501,1881.09,24.53,330.67,278.78,520.96,720.38,863.74,0,0
64,1732414184256,0,READ,501,38.24,19.89,23.23,22.59,24.69,36.93,38.17,0,0
65,1732414184256,1,READ,501,1010.69,25.07,501.8,496.89,601.09,833.02,989.18,0,0
66,1732414184256,2,READ,497,5804.03,25.38,449.81,456.96,579.07,819.2,5804.03,0,0
67,1732414184256,3,READ,499,3252.22,24.77,334.76,279.81,516.86,688.64,3252.22,0,0
68,1732414184758,0,READ,502,38.85,20.24,23.05,22.37,24.11,36.8,38.59,0,0
69,1732414184758,1,READ,501,1269.76,24.75,496.59,492.54,611.84,832.51,1165.31,0,0
70,1732414184758,2,READ,501,897.53,24.56,418.0,435.45,573.95,781.82,872.96,0,0
71,1732414184758,3,READ,501,1948.67,24.1,341.87,281.6,546.82,761.34,1025.02,0,0
72,1732414185259,0,READ,501,39.2,20.21,22.86,22.43,24.06,36.51,38.66,0,0
73,1732414185259,1,READ,501,970.75,24.69,490.77,488.45,603.13,839.17,965.63,0,0
74,1732414185259,2,READ,502,1042.94,24.74,443.98,455.94,596.99,843.26,1023.49,0,0
75,1732414185259,3,READ,501,1685.5,24.66,336.42,276.48,535.04,738.82,878.59,0,0
76,1732414185761,0,READ,501,61.7,20.32,24.08,22.5,29.66,39.1,56.73,0,0
77,1732414185761,1,READ,501,2129.92,24.37,490.61,483.33,611.84,833.53,963.07,0,0
78,1732414185761,2,READ,500,1732.61,25.7,440.5,453.63,598.53,799.23,959.49,0,0
79,1732414185761,3,READ,501,946.17,23.55,333.67,267.01,545.79,695.29,769.02,0,0
80,1732414186263,0,READ,502,76.54,19.78,24.24,22.61,29.63,41.57,71.49,0,0
81,1732414186263,1,READ,496,6500.35,23.78,507.19,493.57,613.89,887.81,6500.35,0,0
82,1732414186263,2,READ,501,1527.81,25.97,457.32,468.22,610.3,835.07,930.82,0,0
83,1732414186263,3,READ,503,760.83,25.52,339.5,279.81,547.33,726.53,758.27,0,0
84,1732414186767,0,READ,504,38.88,19.84,23.25,22.4,24.85,36.26,38.24,0,0
85,1732414186767,1,READ,502,2379.78,27.57,488.85,483.58,593.92,763.39,876.03,0,0
86,1732414186767,2,READ,503,936.96,25.9,455.78,465.15,588.29,828.41,911.87,0,0
87,1732414186767,3,READ,500,2682.88,26.53,361.53,278.53,556.54,780.29,2682.88,0,0
88,1732414187269,0,READ,501,39.42,20.22,23.29,22.64,24.75,36.96,38.46,0,0
89,1732414187269,1,READ,502,954.37,24.58,480.17,481.28,594.43,765.44,793.6,0,0
90,1732414187269,2,READ,499,2144.26,24.82,464.28,471.04,602.11,863.74,2144.26,0,0
91,1732414187269,3,READ,499,2332.67,26.05,348.75,276.48,545.28,731.13,1714.17,0,0
92,1732414187771,0,READ,502,64.67,20.16,23.94,23.2,25.18,38.43,40.16,0,0
93,1732414187771,1,READ,500,1683.45,24.99,502.23,498.94,616.96,986.62,1683.45,0,0
94,1732414187771,2,READ,499,2736.13,25.38,471.79,474.62,611.84,893.44,2736.13,0,0
95,1732414187771,3,READ,500,1391.62,26.4,352.81,276.48,573.95,868.35,1391.62,0,0
96,1732414188272,0,READ,501,81.6,20.4,25.53,23.6,31.04,53.76,62.78,0,0
97,1732414188272,1,READ,501,1932.29,23.86,499.92,497.41,614.91,825.34,1064.96,0,0
98,1732414188272,2,READ,502,2336.77,24.14,465.83,469.76,608.77,809.47,963.58,0,0
