,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732019372158,0,READ,491,1080.32,4.5,263.52,227.2,528.89,673.79,1080.32
1,1732019372158,1,READ,491,799.74,4.78,258.85,212.61,561.15,722.94,799.74
2,1732019372158,2,READ,492,975.87,5.82,320.18,258.18,641.02,806.91,975.87
3,1732019372158,3,READ,492,834.05,4.56,317.75,296.19,643.58,783.36,794.62
4,1732019372660,0,READ,501,633.86,4.85,137.41,8.65,392.45,574.98,585.73
5,1732019372660,1,READ,501,844.29,5.08,156.88,9.1,450.05,735.23,750.59
6,1732019372660,2,READ,502,843.26,5.42,180.0,9.34,538.11,815.1,827.9
7,1732019372660,3,READ,501,881.66,5.0,187.86,8.57,510.21,771.07,814.59
8,1732019373162,0,READ,501,660.99,5.05,103.12,9.69,391.42,600.06,646.65
9,1732019373162,1,READ,503,814.59,5.16,98.87,9.49,390.91,668.16,763.9
10,1732019373162,2,READ,503,790.01,4.83,115.39,9.73,451.07,752.64,786.94
11,1732019373162,3,READ,504,813.05,4.94,113.3,9.1,465.92,702.46,800.25
12,1732019373666,0,READ,504,598.53,5.22,47.93,8.05,183.29,485.89,592.38
13,1732019373666,1,READ,504,735.23,5.09,54.42,7.98,195.07,627.2,712.7
14,1732019373666,2,READ,503,826.37,5.34,62.15,7.97,258.56,728.58,808.45
15,1732019373666,3,READ,502,872.45,4.99,63.99,7.76,282.88,676.35,733.7
16,1732019374168,0,READ,501,558.08,5.27,33.96,7.54,44.09,449.02,526.34
17,1732019374168,1,READ,501,676.35,4.51,46.19,7.97,173.44,654.85,673.28
18,1732019374168,2,READ,502,825.86,5.13,50.98,7.6,201.73,704.0,755.2
19,1732019374168,3,READ,502,797.18,4.59,49.88,7.17,190.59,684.03,791.04
20,1732019374670,0,READ,501,653.31,4.93,26.91,7.55,10.91,406.27,638.46
21,1732019374670,1,READ,502,819.2,4.97,34.24,7.5,10.2,503.3,707.07
22,1732019374670,2,READ,501,857.6,4.86,37.0,7.14,9.91,583.17,854.01
23,1732019374670,3,READ,501,764.41,4.8,34.2,7.07,15.11,515.07,667.13
24,1732019375171,0,READ,502,586.24,4.68,17.64,6.99,8.54,362.75,553.47
25,1732019375171,1,READ,501,670.21,4.48,21.99,7.7,11.51,417.79,665.09
26,1732019375171,2,READ,502,747.52,5.06,22.71,7.07,8.83,497.92,735.74
27,1732019375171,3,READ,502,729.6,4.97,20.18,6.91,8.49,419.33,649.73
28,1732019375673,0,READ,501,580.61,4.94,13.24,7.17,9.09,275.71,553.98
29,1732019375673,1,READ,501,707.07,4.98,14.59,7.25,9.39,275.45,628.22
30,1732019375673,2,READ,501,801.28,4.66,14.13,6.8,8.46,311.55,668.16
31,1732019375673,3,READ,502,718.85,4.8,12.57,6.53,7.98,233.22,632.83
32,1732019376174,0,READ,501,505.86,4.96,11.96,7.82,12.38,160.0,359.17
33,1732019376174,1,READ,502,737.79,4.95,15.15,7.89,12.47,253.69,526.85
34,1732019376174,2,READ,502,688.64,4.82,16.51,8.7,14.64,295.94,600.58
35,1732019376174,3,READ,503,640.51,4.68,13.95,7.47,12.19,240.25,459.77
36,1732019376679,0,READ,505,193.02,5.02,7.8,7.19,9.54,12.04,15.11
37,1732019376679,1,READ,503,672.77,4.77,10.63,7.86,11.67,21.81,378.62
38,1732019376679,2,READ,502,816.13,4.77,9.78,7.24,9.78,12.81,342.27
39,1732019376679,3,READ,502,583.17,4.81,9.27,7.14,10.03,13.46,267.26
40,1732019377181,0,READ,501,439.81,4.88,8.68,7.01,8.82,11.68,303.1
41,1732019377181,1,READ,502,684.03,4.98,11.33,7.27,9.18,20.0,651.77
42,1732019377181,2,READ,501,817.66,4.56,11.81,7.22,11.49,25.28,589.82
43,1732019377181,3,READ,501,679.42,4.61,10.06,6.47,8.25,11.02,564.22
44,1732019377682,0,READ,501,505.34,5.19,11.1,7.66,12.15,26.41,441.86
45,1732019377682,1,READ,502,257.15,5.06,8.96,7.6,11.67,19.87,67.78
46,1732019377682,2,READ,503,239.49,4.73,8.9,7.61,12.22,20.32,68.16
47,1732019377682,3,READ,503,247.55,4.8,9.09,7.58,12.31,25.21,41.63
48,1732019378187,0,READ,505,318.46,5.04,8.91,8.04,10.91,15.14,17.45
49,1732019378187,1,READ,504,14.76,5.01,7.73,7.43,10.13,12.8,13.42
50,1732019378187,2,READ,503,37.66,4.81,8.05,7.58,10.6,14.05,25.36
51,1732019378187,3,READ,502,29.18,4.78,8.04,7.63,10.99,14.09,17.3
52,1732019378689,0,READ,501,299.52,4.95,7.89,6.97,9.08,12.66,26.77
53,1732019378689,1,READ,501,25.86,4.84,6.92,6.72,8.34,10.8,13.7
54,1732019378689,2,READ,502,19.28,4.52,6.75,6.53,8.14,10.97,13.5
55,1732019378689,3,READ,501,23.21,4.71,7.07,6.72,8.47,14.51,22.54
56,1732019379190,0,READ,502,508.67,5.01,8.18,7.03,8.43,10.54,11.26
57,1732019379190,1,READ,501,338.69,4.88,7.45,6.59,8.08,10.52,11.4
58,1732019379190,2,READ,501,320.77,4.81,7.46,6.66,8.32,10.41,12.22
59,1732019379190,3,READ,502,308.99,4.8,7.3,6.55,7.97,10.31,10.95
60,1732019379692,0,READ,502,204.8,5.06,7.44,6.89,8.53,10.32,14.89
61,1732019379692,1,READ,502,30.57,4.82,7.26,6.93,8.67,13.02,26.94
62,1732019379692,2,READ,501,28.29,4.95,7.24,6.92,8.54,13.5,27.97
63,1732019379692,3,READ,501,24.57,4.6,6.67,6.5,7.87,9.81,16.28
64,1732019380193,0,READ,501,332.8,4.9,7.73,6.98,8.3,10.38,11.18
65,1732019380193,1,READ,501,12.31,4.88,6.68,6.55,7.9,9.43,11.41
66,1732019380193,2,READ,502,13.07,4.74,6.77,6.66,8.05,9.15,12.24
67,1732019380193,3,READ,502,11.41,4.67,6.42,6.29,7.6,8.93,11.07
68,1732019380695,0,READ,502,31.84,4.91,7.41,7.23,8.55,10.73,28.82
69,1732019380695,1,READ,502,26.08,5.0,7.01,6.74,8.43,11.38,24.91
70,1732019380695,2,READ,501,26.22,4.78,6.96,6.83,8.3,10.46,16.66
71,1732019380695,3,READ,501,11.46,4.65,6.38,6.25,7.54,8.57,10.46
72,1732019381197,0,READ,501,55.74,4.96,8.84,8.29,12.35,16.7,25.68
73,1732019381197,1,READ,502,55.1,4.74,8.87,8.19,12.31,17.18,26.32
74,1732019381197,2,READ,503,77.69,4.74,9.26,8.62,12.72,19.36,32.02
75,1732019381197,3,READ,503,77.25,4.67,9.16,8.4,12.56,17.1,38.78
76,1732019381701,0,READ,504,30.13,5.06,7.9,7.41,10.07,17.14,28.38
77,1732019381701,1,READ,503,13.59,4.78,7.01,6.72,8.72,10.88,11.42
78,1732019381701,2,READ,503,28.89,4.78,7.59,7.19,9.9,13.33,22.96
79,1732019381701,3,READ,502,37.76,4.85,7.77,7.36,9.67,13.56,28.8
80,1732019382203,0,READ,501,17.02,4.98,7.34,6.86,9.53,15.38,16.57
81,1732019382203,1,READ,502,11.25,4.71,6.69,6.5,7.92,10.4,10.85
82,1732019382203,2,READ,501,11.7,4.86,6.73,6.56,8.23,9.56,10.79
83,1732019382203,3,READ,501,30.86,4.58,7.09,6.79,8.65,11.23,27.7
84,1732019382705,0,READ,501,11.05,5.02,6.96,6.88,8.13,10.15,11.02
85,1732019382705,1,READ,501,26.56,5.05,7.13,6.92,8.52,10.73,14.44
86,1732019382705,2,READ,501,35.81,4.89,7.19,6.95,8.44,12.86,27.77
87,1732019382705,3,READ,502,11.91,4.9,6.85,6.72,8.21,10.12,11.85
88,1732019383206,0,READ,502,20.14,5.07,6.91,6.73,8.03,9.97,11.64
89,1732019383206,1,READ,502,13.29,5.0,6.79,6.63,7.91,9.94,11.98
90,1732019383206,2,READ,502,11.95,4.8,6.7,6.63,7.82,8.83,10.39
91,1732019383206,3,READ,502,12.57,4.89,6.55,6.46,7.64,9.05,10.8
92,1732019383708,0,READ,501,51.71,5.09,8.62,7.5,12.24,23.1,31.28
93,1732019383708,1,READ,502,63.1,5.1,8.38,7.35,11.62,24.5,36.9
94,1732019383708,2,READ,503,63.62,4.65,7.82,6.63,11.98,19.68,27.71
95,1732019383708,3,READ,503,88.38,4.7,8.4,7.34,12.17,22.53,29.1
96,1732019384212,0,READ,504,14.31,5.16,7.96,7.58,10.57,12.78,13.41
97,1732019384212,1,READ,503,40.35,5.1,8.22,7.81,10.94,13.13,25.31
98,1732019384212,2,READ,503,15.02,4.76,7.8,7.29,10.51,13.74,14.5
99,1732019384212,3,READ,502,15.59,4.86,7.76,7.43,10.58,12.82,13.94
100,1732019384714,0,READ,501,11.3,4.92,6.79,6.54,8.36,10.19,10.88
101,1732019384714,1,READ,502,30.02,4.84,7.59,7.16,9.34,13.46,22.59
102,1732019384714,2,READ,501,25.68,5.02,7.01,6.8,8.73,10.86,12.93
103,1732019384714,3,READ,501,25.01,5.09,6.84,6.57,8.29,10.54,13.96
104,1732019385216,0,READ,501,11.41,5.03,6.78,6.64,8.05,10.21,11.32
105,1732019385216,1,READ,501,35.77,5.22,7.46,7.13,8.86,12.27,28.78
106,1732019385216,2,READ,501,14.73,4.86,7.3,6.81,8.94,14.02,14.66
107,1732019385216,3,READ,502,10.06,4.89,6.54,6.38,7.7,9.33,10.05
108,1732019385717,0,READ,502,26.82,4.89,7.03,6.79,8.33,10.66,21.81
109,1732019385717,1,READ,502,28.69,5.0,7.11,6.84,8.43,11.13,23.65
110,1732019385717,2,READ,502,30.38,4.62,6.95,6.79,8.27,10.02,12.21
111,1732019385717,3,READ,501,25.01,4.79,6.78,6.57,8.19,10.81,12.12
112,1732019386219,0,READ,501,27.73,4.74,6.56,6.33,7.62,9.87,16.34
113,1732019386219,1,READ,501,26.02,4.93,6.62,6.45,7.7,9.41,11.29
114,1732019386219,2,READ,501,9.27,4.7,6.36,6.25,7.41,8.65,8.97
115,1732019386219,3,READ,501,25.42,4.73,6.48,6.33,7.54,9.33,9.96
116,1732019386720,0,READ,502,20.46,4.9,6.82,6.6,8.14,9.16,12.02
117,1732019386720,1,READ,501,25.77,4.98,6.96,6.75,8.1,10.03,22.46
118,1732019386720,2,READ,502,32.51,4.73,6.74,6.54,8.02,9.39,12.59
119,1732019386720,3,READ,502,40.67,4.82,7.36,6.74,8.52,26.82,30.99
120,1732019387222,0,READ,501,12.48,4.8,6.71,6.62,7.75,9.74,11.84
121,1732019387222,1,READ,502,12.45,5.08,6.7,6.56,7.78,9.1,11.29
122,1732019387222,2,READ,501,10.26,4.88,6.74,6.65,7.85,9.21,9.81
123,1732019387222,3,READ,501,30.73,4.94,7.08,6.75,8.35,11.26,30.27
124,1732019387724,0,READ,501,51.2,5.1,8.85,8.27,12.1,18.46,27.09
125,1732019387724,1,READ,502,88.96,4.97,9.09,8.11,12.7,19.07,50.08
126,1732019387724,2,READ,502,64.13,4.86,8.99,8.07,12.72,21.77,50.49
127,1732019387724,3,READ,504,59.36,5.05,9.36,8.51,13.61,24.73,54.4
128,1732019388228,0,READ,505,13.09,5.06,7.38,7.06,9.39,12.13,12.82
129,1732019388228,1,READ,504,12.73,5.07,7.33,7.07,9.25,11.26,12.1
130,1732019388228,2,READ,503,18.24,4.59,7.53,6.98,10.38,15.3,17.7
131,1732019388228,3,READ,502,143.1,4.94,7.92,7.2,9.75,13.82,32.99
132,1732019388730,0,READ,501,29.77,5.0,7.17,6.84,8.71,11.73,25.86
133,1732019388730,1,READ,501,12.74,4.99,6.7,6.46,7.97,10.36,10.89
134,1732019388730,2,READ,501,22.03,4.71,6.68,6.44,7.97,10.86,11.92
135,1732019388730,3,READ,502,20.78,4.69,6.84,6.6,8.31,11.1,12.53
136,1732019389231,0,READ,502,10.63,5.0,6.89,6.78,8.26,9.77,10.37
137,1732019389231,1,READ,502,11.21,5.11,6.72,6.51,7.84,9.97,10.99
138,1732019389231,2,READ,501,29.89,4.8,7.02,6.74,8.4,11.5,27.97
139,1732019389231,3,READ,501,10.55,4.87,6.34,6.22,7.56,8.77,9.76
140,1732019389733,0,READ,501,27.2,4.86,7.34,7.09,8.47,11.57,25.23
141,1732019389733,1,READ,502,38.34,4.94,7.16,6.96,8.31,11.62,26.19
142,1732019389733,2,READ,502,11.92,4.81,6.68,6.54,7.82,9.02,11.66
143,1732019389733,3,READ,501,42.14,4.66,6.97,6.63,8.33,12.65,30.02
144,1732019390235,0,READ,502,10.86,4.94,6.81,6.72,8.1,9.97,10.48
145,1732019390235,1,READ,501,13.46,4.98,6.73,6.62,7.82,9.1,13.0
146,1732019390235,2,READ,501,13.29,4.78,6.54,6.45,7.55,9.05,11.13
