,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732352013092,0,READ,17,1818.62,57.12,603.03,598.01,850.94,1818.62,1818.62,4201752,10485760
1,1732352013092,1,READ,914,1800.19,39.68,362.04,423.17,858.62,1499.13,1740.8,8140688,10485760
2,1732352013092,2,READ,923,1786.88,39.26,353.98,405.5,877.05,1530.88,1718.27,7878088,10485760
3,1732352013092,3,READ,889,2308.09,41.73,378.6,433.41,884.22,1486.85,1790.97,7878104,10485760
4,1732352013594,0,READ,20,1779.71,64.06,610.02,576.0,1457.15,1779.71,1779.71,6827736,10485760
5,1732352013594,1,READ,1162,1603.58,38.27,324.04,62.34,843.26,1489.92,1575.93,8140688,10485760
6,1732352013594,2,READ,1128,1544.19,39.23,341.1,391.94,869.89,1437.69,1538.05,7878088,10485760
7,1732352013594,3,READ,1105,1561.6,39.42,351.24,75.78,901.63,1472.51,1549.31,7878104,10485760
8,1732352014096,0,READ,20,1661.95,50.78,551.88,586.75,1029.63,1661.95,1661.95,7352952,10485760
9,1732352014096,1,READ,1129,1687.55,39.26,344.94,412.16,846.34,1488.89,1620.99,8140688,10485760
10,1732352014096,2,READ,1070,1633.28,38.62,372.2,411.13,919.55,1478.65,1589.25,7878088,10485760
11,1732352014096,3,READ,1065,1579.01,40.42,377.55,429.06,929.28,1470.46,1551.36,7878104,10485760
12,1732352014600,0,READ,20,1615.87,62.59,450.56,140.41,929.79,1615.87,1615.87,7352936,10485760
13,1732352014600,1,READ,1141,1662.97,38.59,343.64,416.51,814.08,1438.72,1567.74,8140688,10485760
14,1732352014600,2,READ,1146,1645.57,38.78,336.07,395.52,873.47,1428.48,1529.86,7878088,10485760
15,1732352014600,3,READ,1109,1571.84,39.9,354.52,416.51,878.59,1431.55,1534.97,7878104,10485760
16,1732352015103,0,READ,20,1476.61,60.42,435.59,141.69,974.34,1476.61,1476.61,7615552,10485760
17,1732352015103,1,READ,1141,1666.05,38.05,335.62,73.41,816.64,1506.3,1648.64,8140688,10485760
18,1732352015103,2,READ,1085,1677.31,38.94,361.46,410.88,903.68,1453.06,1569.79,7878088,10485760
19,1732352015103,3,READ,1060,1602.56,39.84,378.36,432.38,902.14,1480.7,1575.93,7878104,10485760
20,1732352015605,0,READ,20,1604.61,64.06,579.52,515.07,1363.97,1604.61,1604.61,7615552,10485760
21,1732352015605,1,READ,1122,1735.68,38.78,349.98,417.28,815.62,1481.73,1602.56,8140688,10485760
22,1732352015605,2,READ,1109,1589.25,39.33,350.1,402.94,892.93,1442.82,1573.89,7878088,10485760
23,1732352015605,3,READ,1091,1674.24,40.74,360.63,416.77,907.26,1410.05,1564.67,7878104,10485760
24,1732352016107,0,READ,21,1555.45,60.48,496.6,491.52,978.43,1555.45,1555.45,7878136,10485760
25,1732352016107,1,READ,1150,1779.71,39.3,328.83,63.04,728.58,1530.88,1726.46,8140688,10485760
26,1732352016107,2,READ,1110,1597.44,39.26,348.51,401.66,895.49,1453.06,1563.65,7878088,10485760
27,1732352016107,3,READ,1074,1659.9,39.84,368.61,420.61,927.74,1418.24,1529.86,7878104,10485760
28,1732352016609,0,READ,20,950.78,48.74,307.65,73.22,583.68,950.78,950.78,7878136,10485760
29,1732352016609,1,READ,1118,1667.07,39.04,347.98,416.77,853.5,1507.33,1573.89,8140688,10485760
30,1732352016609,2,READ,1098,1603.58,39.07,354.37,405.5,901.12,1463.3,1565.69,7878088,10485760
31,1732352016609,3,READ,1069,1617.92,39.97,374.88,434.43,909.82,1432.58,1536.0,7878104,10485760
32,1732352017111,0,READ,20,1488.89,62.43,574.42,540.67,1150.97,1488.89,1488.89,7878120,10485760
33,1732352017111,1,READ,1109,1575.93,37.66,360.53,424.7,815.1,1488.89,1566.72,8140688,10485760
34,1732352017111,2,READ,1066,1573.89,39.46,379.97,411.9,901.63,1440.77,1551.36,7878088,10485760
35,1732352017111,3,READ,1050,1734.65,39.71,392.48,439.55,923.65,1432.58,1629.18,7878104,10485760
36,1732352017616,0,READ,20,1610.75,53.31,524.73,538.11,1051.65,1610.75,1610.75,7878120,10485760
37,1732352017616,1,READ,1129,1559.55,38.98,345.08,408.32,863.23,1430.53,1554.43,8140688,10485760
38,1732352017616,2,READ,1107,1537.02,38.05,355.0,405.76,877.05,1443.84,1520.64,7878088,10485760
39,1732352017616,3,READ,1078,1573.89,39.9,369.64,424.7,921.09,1430.53,1530.88,7878104,10485760
40,1732352018117,0,READ,20,1431.55,60.03,407.28,520.19,621.57,1431.55,1431.55,7878120,10485760
41,1732352018117,1,READ,1134,1557.5,39.1,344.79,415.49,832.0,1393.66,1554.43,8140688,10485760
42,1732352018117,2,READ,1129,1617.92,38.46,337.5,64.51,883.71,1440.77,1589.25,7878088,10485760
43,1732352018117,3,READ,1084,1622.02,40.35,363.72,419.84,919.55,1410.05,1550.34,7878104,10485760
44,1732352018619,0,READ,20,1385.47,49.28,515.08,508.42,959.49,1385.47,1385.47,7878104,10485760
45,1732352018619,1,READ,1120,1672.19,39.26,354.29,420.61,827.9,1495.04,1602.56,8140688,10485760
46,1732352018619,2,READ,1075,1631.23,39.49,368.38,410.88,902.14,1439.74,1607.68,7878088,10485760
47,1732352018619,3,READ,1078,1614.85,40.64,366.56,417.02,923.13,1435.65,1589.25,7878104,10485760
48,1732352019121,0,READ,20,639.49,47.74,311.05,91.84,570.88,639.49,639.49,7878120,10485760
49,1732352019121,1,READ,1134,1683.45,38.43,346.63,415.49,808.45,1489.92,1605.63,8140688,10485760
50,1732352019121,2,READ,1101,1676.29,38.75,356.03,404.74,886.78,1420.29,1603.58,7878088,10485760
51,1732352019121,3,READ,1075,1529.86,39.87,374.67,430.59,885.76,1411.07,1517.57,7878104,10485760
52,1732352019623,0,READ,20,1892.35,65.86,592.16,542.72,1130.49,1892.35,1892.35,7878120,10485760
53,1732352019623,1,READ,1139,1573.89,38.62,341.83,415.23,611.84,1445.89,1572.86,8140688,10485760
54,1732352019623,2,READ,1097,2023.42,38.18,359.55,409.34,888.32,1421.31,1599.49,7878088,10485760
55,1732352019623,3,READ,1058,1533.95,41.22,379.98,429.06,928.77,1416.19,1529.86,7878104,10485760
56,1732352020126,0,READ,20,1584.13,57.92,438.14,132.74,1272.83,1584.13,1584.13,7878120,10485760
57,1732352020126,1,READ,1115,1584.13,38.21,354.49,417.54,861.18,1363.97,1550.34,8140688,10485760
58,1732352020126,2,READ,1139,1498.11,38.98,342.01,402.18,866.3,1384.45,1482.75,7878088,10485760
59,1732352020126,3,READ,1077,1645.57,40.19,371.93,427.26,926.21,1423.36,1571.84,7878104,10485760
60,1732352020631,0,READ,20,1599.49,57.7,523.48,562.17,1118.21,1599.49,1599.49,7878120,10485760
61,1732352020631,1,READ,1190,1616.89,38.78,318.8,389.63,567.81,1452.03,1577.98,8140688,10485760
62,1732352020631,2,READ,1111,2010.11,38.69,353.7,414.21,877.05,1433.6,1646.59,7878088,10485760
63,1732352020631,3,READ,1105,1563.65,40.7,354.09,419.58,891.39,1419.26,1549.31,7878104,10485760
64,1732352021133,0,READ,20,684.54,46.43,298.45,474.88,637.95,1013.76,1013.76,7878120,10485760
65,1732352021133,1,READ,1129,1683.45,38.78,343.65,418.81,640.51,1532.93,1677.31,8140688,10485760
66,1732352021133,2,READ,1109,1606.65,38.62,348.58,399.1,900.1,1420.29,1562.62,7878088,10485760
67,1732352021133,3,READ,1079,1817.6,39.78,365.17,426.24,916.99,1457.15,1656.83,7878104,10485760
68,1732352021634,0,READ,20,1394.69,57.6,486.09,129.92,1224.7,1394.69,1394.69,7878120,10485760
69,1732352021634,1,READ,1166,1658.88,39.14,328.23,408.57,571.9,1445.89,1600.51,8140688,10485760
70,1732352021634,2,READ,1100,1640.45,39.1,355.45,409.34,885.76,1477.63,1625.09,7878088,10485760
71,1732352021634,3,READ,1077,1532.93,42.08,369.66,429.82,904.19,1441.79,1516.54,7878104,10485760
72,1732352022136,0,READ,20,1655.81,65.6,577.95,568.83,1142.78,1655.81,1655.81,7878120,10485760
73,1732352022136,1,READ,1146,1650.69,38.66,337.53,408.32,796.67,1479.68,1599.49,8140688,10485760
74,1732352022136,2,READ,1084,1584.13,39.17,365.11,413.69,893.44,1489.92,1579.01,7878088,10485760
75,1732352022136,3,READ,1093,2089.98,41.28,364.15,425.73,897.53,1442.82,1533.95,7878104,10485760
76,1732352022641,0,READ,20,1500.16,65.73,583.08,562.69,1370.11,1500.16,1500.16,7878120,10485760
77,1732352022641,1,READ,1149,1651.71,38.88,337.15,414.21,800.77,1542.14,1579.01,8140688,10485760
78,1732352022641,2,READ,1130,1501.18,39.39,340.73,392.45,878.59,1431.55,1485.82,7878088,10485760
79,1732352022641,3,READ,1092,1823.74,39.36,362.11,423.68,892.41,1416.19,1529.86,7878104,10485760
80,1732352023143,0,READ,20,1557.5,60.96,462.43,134.66,1024.0,1557.5,1557.5,7878120,10485760
81,1732352023143,1,READ,1160,1563.65,39.04,325.78,62.43,586.24,1515.52,1563.65,8140688,10485760
82,1732352023143,2,READ,1104,1473.54,38.11,348.85,395.26,903.68,1425.41,1470.46,7878088,10485760
83,1732352023143,3,READ,1074,1626.11,40.1,368.46,420.1,931.33,1427.45,1536.0,7878104,10485760
84,1732352023645,0,READ,20,1410.05,57.82,421.23,504.06,1011.2,1410.05,1410.05,7878120,10485760
85,1732352023645,1,READ,1120,1709.06,39.14,349.96,420.61,843.77,1486.85,1604.61,8140688,10485760
86,1732352023645,2,READ,1059,1574.91,38.3,381.22,416.51,906.24,1439.74,1554.43,7878088,10485760
87,1732352023645,3,READ,1082,1519.62,41.47,368.97,433.15,894.98,1415.17,1485.82,7878104,10485760
88,1732352024147,0,READ,20,1704.96,64.0,445.88,101.69,1008.13,1704.96,1704.96,7878120,10485760
89,1732352024147,1,READ,1112,1609.73,38.34,350.69,417.28,881.66,1517.57,1608.7,8140688,10485760
90,1732352024147,2,READ,1121,1564.67,38.75,340.5,62.53,885.76,1429.5,1533.95,7878088,10485760
91,1732352024147,3,READ,1046,1534.97,40.0,384.27,432.38,941.05,1455.1,1522.69,7878104,10485760
