,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732145469297,0,READ,491,1976.32,5.38,265.65,207.87,461.31,655.36,1976.32
1,1732145469297,1,READ,492,985.6,5.63,188.58,173.69,248.45,343.55,985.6
2,1732145469297,2,READ,492,500.22,5.96,209.76,200.7,250.5,384.25,500.22
3,1732145469297,3,READ,493,423.68,4.4,195.77,176.9,267.77,350.98,423.68
4,1732145469799,0,READ,502,910.85,5.3,258.61,198.53,451.58,696.32,832.51
5,1732145469799,1,READ,501,617.98,5.07,183.19,172.03,232.45,370.94,429.06
6,1732145469799,2,READ,502,468.22,5.9,216.06,218.5,268.29,355.33,417.54
7,1732145469799,3,READ,501,517.63,5.56,194.34,179.07,269.31,377.86,478.98
8,1732145470301,0,READ,501,974.85,4.8,251.4,204.41,447.23,679.93,801.79
9,1732145470301,1,READ,502,496.64,5.1,183.0,172.29,251.9,360.96,492.54
10,1732145470301,2,READ,503,497.66,5.62,204.89,199.42,253.44,372.22,421.12
11,1732145470301,3,READ,504,511.49,4.87,188.49,176.0,258.43,380.93,486.91
12,1732145470805,0,READ,504,970.75,4.66,251.95,189.82,457.47,711.68,935.93
13,1732145470805,1,READ,503,435.45,4.98,171.24,167.94,236.16,302.08,382.98
14,1732145470805,2,READ,503,487.17,5.2,203.24,204.8,260.86,342.27,435.2
15,1732145470805,3,READ,502,413.69,5.21,183.87,179.07,262.01,321.02,358.65
16,1732145471307,0,READ,502,663.04,4.75,161.17,148.22,200.19,465.15,607.74
17,1732145471307,1,READ,501,269.06,5.29,160.93,156.8,199.68,256.77,267.26
18,1732145471307,2,READ,501,295.42,5.68,194.95,182.53,262.4,285.69,290.81
19,1732145471307,3,READ,501,315.13,5.21,177.25,168.45,230.91,288.51,312.57
20,1732145471808,0,READ,501,253.18,5.26,156.3,151.42,212.22,240.25,246.01
21,1732145471808,1,READ,501,303.1,5.44,165.63,158.85,211.58,258.05,301.31
22,1732145471808,2,READ,501,293.38,6.22,197.18,193.41,239.49,273.92,292.35
23,1732145471808,3,READ,501,320.51,5.09,170.11,164.86,202.5,303.1,315.9
24,1732145472310,0,READ,501,372.48,5.22,150.38,147.2,193.53,250.37,262.4
25,1732145472310,1,READ,501,310.78,5.37,172.05,168.19,222.85,282.11,289.79
26,1732145472310,2,READ,502,281.34,6.26,191.32,183.29,255.23,273.41,278.27
27,1732145472310,3,READ,501,286.72,5.03,165.03,166.4,221.69,248.06,276.74
28,1732145472811,0,READ,501,245.12,5.24,148.71,151.17,209.79,239.23,243.97
29,1732145472811,1,READ,501,298.24,4.73,165.8,163.58,213.63,265.21,280.06
30,1732145472811,2,READ,501,268.8,5.53,183.65,183.04,240.38,263.68,267.52
31,1732145472811,3,READ,501,320.77,5.21,160.49,159.1,208.9,260.48,311.04
32,1732145473313,0,READ,501,259.2,4.82,151.13,149.76,171.78,243.97,251.39
33,1732145473313,1,READ,501,289.02,4.71,164.34,161.02,205.69,278.78,287.23
34,1732145473313,2,READ,501,262.65,6.35,185.96,178.3,242.56,253.82,259.71
35,1732145473313,3,READ,502,248.45,4.86,161.47,155.78,216.06,240.9,243.97
36,1732145473814,0,READ,501,582.65,4.86,158.67,154.5,219.65,246.27,496.13
37,1732145473814,1,READ,502,752.13,5.52,164.13,162.05,207.23,263.42,284.16
38,1732145473814,2,READ,502,553.98,6.47,170.47,169.09,221.06,255.36,270.08
39,1732145473814,3,READ,503,714.75,5.02,165.79,165.12,208.13,254.72,262.14
40,1732145474318,0,READ,504,537.6,5.12,158.45,153.09,218.5,242.05,527.87
41,1732145474318,1,READ,504,668.67,5.21,167.24,163.97,212.86,281.09,652.8
42,1732145474318,2,READ,503,525.82,5.99,169.99,167.68,207.1,260.35,523.26
43,1732145474318,3,READ,501,619.01,5.14,168.57,164.86,217.47,263.42,593.92
44,1732145474820,0,READ,502,506.62,5.15,153.03,152.19,199.81,251.26,257.92
45,1732145474820,1,READ,501,288.77,5.25,168.11,164.35,210.81,263.68,274.43
46,1732145474820,2,READ,501,264.7,5.56,167.29,169.6,196.48,241.41,263.17
47,1732145474820,3,READ,501,283.39,5.17,166.1,162.69,209.15,254.46,267.52
48,1732145475321,0,READ,501,261.63,5.08,152.15,147.84,189.31,249.6,258.81
49,1732145475321,1,READ,500,2129.92,5.36,176.65,162.81,230.01,285.18,2129.92
50,1732145475321,2,READ,499,2801.66,6.22,181.87,169.22,224.38,289.28,2801.66
51,1732145475321,3,READ,499,3028.99,5.42,180.57,165.38,248.19,273.15,3028.99
52,1732145475822,0,READ,501,248.57,5.01,155.98,151.94,215.68,242.94,247.55
53,1732145475822,1,READ,501,831.49,5.24,172.67,166.01,224.13,290.81,760.83
54,1732145475822,2,READ,503,763.39,5.74,187.55,182.66,229.5,279.81,706.56
55,1732145475822,3,READ,503,691.2,4.89,201.28,193.92,248.57,279.81,631.81
56,1732145476326,0,READ,504,273.15,5.43,152.12,147.2,202.62,215.55,267.01
57,1732145476326,1,READ,503,796.67,5.5,167.19,165.25,204.41,262.65,301.57
58,1732145476326,2,READ,503,737.79,6.21,177.24,171.01,228.86,274.43,285.69
59,1732145476326,3,READ,502,672.77,5.14,191.96,177.41,257.28,275.2,329.21
60,1732145476828,0,READ,501,243.07,5.12,151.08,151.68,211.84,238.46,241.28
61,1732145476828,1,READ,501,913.41,4.94,172.12,168.7,217.6,285.95,671.23
62,1732145476828,2,READ,501,739.84,5.98,180.11,173.82,244.99,267.26,459.52
63,1732145476828,3,READ,501,731.65,5.29,186.73,182.14,237.69,285.95,483.58
64,1732145477329,0,READ,501,263.94,5.22,152.79,147.33,203.65,250.24,255.74
65,1732145477329,1,READ,501,299.77,5.31,167.67,164.22,223.36,252.41,290.3
66,1732145477329,2,READ,501,308.48,5.79,177.3,172.16,225.02,271.1,301.31
67,1732145477329,3,READ,501,273.66,5.23,197.3,199.55,255.23,265.73,268.8
68,1732145477830,0,READ,501,253.95,4.84,151.01,149.12,199.55,239.36,246.01
69,1732145477830,1,READ,501,273.66,5.07,159.75,160.64,202.11,258.05,272.38
70,1732145477830,2,READ,501,304.64,6.21,172.73,168.83,221.06,280.32,294.14
71,1732145477830,3,READ,501,284.67,5.04,185.8,182.91,231.55,273.41,281.86
72,1732145478331,0,READ,501,273.15,5.1,148.27,145.79,199.94,217.09,261.76
73,1732145478331,1,READ,501,296.96,5.4,162.17,161.28,217.34,276.74,292.1
74,1732145478331,2,READ,501,309.5,5.63,170.33,169.34,208.64,258.18,301.31
75,1732145478331,3,READ,501,303.36,5.25,194.7,198.27,246.91,260.22,302.59
76,1732145478832,0,READ,501,257.02,5.73,155.23,152.7,207.36,246.53,256.89
77,1732145478832,1,READ,502,291.58,6.12,160.07,159.87,207.49,260.61,276.74
78,1732145478832,2,READ,502,262.91,6.43,174.13,172.54,218.11,257.92,262.65
79,1732145478832,3,READ,502,299.01,5.32,168.89,168.83,213.76,272.38,287.23
80,1732145479337,0,READ,504,258.81,5.26,146.16,146.18,187.65,217.98,219.78
81,1732145479337,1,READ,503,251.13,5.37,160.91,163.71,202.11,235.9,246.14
82,1732145479337,2,READ,503,270.85,5.47,166.46,169.6,208.38,237.18,261.76
83,1732145479337,3,READ,501,288.51,5.29,169.61,166.14,227.46,273.41,286.98
84,1732145479838,0,READ,501,252.67,5.3,152.97,150.14,196.48,247.04,250.62
85,1732145479838,1,READ,501,268.29,5.46,165.12,160.9,220.8,256.89,264.19
86,1732145479838,2,READ,501,259.45,5.75,168.14,168.06,193.92,255.23,257.28
87,1732145479838,3,READ,501,302.08,5.38,168.42,167.42,221.06,281.86,285.69
88,1732145480339,0,READ,501,231.55,4.92,148.04,147.46,198.14,225.66,228.99
89,1732145480339,1,READ,501,243.97,5.26,166.39,163.33,231.42,238.59,242.81
90,1732145480339,2,READ,501,267.26,5.4,164.19,167.81,186.24,246.14,262.65
91,1732145480339,3,READ,501,304.64,4.95,164.98,163.97,212.99,263.68,271.36
92,1732145480840,0,READ,501,254.85,5.06,148.99,149.25,189.44,242.05,250.88
93,1732145480840,1,READ,501,259.33,5.2,158.61,155.26,205.06,246.27,255.49
94,1732145480840,2,READ,501,295.94,5.26,164.12,166.14,186.37,240.13,242.18
95,1732145480840,3,READ,501,295.68,5.21,166.58,167.55,217.98,279.55,288.25
96,1732145481341,0,READ,501,244.09,5.13,148.78,144.51,202.5,226.43,242.3
97,1732145481341,1,READ,501,247.55,5.35,165.85,161.66,226.81,242.69,244.22
98,1732145481341,2,READ,501,260.61,5.77,165.6,164.99,184.32,253.06,260.22
99,1732145481341,3,READ,501,298.75,5.34,165.16,161.41,212.09,262.65,269.31
100,1732145481843,0,READ,501,252.8,4.76,149.62,147.97,197.38,239.49,252.16
101,1732145481843,1,READ,501,252.03,5.32,156.0,155.39,200.83,249.09,251.26
102,1732145481843,2,READ,501,272.89,5.73,161.69,165.63,184.32,230.01,263.17
103,1732145481843,3,READ,501,278.53,5.02,159.54,160.13,194.43,239.74,252.41
104,1732145482344,0,READ,501,279.55,4.98,147.69,145.66,199.29,224.13,227.71
105,1732145482344,1,READ,500,249.09,5.09,160.02,159.36,223.1,242.69,246.01
106,1732145482344,2,READ,501,252.54,4.56,161.32,165.25,180.61,244.99,247.81
107,1732145482344,3,READ,501,300.29,4.58,159.33,159.36,203.39,252.03,257.54
108,1732145482845,0,READ,501,253.06,5.01,149.0,150.01,197.63,242.05,247.94
109,1732145482845,1,READ,501,262.91,5.07,157.93,156.29,206.46,251.65,258.05
110,1732145482845,2,READ,502,303.87,5.91,161.51,165.38,183.17,255.87,264.45
111,1732145482845,3,READ,504,291.58,5.22,162.53,162.43,211.07,240.64,266.75
112,1732145483349,0,READ,503,311.55,5.02,149.92,148.99,204.67,233.73,257.92
113,1732145483349,1,READ,503,249.73,6.48,161.23,162.18,227.2,244.09,248.06
114,1732145483349,2,READ,502,285.18,6.23,172.17,171.52,217.98,271.1,280.06
115,1732145483349,3,READ,502,264.7,5.28,160.71,161.92,200.06,251.13,257.15
116,1732145483850,0,READ,501,254.85,4.75,148.5,150.4,199.29,241.79,245.76
117,1732145483850,1,READ,501,264.19,5.47,159.76,158.08,205.95,251.13,260.74
118,1732145483850,2,READ,501,289.02,5.86,170.25,167.42,221.69,280.57,287.23
119,1732145483850,3,READ,501,268.29,5.05,160.04,162.81,212.22,236.29,267.52
120,1732145484352,0,READ,501,228.99,5.26,148.87,145.41,198.53,224.0,227.33
121,1732145484352,1,READ,501,248.83,5.57,166.11,163.58,225.66,240.64,246.4
122,1732145484352,2,READ,501,272.13,5.71,169.54,167.94,210.81,260.22,270.33
123,1732145484352,3,READ,501,267.01,5.14,163.65,163.58,203.26,252.93,259.2
124,1732145484853,0,READ,501,267.52,5.1,150.76,148.99,194.94,244.35,251.13
125,1732145484853,1,READ,502,273.41,5.26,160.99,155.65,206.85,256.64,267.77
126,1732145484853,2,READ,501,280.57,5.6,167.67,165.5,201.47,260.35,278.01
