,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732572708176,0,READ,79,3923.97,1048.06,1683.67,1345.54,3579.9,3854.34,3923.97,882280,10485760
1,1732572708176,1,READ,80,4399.1,1069.06,1635.51,1289.21,3547.14,4161.53,4399.1,890944,10485760
2,1732572708176,2,READ,893,646.14,0.04,120.22,78.4,291.58,499.97,645.63,7818776,10485760
3,1732572708176,3,READ,894,547.84,0.1,119.45,75.01,316.93,503.81,524.29,7819000,10485760
4,1732572708678,0,READ,89,4012.03,34.88,1625.99,1344.51,3635.2,3870.72,4012.03,1859664,10113147
5,1732572708678,1,READ,90,3835.9,37.7,1581.47,1313.79,3528.7,3811.33,3835.9,1876896,10112957
6,1732572708678,2,READ,1004,516.86,0.32,122.66,84.73,292.35,499.71,516.35,10794136,10926879
7,1732572708678,3,READ,1004,516.35,0.06,106.35,75.33,215.04,500.74,515.33,10655928,10790411
8,1732572709180,0,READ,90,4222.98,34.82,1351.98,1326.08,3581.95,4040.7,4222.98,2655360,9557213
9,1732572709180,1,READ,90,3936.26,35.46,1289.95,1281.02,3444.74,3885.05,3936.26,2663864,9557050
10,1732572709180,2,READ,1002,522.75,1.06,120.04,83.01,270.08,494.85,521.98,11485960,11622188
11,1732572709180,3,READ,1003,523.01,1.89,114.02,83.71,226.43,497.15,518.4,11079664,11207054
12,1732572709682,0,READ,90,3743.74,35.84,1143.6,1294.34,1437.69,3588.09,3743.74,3329952,9013676
13,1732572709682,1,READ,90,3756.03,33.02,1101.72,1282.05,1393.66,3522.56,3756.03,3329808,9013481
14,1732572709682,2,READ,1003,520.96,0.47,120.57,82.81,281.86,498.69,513.79,11892416,12025009
15,1732572709682,3,READ,1003,517.12,0.3,109.71,79.74,222.08,490.24,505.09,11762824,11891398
16,1732572710184,0,READ,90,4300.8,32.54,969.06,1142.78,2258.94,3796.99,4300.8,3918080,8472198
17,1732572710184,1,READ,89,3840.0,34.46,974.5,1241.09,2408.45,3678.21,3840.0,3943864,8469563
18,1732572710184,2,READ,1006,506.88,0.62,111.82,70.59,264.96,490.5,499.71,12437224,12568720
19,1732572710184,3,READ,1008,516.61,1.76,112.8,78.21,227.71,498.69,516.1,12316296,12439870
20,1732572710689,0,READ,90,3696.64,34.66,897.81,1220.61,1416.19,3651.58,3696.64,4454272,7896897
21,1732572710689,1,READ,90,3911.68,34.59,870.18,1180.67,1466.37,3510.27,3911.68,4462776,7896897
22,1732572710689,2,READ,1007,525.31,0.54,115.19,71.49,281.6,497.92,514.05,13284744,13420458
23,1732572710689,3,READ,1005,516.86,0.11,111.41,71.17,269.31,495.87,513.53,12592984,12728984
24,1732572711191,0,READ,90,3889.15,33.79,810.15,1185.79,1417.21,3670.01,3889.15,4921280,7344624
25,1732572711191,1,READ,90,3934.21,34.08,819.14,1112.06,1357.82,3741.7,3934.21,4938432,7344518
26,1732572711191,2,READ,1004,514.3,1.11,112.34,74.94,255.49,495.36,514.3,13838152,13972950
27,1732572711191,3,READ,1002,548.86,0.06,114.1,74.69,248.83,500.99,515.84,13146392,13281267
