,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732574152397,0,READ,876,1104.89,1.77,132.12,112.25,283.13,496.13,778.24,4921408,10485760
1,1732574152397,1,READ,902,498.43,2.86,141.8,118.21,322.05,489.21,498.18,4990624,10485760
2,1732574152397,2,READ,903,506.88,0.79,144.56,116.29,333.57,491.77,498.69,4999192,10485760
3,1732574152397,3,READ,904,503.04,3.57,125.37,112.38,272.13,488.19,498.94,4999192,10485760
4,1732574152899,0,READ,1003,512.25,1.28,51.98,25.18,135.29,465.41,502.78,6876112,10484505
5,1732574152899,1,READ,1004,499.2,1.64,55.32,25.3,150.01,483.84,496.64,6893600,10484505
6,1732574152899,2,READ,1003,503.55,3.92,57.38,25.14,167.04,475.65,500.22,6893440,10484505
7,1732574152899,3,READ,1003,494.08,1.09,49.6,24.61,132.74,334.33,490.5,6876064,10489525
8,1732574153401,0,READ,1000,499.71,1.85,32.2,26.14,34.08,199.68,353.54,7481520,10478243
9,1732574153401,1,READ,1004,497.41,7.51,34.43,25.65,33.38,278.78,496.89,7481776,10478243
10,1732574153401,2,READ,1004,431.1,15.54,33.29,25.98,36.9,230.53,301.31,7481616,10478243
11,1732574153401,3,READ,1002,488.96,6.52,32.72,25.76,36.16,213.5,487.42,7403704,10508311
12,1732574153903,0,READ,1003,216.96,21.07,26.8,23.98,29.31,108.99,204.03,7654496,10476701
13,1732574153903,1,READ,1003,247.94,11.26,26.95,24.06,31.25,98.05,241.41,7654752,10476701
14,1732574153903,2,READ,1004,343.55,21.6,27.84,24.13,28.69,151.94,295.42,7654576,10476701
15,1732574153903,3,READ,1005,317.44,18.37,28.36,24.0,30.37,142.97,310.27,7576664,10512937
16,1732574154405,0,READ,1004,237.82,20.56,24.87,23.73,27.5,39.04,87.17,7689088,10475705
17,1732574154405,1,READ,1005,199.68,18.58,25.28,23.93,27.58,42.75,165.89,7697992,10475705
18,1732574154405,2,READ,1006,315.65,21.33,25.66,23.89,27.31,47.49,269.82,7697832,10475686
19,1732574154405,3,READ,1008,349.18,18.69,28.62,23.81,27.76,213.38,333.57,7611256,10515982
20,1732574154910,0,READ,1009,148.09,21.3,23.87,23.25,24.88,32.26,127.87,7715032,10475601
21,1732574154910,1,READ,1007,494.08,21.23,25.1,23.77,27.1,38.21,166.66,7715288,10475601
