,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732573709302,0,READ,885,523.52,0.39,39.16,19.77,34.37,496.64,516.35,0,0
1,1732573709302,1,READ,912,516.86,0.42,37.75,23.54,39.55,477.69,506.88,0,0
2,1732573709302,2,READ,914,547.84,0.01,38.31,23.14,36.03,491.26,499.71,0,0
3,1732573709302,3,READ,914,522.24,0.26,38.55,23.34,37.09,483.33,512.77,0,0
4,1732573709804,0,READ,1003,50.91,17.57,20.23,19.38,22.7,28.98,48.09,0,0
5,1732573709804,1,READ,1003,53.44,17.5,24.31,22.91,29.57,43.49,49.85,0,0
6,1732573709804,2,READ,1003,44.22,20.48,23.55,22.94,26.38,31.61,40.73,0,0
7,1732573709804,3,READ,1003,50.72,18.27,24.9,23.02,31.31,44.06,50.11,0,0
8,1732573710305,0,READ,999,163.46,17.78,26.51,24.03,36.16,49.18,117.82,0,0
9,1732573710305,1,READ,1003,362.5,17.73,23.04,21.2,27.26,45.66,294.4,0,0
10,1732573710305,2,READ,1003,421.38,21.04,24.38,23.02,26.06,41.12,118.08,0,0
11,1732573710305,3,READ,1003,304.64,17.58,22.76,21.76,26.3,49.63,85.57,0,0
12,1732573710807,0,READ,1003,49.47,20.24,24.4,23.26,26.75,45.66,48.86,0,0
13,1732573710807,1,READ,1003,50.59,17.66,21.15,19.87,24.19,40.41,49.15,0,0
14,1732573710807,2,READ,1003,39.1,20.78,23.14,22.86,24.89,26.48,37.79,0,0
15,1732573710807,3,READ,1004,100.29,17.74,24.76,23.38,30.64,45.82,54.34,0,0
16,1732573711309,0,READ,1002,52.83,20.74,23.64,23.15,25.42,34.94,48.99,0,0
17,1732573711309,1,READ,1006,49.57,17.09,19.8,19.3,21.57,26.09,43.87,0,0
18,1732573711309,2,READ,1008,53.31,18.64,25.41,23.44,32.61,44.61,49.41,0,0
19,1732573711309,3,READ,1009,52.16,19.68,24.4,23.47,27.31,39.81,48.09,0,0
20,1732573711815,0,READ,1010,49.41,21.07,23.82,23.42,26.32,30.75,45.85,0,0
21,1732573711815,1,READ,1008,43.84,17.57,20.75,19.82,23.7,35.77,41.95,0,0
22,1732573711815,2,READ,1007,46.81,19.06,23.96,23.05,25.93,41.12,46.4,0,0
23,1732573711815,3,READ,1004,52.93,20.7,25.62,23.47,34.81,47.36,51.74,0,0
24,1732573712316,0,READ,1003,37.22,21.06,23.41,23.23,25.1,28.45,33.7,0,0
25,1732573712316,1,READ,1003,132.09,17.5,20.71,19.71,23.36,35.68,55.74,0,0
26,1732573712316,2,READ,1003,49.22,19.82,23.56,22.91,25.68,36.8,46.88,0,0
27,1732573712316,3,READ,1004,49.44,20.1,26.05,23.86,34.37,45.76,48.22,0,0
28,1732573712818,0,READ,1003,47.2,20.67,23.66,23.09,25.89,34.75,45.6,0,0
29,1732573712818,1,READ,1003,50.69,17.39,24.33,22.83,32.43,43.84,50.05,0,0
30,1732573712818,2,READ,1003,43.55,18.51,23.32,22.82,25.82,29.74,40.32,0,0
31,1732573712818,3,READ,1003,52.0,19.84,24.64,23.23,29.95,43.9,48.96,0,0
32,1732573713320,0,READ,1003,126.97,20.83,23.8,22.85,25.52,44.67,77.63,0,0
33,1732573713320,1,READ,1001,57.85,20.13,24.08,22.88,27.34,45.38,55.87,0,0
34,1732573713320,2,READ,1003,183.17,18.7,24.72,23.57,28.27,40.86,55.65,0,0
35,1732573713320,3,READ,1004,97.73,20.43,25.22,23.87,29.68,46.49,62.49,0,0
36,1732573713822,0,READ,1003,50.27,20.61,23.31,22.67,24.88,34.17,43.58,0,0
37,1732573713822,1,READ,1003,35.52,20.5,22.7,22.56,23.92,26.3,33.76,0,0
38,1732573713822,2,READ,1003,50.4,18.34,25.68,23.74,33.12,45.09,49.63,0,0
39,1732573713822,3,READ,1003,50.21,20.14,25.73,24.19,32.51,44.09,48.09,0,0
40,1732573714324,0,READ,1003,51.04,20.62,23.63,22.89,26.19,34.98,49.41,0,0
41,1732573714324,1,READ,1003,59.97,20.22,22.96,22.59,24.29,33.47,45.31,0,0
42,1732573714324,2,READ,1003,58.56,17.79,23.55,22.66,27.52,39.77,54.27,0,0
43,1732573714324,3,READ,1003,50.27,20.03,26.76,25.31,33.92,44.19,47.77,0,0
44,1732573714825,0,READ,1003,42.98,19.14,23.84,22.88,26.91,35.52,42.4,0,0
45,1732573714825,1,READ,1003,43.49,20.32,23.36,22.69,25.1,33.73,43.26,0,0
46,1732573714825,2,READ,1003,50.94,18.19,23.85,22.86,26.91,36.54,49.6,0,0
47,1732573714825,3,READ,1003,51.26,20.93,26.86,24.98,35.13,46.59,49.63,0,0
48,1732573715327,0,READ,1003,43.26,20.69,23.65,23.12,25.82,31.52,41.47,0,0
49,1732573715327,1,READ,1005,59.84,17.89,24.31,23.15,28.29,44.32,51.81,0,0
50,1732573715327,2,READ,1006,54.59,18.64,23.69,23.05,25.98,35.39,41.25,0,0
51,1732573715327,3,READ,1008,54.37,18.16,24.54,23.41,28.48,43.39,51.39,0,0
52,1732573715832,0,READ,1009,38.85,20.88,23.15,22.72,25.12,27.28,35.2,0,0
53,1732573715832,1,READ,1008,50.27,18.7,24.72,23.63,28.38,42.27,50.24,0,0
54,1732573715832,2,READ,1006,34.59,20.14,23.06,22.69,24.96,27.9,33.89,0,0
55,1732573715832,3,READ,1005,50.59,18.08,24.39,23.36,28.24,37.57,46.59,0,0
56,1732573716334,0,READ,1003,55.87,18.61,23.84,22.85,26.32,37.66,44.09,0,0
57,1732573716334,1,READ,1003,54.11,18.06,23.92,22.7,27.14,40.0,50.08,0,0
58,1732573716334,2,READ,1003,60.83,18.51,23.89,22.77,26.29,39.81,57.02,0,0
59,1732573716334,3,READ,1003,49.44,17.86,23.55,22.35,26.56,43.52,48.83,0,0
60,1732573716836,0,READ,1003,54.14,17.58,24.77,23.05,31.55,42.59,48.86,0,0
61,1732573716836,1,READ,1003,50.62,18.69,23.18,22.64,25.33,27.41,49.34,0,0
62,1732573716836,2,READ,1003,51.71,18.27,24.31,22.69,28.02,47.39,51.68,0,0
63,1732573716836,3,READ,1004,69.82,18.8,23.34,22.64,25.68,30.54,49.38,0,0
64,1732573717338,0,READ,1003,81.09,18.34,25.07,22.88,31.26,46.62,72.77,0,0
65,1732573717338,1,READ,1003,49.47,18.16,23.34,22.61,26.0,33.34,48.0,0,0
66,1732573717338,2,READ,1003,60.35,19.6,25.54,23.76,31.68,46.11,54.46,0,0
67,1732573717338,3,READ,1003,45.57,18.13,23.25,22.53,26.21,30.98,44.26,0,0
68,1732573717839,0,READ,1003,44.58,17.86,20.08,19.33,22.7,29.04,39.07,0,0
69,1732573717839,1,READ,1003,46.78,18.58,23.57,22.66,26.25,35.13,43.1,0,0
70,1732573717839,2,READ,1004,63.42,20.9,25.97,24.19,32.9,45.28,50.14,0,0
71,1732573717839,3,READ,1004,46.88,18.91,23.38,22.61,26.0,31.98,42.08,0,0
72,1732573718341,0,READ,1003,51.74,17.81,22.35,21.87,26.32,39.94,50.46,0,0
73,1732573718341,1,READ,1003,45.02,18.58,23.23,22.51,25.31,33.66,44.77,0,0
74,1732573718341,2,READ,1003,54.17,20.78,25.31,23.47,32.09,44.93,49.05,0,0
75,1732573718341,3,READ,1003,48.86,18.21,23.37,22.53,25.52,36.9,47.52,0,0
76,1732573718843,0,READ,1003,79.36,17.52,22.76,22.18,25.71,41.09,49.57,0,0
77,1732573718843,1,READ,1003,149.76,19.07,23.35,22.64,25.26,34.14,46.08,0,0
78,1732573718843,2,READ,1004,59.01,18.38,24.96,24.03,29.45,42.66,51.94,0,0
79,1732573718843,3,READ,1003,52.64,17.7,22.82,22.29,24.77,35.97,49.85,0,0
80,1732573719345,0,READ,1003,138.24,17.6,22.39,21.84,26.02,46.3,72.51,0,0
81,1732573719345,1,READ,1002,69.06,18.05,23.84,22.77,28.27,46.91,61.6,0,0
82,1732573719345,2,READ,1003,164.09,18.08,24.32,23.04,28.14,43.26,51.58,0,0
83,1732573719345,3,READ,1002,104.38,17.9,25.29,24.45,30.16,45.47,67.14,0,0
84,1732573719847,0,READ,1004,67.97,17.73,20.56,19.49,23.09,40.86,51.49,0,0
85,1732573719847,1,READ,1004,54.81,18.29,24.15,22.93,27.18,42.3,49.31,0,0
86,1732573719847,2,READ,1005,49.95,18.24,23.92,22.85,27.04,39.42,46.69,0,0
87,1732573719847,3,READ,1004,48.06,20.86,25.46,24.78,28.32,40.35,48.0,0,0
88,1732573720349,0,READ,1003,133.12,17.55,20.78,19.36,23.95,44.35,49.6,0,0
89,1732573720349,1,READ,1003,48.54,18.34,24.54,23.47,28.3,42.49,48.13,0,0
90,1732573720349,2,READ,1003,178.69,18.19,23.98,23.14,26.34,41.02,50.34,0,0
91,1732573720349,3,READ,1003,51.01,20.35,26.18,25.25,30.78,44.73,48.83,0,0
92,1732573720851,0,READ,1003,42.4,17.5,20.68,19.49,24.21,33.89,39.68,0,0
93,1732573720851,1,READ,1003,50.08,20.77,24.84,23.47,29.09,43.23,49.09,0,0
94,1732573720851,2,READ,1002,51.26,17.78,25.36,24.67,30.89,46.17,50.78,0,0
95,1732573720851,3,READ,1003,50.56,18.93,25.4,24.51,30.3,44.77,50.14,0,0
96,1732573721353,0,READ,1002,59.49,18.02,23.98,22.82,27.95,40.48,55.49,0,0
97,1732573721353,1,READ,1003,53.76,19.07,23.19,22.4,24.41,40.03,49.73,0,0
98,1732573721353,2,READ,1003,49.6,20.91,25.53,24.21,30.29,44.7,48.73,0,0
99,1732573721353,3,READ,1003,43.23,20.74,23.3,22.69,25.49,29.9,40.77,0,0
100,1732573721855,0,READ,1003,53.05,17.82,23.16,22.64,26.02,38.4,52.45,0,0
101,1732573721855,1,READ,1003,55.33,20.58,23.98,22.54,26.66,43.04,54.53,0,0
102,1732573721855,2,READ,1003,51.1,21.07,25.64,24.27,31.05,44.32,50.24,0,0
103,1732573721855,3,READ,1003,39.17,20.29,23.28,22.85,25.49,27.76,37.53,0,0
104,1732573722357,0,READ,1003,49.41,17.92,21.26,21.15,24.13,29.63,47.62,0,0
105,1732573722357,1,READ,1004,50.08,20.99,24.2,23.36,26.99,36.58,48.09,0,0
106,1732573722357,2,READ,1003,64.35,20.75,25.63,24.3,30.64,44.7,55.9,0,0
107,1732573722357,3,READ,1003,55.62,20.59,23.82,23.34,25.98,32.9,50.59,0,0
108,1732573722858,0,READ,1003,41.47,17.68,19.59,19.18,20.96,25.77,37.31,0,0
109,1732573722858,1,READ,1003,53.85,20.72,24.33,23.41,26.83,39.97,52.48,0,0
110,1732573722858,2,READ,1003,55.97,20.99,25.19,24.88,27.49,31.82,43.49,0,0
111,1732573722858,3,READ,1003,40.35,20.72,23.86,23.21,26.4,30.75,39.49,0,0
112,1732573723360,0,READ,1002,49.41,17.63,22.25,22.19,25.82,33.38,48.06,0,0
113,1732573723360,1,READ,1004,50.05,20.66,23.87,22.93,26.77,40.67,49.41,0,0
114,1732573723360,2,READ,1006,51.58,21.01,25.55,24.75,28.93,41.31,50.85,0,0
115,1732573723360,3,READ,1008,43.2,17.94,22.5,22.09,26.8,35.01,41.89,0,0
116,1732573723865,0,READ,1008,35.04,20.34,22.83,22.43,24.34,30.51,34.59,0,0
117,1732573723865,1,READ,1007,48.96,20.69,23.64,22.64,25.89,40.73,45.89,0,0
118,1732573723865,2,READ,1005,52.9,20.83,24.87,23.6,28.82,43.74,50.46,0,0
119,1732573723865,3,READ,1004,34.91,17.84,21.96,22.21,24.66,28.02,32.48,0,0
120,1732573724366,0,READ,1003,48.13,20.67,23.04,22.56,25.05,28.06,47.55,0,0
121,1732573724366,1,READ,1003,52.93,20.83,24.35,22.96,28.46,43.23,51.26,0,0
122,1732573724366,2,READ,1003,57.92,20.77,24.83,23.73,27.87,42.43,54.75,0,0
123,1732573724366,3,READ,1003,49.5,18.72,23.69,22.72,26.64,39.94,48.26,0,0
124,1732573724868,0,READ,1002,49.47,17.66,20.66,19.52,23.52,37.38,46.81,0,0
125,1732573724868,1,READ,1004,86.21,21.47,26.41,24.75,32.83,45.7,60.16,0,0
126,1732573724868,2,READ,1004,126.78,20.29,24.34,23.31,26.85,38.34,65.66,0,0
127,1732573724868,3,READ,1003,83.14,20.59,25.71,24.06,30.57,48.22,77.69,0,0
128,1732573725370,0,READ,1003,50.37,17.65,19.61,19.2,21.34,24.37,36.35,0,0
129,1732573725370,1,READ,1003,51.3,21.55,25.62,24.5,29.17,45.38,49.41,0,0
130,1732573725370,2,READ,1003,40.09,20.35,23.76,22.99,26.54,30.73,37.15,0,0
131,1732573725370,3,READ,1003,51.65,20.59,24.74,23.42,28.59,42.69,48.26,0,0
132,1732573725872,0,READ,1003,27.26,17.34,19.39,19.12,20.69,23.65,25.38,0,0
133,1732573725872,1,READ,1004,51.94,21.18,25.87,24.69,30.08,43.74,49.47,0,0
134,1732573725872,2,READ,1003,55.55,20.58,24.39,23.1,28.18,41.05,54.43,0,0
135,1732573725872,3,READ,1003,49.5,21.02,24.64,23.45,27.95,40.58,48.32,0,0
136,1732573726374,0,READ,1003,53.25,17.49,21.08,19.74,24.37,35.84,44.9,0,0
137,1732573726374,1,READ,1004,51.01,20.56,25.49,24.09,31.07,43.58,50.21,0,0
138,1732573726374,2,READ,1004,51.49,20.54,23.88,22.78,26.25,42.21,49.89,0,0
139,1732573726374,3,READ,1003,51.17,20.37,24.64,23.01,30.67,43.74,50.08,0,0
140,1732573726876,0,READ,1003,49.85,18.35,25.46,24.0,31.76,46.66,49.76,0,0
141,1732573726876,1,READ,1003,46.88,20.9,25.01,23.82,31.14,37.31,45.7,0,0
142,1732573726876,2,READ,1003,48.86,19.94,23.98,22.99,27.01,34.81,47.74,0,0
143,1732573726876,3,READ,1003,44.64,20.46,22.93,22.27,24.24,33.22,41.6,0,0
144,1732573727378,0,READ,1003,54.81,17.34,25.57,23.17,34.49,49.28,54.37,0,0
145,1732573727378,1,READ,1003,48.48,21.15,25.34,23.84,32.08,40.67,47.71,0,0
146,1732573727378,2,READ,1004,47.81,19.95,24.21,23.2,26.77,39.07,46.66,0,0
147,1732573727378,3,READ,1003,57.25,17.68,22.23,22.16,24.02,31.76,46.08,0,0
148,1732573727879,0,READ,1002,76.99,20.93,25.84,24.08,32.43,43.84,48.51,0,0
149,1732573727879,1,READ,1003,50.85,21.12,24.89,23.6,29.86,41.22,47.55,0,0
150,1732573727879,2,READ,1003,35.62,20.61,23.53,23.02,25.95,28.06,34.56,0,0
151,1732573727879,3,READ,1003,51.94,16.94,20.62,19.45,23.95,35.9,49.34,0,0
152,1732573728381,0,READ,1003,49.92,20.56,24.44,23.42,27.77,37.89,49.85,0,0
153,1732573728381,1,READ,1003,50.72,20.98,25.61,23.84,31.58,46.11,50.14,0,0
154,1732573728381,2,READ,1003,36.09,20.56,23.39,22.78,26.08,27.2,36.03,0,0
155,1732573728381,3,READ,1004,49.15,17.55,20.14,19.31,22.85,25.21,47.36,0,0
156,1732573728883,0,READ,1002,82.5,20.66,24.43,23.2,27.66,39.55,51.94,0,0
157,1732573728883,1,READ,1003,53.73,21.04,25.13,23.58,31.31,46.37,51.26,0,0
158,1732573728883,2,READ,1003,51.94,20.85,24.69,23.68,28.96,40.03,49.82,0,0
159,1732573728883,3,READ,1003,48.13,17.38,22.3,22.19,24.51,36.8,46.24,0,0
160,1732573729385,0,READ,1003,48.35,19.42,24.09,23.14,26.82,39.33,48.29,0,0
161,1732573729385,1,READ,1004,54.88,20.85,25.5,23.52,32.86,47.01,54.72,0,0
162,1732573729385,2,READ,1004,46.81,20.06,24.27,23.07,28.03,36.99,46.02,0,0
163,1732573729385,3,READ,1004,51.36,17.65,23.02,22.43,25.6,38.94,48.83,0,0
164,1732573729887,0,READ,1002,54.85,18.59,23.7,23.1,25.57,37.95,52.16,0,0
165,1732573729887,1,READ,1003,75.07,20.98,25.01,23.52,29.14,43.81,49.02,0,0
166,1732573729887,2,READ,1003,44.9,20.35,23.68,22.73,26.16,38.05,42.4,0,0
167,1732573729887,3,READ,1003,59.04,17.54,23.67,22.85,25.81,36.51,50.49,0,0
168,1732573730389,0,READ,1003,57.34,20.61,24.68,23.2,29.71,42.46,49.53,0,0
169,1732573730389,1,READ,1003,52.96,20.83,24.96,23.42,31.07,43.58,48.03,0,0
170,1732573730389,2,READ,1003,49.44,20.24,23.82,23.23,26.14,34.66,44.7,0,0
171,1732573730389,3,READ,1003,134.14,17.65,22.2,21.82,25.42,37.98,62.72,0,0
172,1732573730890,0,READ,1003,82.11,20.77,23.15,22.8,24.61,28.13,43.81,0,0
173,1732573730890,1,READ,1003,51.62,20.54,25.59,23.57,32.9,45.79,51.42,0,0
174,1732573730890,2,READ,1003,48.58,18.02,24.37,22.93,28.94,42.17,48.13,0,0
175,1732573730890,3,READ,1003,52.73,18.46,24.23,24.06,26.25,36.83,48.67,0,0
176,1732573731392,0,READ,1003,50.98,18.91,24.65,24.46,26.61,36.67,48.45,0,0
177,1732573731392,1,READ,1003,50.34,19.3,25.3,23.09,33.41,45.22,50.34,0,0
178,1732573731392,2,READ,1003,58.14,20.66,23.52,22.45,24.93,41.25,49.6,0,0
179,1732573731392,3,READ,1003,42.88,18.51,24.36,23.84,26.89,36.99,40.8,0,0
180,1732573731894,0,READ,1003,43.36,18.21,23.64,23.23,25.65,29.38,40.58,0,0
181,1732573731894,1,READ,1003,52.7,19.25,24.25,22.77,28.27,42.85,49.82,0,0
182,1732573731894,2,READ,1003,53.7,20.85,24.7,23.15,29.71,44.77,51.87,0,0
183,1732573731894,3,READ,1003,44.0,19.76,24.08,23.66,26.19,36.09,43.33,0,0
184,1732573732396,0,READ,1003,44.41,21.04,23.81,23.34,26.03,34.81,43.01,0,0
185,1732573732396,1,READ,1003,55.55,20.26,24.03,22.66,28.61,46.49,49.57,0,0
186,1732573732396,2,READ,1003,58.14,20.18,24.35,23.28,26.73,41.73,50.78,0,0
187,1732573732396,3,READ,1003,52.51,20.11,23.75,23.33,25.68,30.62,48.93,0,0
188,1732573732898,0,READ,1003,46.72,21.15,23.89,23.55,25.87,29.86,36.99,0,0
189,1732573732898,1,READ,1003,58.49,20.37,24.3,22.75,29.2,47.33,58.37,0,0
