,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732148170689,0,READ,482,211.97,3.48,5.22,3.85,4.17,18.38,211.97
1,1732148170689,1,READ,473,15638.53,3.34,37.7,3.73,4.1,10.33,15638.53
2,1732148170689,2,READ,488,334.08,3.57,5.61,4.05,4.36,11.21,334.08
3,1732148170689,3,READ,488,352.51,3.38,5.4,3.73,4.05,15.99,352.51
4,1732148171191,0,READ,502,18.16,3.48,4.03,3.86,4.16,5.83,17.6
5,1732148171191,1,READ,501,5.49,3.32,3.64,3.63,3.83,4.03,4.1
6,1732148171191,2,READ,501,5.25,3.58,4.0,3.99,4.24,4.48,4.94
7,1732148171191,3,READ,502,4.78,3.37,3.7,3.69,3.93,4.13,4.2
8,1732148171692,0,READ,501,30.22,3.5,4.05,3.85,4.09,11.11,17.58
9,1732148171692,1,READ,501,41.57,3.26,3.8,3.6,3.83,10.03,16.17
10,1732148171692,2,READ,502,27.66,3.61,4.09,4.01,4.25,4.48,11.22
11,1732148171692,3,READ,501,25.02,3.35,3.77,3.65,3.89,4.98,16.88
12,1732148172193,0,READ,501,11.72,3.46,4.1,3.86,4.12,10.45,11.6
13,1732148172193,1,READ,501,17.2,3.27,3.7,3.61,3.83,4.88,16.05
14,1732148172193,2,READ,501,4.54,3.55,3.99,3.99,4.23,4.38,4.46
15,1732148172193,3,READ,501,4.65,3.34,3.63,3.62,3.81,4.01,4.38
16,1732148172694,0,READ,501,17.26,3.48,3.87,3.84,4.1,4.53,5.51
17,1732148172694,1,READ,501,17.28,3.24,3.67,3.59,3.82,4.59,16.8
18,1732148172694,2,READ,501,15.81,3.58,4.04,3.98,4.26,4.82,10.38
19,1732148172694,3,READ,501,4.14,3.32,3.6,3.6,3.77,3.98,4.13
20,1732148173196,0,READ,501,4.46,3.51,3.86,3.83,4.09,4.35,4.39
21,1732148173196,1,READ,501,4.49,3.22,3.61,3.6,3.81,4.05,4.25
22,1732148173196,2,READ,501,4.67,3.63,4.0,3.98,4.25,4.49,4.59
23,1732148173196,3,READ,501,11.78,3.31,3.89,3.62,3.81,11.1,11.65
24,1732148173697,0,READ,501,19.54,3.5,3.99,3.85,4.13,5.64,18.08
25,1732148173697,1,READ,501,15.99,3.28,3.65,3.61,3.86,4.17,5.29
26,1732148173697,2,READ,501,4.91,3.65,4.04,4.02,4.28,4.5,4.77
27,1732148173697,3,READ,501,9.94,3.31,3.63,3.62,3.8,4.03,4.64
28,1732148174198,0,READ,501,17.34,3.5,3.87,3.82,4.07,4.39,4.7
29,1732148174198,1,READ,501,16.25,3.28,3.81,3.66,3.9,9.06,15.21
30,1732148174198,2,READ,501,5.4,3.58,4.05,4.05,4.29,4.52,4.8
31,1732148174198,3,READ,501,4.25,3.34,3.65,3.65,3.86,4.02,4.07
32,1732148174699,0,READ,501,61.92,3.52,4.01,3.84,4.1,4.33,11.62
33,1732148174699,1,READ,501,27.57,3.3,3.82,3.62,3.87,10.64,16.1
34,1732148174699,2,READ,501,24.72,3.57,4.23,4.05,4.32,10.09,17.49
35,1732148174699,3,READ,500,24.53,3.33,3.82,3.65,3.85,9.9,17.2
36,1732148175200,0,READ,501,5.17,3.5,3.85,3.84,4.05,4.27,4.38
37,1732148175200,1,READ,501,4.54,3.26,3.58,3.58,3.77,3.95,3.98
38,1732148175200,2,READ,501,12.63,3.56,4.31,4.01,4.33,11.97,12.45
39,1732148175200,3,READ,501,16.54,3.3,3.73,3.65,3.84,4.83,16.4
40,1732148175701,0,READ,501,18.64,3.53,3.91,3.83,4.09,5.08,14.31
41,1732148175701,1,READ,501,9.17,3.28,3.64,3.58,3.8,4.04,9.02
42,1732148175701,2,READ,501,10.57,3.58,4.02,3.99,4.25,4.63,7.5
43,1732148175701,3,READ,501,16.94,3.36,3.78,3.67,3.9,5.52,16.15
44,1732148176202,0,READ,501,15.29,3.46,3.92,3.84,4.09,4.7,14.73
45,1732148176202,1,READ,500,16.48,3.24,3.78,3.58,3.83,9.49,11.74
46,1732148176202,2,READ,501,16.56,3.58,4.12,4.04,4.29,5.01,16.5
47,1732148176202,3,READ,501,15.63,3.34,3.77,3.66,3.89,4.58,15.25
48,1732148176703,0,READ,501,18.41,3.46,3.91,3.82,4.08,5.83,9.89
49,1732148176703,1,READ,500,16.05,3.28,3.7,3.61,3.84,4.72,15.8
50,1732148176703,2,READ,501,17.04,3.58,4.15,4.04,4.34,5.01,15.68
51,1732148176703,3,READ,501,14.98,3.32,3.71,3.64,3.85,4.43,14.43
52,1732148177204,0,READ,501,37.47,3.5,4.4,3.91,6.38,7.22,13.63
53,1732148177204,1,READ,501,34.59,3.3,3.79,3.62,3.81,8.99,18.11
54,1732148177204,2,READ,501,41.82,3.62,4.25,4.06,4.33,9.94,17.25
55,1732148177204,3,READ,501,27.92,3.34,3.78,3.66,3.89,4.81,16.02
56,1732148177705,0,READ,501,11.24,3.51,3.89,3.84,4.11,4.72,4.88
57,1732148177705,1,READ,501,16.07,3.31,3.67,3.61,3.8,4.41,14.51
58,1732148177705,2,READ,501,15.46,3.61,4.08,4.04,4.28,4.62,5.93
59,1732148177705,3,READ,501,15.56,3.36,3.78,3.66,3.91,4.86,15.45
60,1732148178207,0,READ,501,24.88,3.49,4.0,3.88,4.19,5.58,18.18
61,1732148178207,1,READ,501,14.59,3.28,3.66,3.63,3.8,4.21,9.7
62,1732148178207,2,READ,501,15.28,3.62,4.06,4.03,4.23,4.43,10.49
63,1732148178207,3,READ,501,15.31,3.31,3.77,3.67,3.92,4.91,15.28
64,1732148178708,0,READ,501,16.8,3.5,3.89,3.84,4.08,4.67,8.89
65,1732148178708,1,READ,501,15.54,3.29,3.7,3.62,3.82,4.58,11.46
66,1732148178708,2,READ,501,4.53,3.56,4.0,4.0,4.22,4.46,4.5
67,1732148178708,3,READ,501,15.29,3.3,3.82,3.66,3.91,14.41,15.18
68,1732148179209,0,READ,501,5.21,3.51,3.84,3.81,4.08,4.36,4.44
69,1732148179209,1,READ,501,15.88,3.28,3.78,3.63,3.85,10.79,15.26
70,1732148179209,2,READ,501,5.44,3.61,4.01,4.01,4.21,4.43,4.61
71,1732148179209,3,READ,500,4.93,3.32,3.64,3.64,3.86,4.07,4.9
72,1732148179710,0,READ,501,36.03,3.5,3.98,3.83,4.07,5.0,15.92
73,1732148179710,1,READ,501,51.97,3.28,3.92,3.63,3.93,14.23,16.34
74,1732148179710,2,READ,501,29.98,3.68,4.24,4.06,4.33,10.41,15.73
75,1732148179710,3,READ,500,25.98,3.27,3.77,3.64,3.85,5.27,16.45
76,1732148180211,0,READ,501,17.36,3.47,3.93,3.85,4.11,4.7,16.35
77,1732148180211,1,READ,501,16.45,3.3,3.75,3.62,3.85,8.12,15.32
78,1732148180211,2,READ,501,16.67,3.7,4.12,4.08,4.33,4.67,5.67
79,1732148180211,3,READ,501,9.89,3.28,3.66,3.62,3.85,4.27,4.63
80,1732148180712,0,READ,501,16.2,3.48,3.94,3.87,4.19,4.73,12.61
81,1732148180712,1,READ,500,13.76,3.25,4.17,3.68,6.29,9.64,10.28
82,1732148180712,2,READ,501,16.59,3.66,4.26,4.13,4.38,10.51,16.3
83,1732148180712,3,READ,501,15.97,3.34,3.79,3.68,3.9,4.92,15.41
84,1732148181213,0,READ,501,17.23,3.48,3.92,3.85,4.1,4.38,16.31
85,1732148181213,1,READ,501,4.16,3.32,3.6,3.59,3.77,4.0,4.13
86,1732148181213,2,READ,501,15.67,3.59,4.11,4.07,4.33,4.7,5.25
87,1732148181213,3,READ,501,4.28,3.29,3.65,3.64,3.84,4.04,4.17
88,1732148181715,0,READ,501,18.32,3.47,3.95,3.87,4.15,5.0,16.7
89,1732148181715,1,READ,501,17.74,3.21,3.65,3.62,3.82,4.1,5.25
90,1732148181715,2,READ,501,16.61,3.63,4.12,4.08,4.33,4.61,5.56
91,1732148181715,3,READ,501,13.86,3.34,3.68,3.65,3.85,4.22,4.65
92,1732148182216,0,READ,501,4.94,3.49,3.85,3.83,4.08,4.38,4.62
93,1732148182216,1,READ,501,5.54,3.29,3.67,3.65,3.89,4.47,5.05
94,1732148182216,2,READ,501,4.77,3.6,4.1,4.09,4.33,4.58,4.74
95,1732148182216,3,READ,501,4.44,3.3,3.66,3.65,3.85,4.15,4.44
96,1732148182717,0,READ,501,19.57,3.48,3.93,3.85,4.16,4.72,16.38
97,1732148182717,1,READ,501,4.97,3.25,3.64,3.62,3.85,4.29,4.66
98,1732148182717,2,READ,501,18.91,3.67,4.19,4.1,4.36,5.16,17.47
99,1732148182717,3,READ,501,6.2,3.3,3.64,3.62,3.83,4.08,4.5
100,1732148183218,0,READ,501,32.32,3.5,3.96,3.84,4.12,4.54,16.25
101,1732148183218,1,READ,501,42.81,3.26,3.72,3.61,3.84,4.07,10.72
102,1732148183218,2,READ,501,30.7,3.66,4.17,4.09,4.33,4.62,11.29
103,1732148183218,3,READ,501,26.99,3.3,3.7,3.63,3.83,4.21,10.02
104,1732148183719,0,READ,501,16.61,3.45,3.87,3.81,4.09,4.42,5.05
105,1732148183719,1,READ,501,17.87,3.26,3.73,3.62,3.88,5.12,15.97
106,1732148183719,2,READ,501,16.4,3.66,4.11,4.09,4.31,4.5,5.82
107,1732148183719,3,READ,501,16.99,3.31,3.74,3.64,3.85,4.98,15.94
