,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732020447341,0,READ,487,4800.51,3.65,41.55,4.61,154.88,223.1,4800.51
1,1732020447341,1,READ,491,797.7,6.38,207.58,177.79,258.81,633.34,797.7
2,1732020447341,2,READ,491,758.78,6.92,254.22,236.03,324.35,679.42,758.78
3,1732020447341,3,READ,492,779.77,5.62,277.2,270.59,311.81,660.99,779.77
4,1732020447842,0,READ,502,427.26,3.68,20.99,4.38,6.85,208.38,345.34
5,1732020447842,1,READ,502,663.55,5.34,199.34,173.95,273.15,565.25,658.43
6,1732020447842,2,READ,502,798.21,6.19,250.58,247.17,310.27,644.61,752.64
7,1732020447842,3,READ,501,781.31,5.06,267.08,276.48,302.08,676.35,700.93
8,1732020448344,0,READ,501,313.09,3.65,18.13,4.4,11.02,214.53,233.34
9,1732020448344,1,READ,502,672.77,5.5,196.68,174.46,273.66,624.64,642.56
10,1732020448344,2,READ,503,825.86,7.34,249.17,234.88,323.07,764.41,823.81
11,1732020448344,3,READ,503,768.0,5.94,264.79,261.5,308.99,658.43,693.25
12,1732020448849,0,READ,505,552.96,3.39,17.57,4.24,6.89,212.61,269.31
13,1732020448849,1,READ,504,649.22,5.62,192.19,174.21,269.31,450.05,611.33
14,1732020448849,2,READ,503,812.54,5.38,236.65,243.33,282.88,460.03,740.35
15,1732020448849,3,READ,502,701.44,5.3,254.58,271.87,293.63,490.24,692.74
16,1732020449351,0,READ,501,281.09,3.54,15.91,4.25,6.65,195.33,265.47
17,1732020449351,1,READ,502,770.56,5.19,188.96,177.92,271.62,447.74,654.34
18,1732020449351,2,READ,501,767.49,6.0,238.23,250.75,321.02,469.25,675.84
19,1732020449351,3,READ,502,796.67,5.2,249.28,257.02,307.45,498.18,693.76
20,1732020449852,0,READ,501,532.48,3.51,18.4,4.44,8.86,245.63,387.07
21,1732020449852,1,READ,501,677.89,5.14,182.99,167.55,257.92,558.08,661.5
22,1732020449852,2,READ,502,745.47,4.94,224.69,231.68,251.39,711.68,742.4
23,1732020449852,3,READ,501,776.19,4.82,247.84,262.91,283.39,665.09,760.83
24,1732020450354,0,READ,502,275.45,3.55,13.18,4.24,6.26,195.46,247.94
25,1732020450354,1,READ,501,609.28,4.94,175.01,166.01,253.82,469.76,605.7
26,1732020450354,2,READ,502,801.28,5.34,228.04,225.79,305.66,606.21,781.82
27,1732020450354,3,READ,502,747.52,5.22,238.07,245.25,294.65,576.51,696.83
28,1732020450856,0,READ,501,342.27,3.4,17.37,4.23,6.55,235.52,309.76
29,1732020450856,1,READ,502,695.81,5.02,179.34,169.6,250.88,630.78,679.42
30,1732020450856,2,READ,501,875.52,5.82,220.54,226.43,269.82,726.53,807.93
31,1732020450856,3,READ,501,719.87,5.3,226.77,251.65,274.18,616.96,705.53
32,1732020451357,0,READ,501,506.88,3.36,20.39,4.29,7.06,218.88,353.02
33,1732020451357,1,READ,502,558.08,5.4,173.28,165.76,234.5,359.94,551.42
34,1732020451357,2,READ,502,726.01,6.37,225.43,236.8,303.36,447.49,651.26
35,1732020451357,3,READ,501,648.7,5.09,172.51,163.2,221.57,420.1,637.44
36,1732020451859,0,READ,502,575.49,3.57,19.18,4.36,10.1,233.98,384.77
37,1732020451859,1,READ,502,646.65,5.62,182.35,166.4,255.62,601.6,645.12
38,1732020451859,2,READ,503,716.29,6.46,195.98,176.77,237.95,559.62,711.17
39,1732020451859,3,READ,504,684.54,5.44,181.76,172.41,242.3,638.46,682.5
40,1732020452364,0,READ,505,275.97,3.58,12.34,4.33,7.91,215.81,254.46
41,1732020452364,1,READ,504,821.25,5.48,182.99,170.5,240.0,577.53,670.72
42,1732020452364,2,READ,502,812.03,5.83,180.85,170.5,240.51,560.13,753.15
43,1732020452364,3,READ,503,697.86,5.54,192.96,191.87,257.28,580.61,695.81
44,1732020452866,0,READ,501,254.34,3.58,14.0,4.22,7.06,186.5,246.78
45,1732020452866,1,READ,502,763.39,5.39,190.62,168.32,263.94,510.72,746.5
46,1732020452866,2,READ,501,667.13,6.41,182.98,171.01,243.07,452.1,648.19
47,1732020452866,3,READ,501,685.05,5.2,197.53,181.25,266.5,481.54,609.28
48,1732020453367,0,READ,502,480.51,3.6,17.59,4.45,12.17,242.3,313.34
49,1732020453367,1,READ,501,789.5,5.86,184.2,165.89,255.23,546.3,748.03
50,1732020453367,2,READ,502,740.35,6.4,184.24,170.37,248.45,553.47,658.94
51,1732020453367,3,READ,502,790.01,4.88,209.23,203.13,261.25,594.43,700.41
52,1732020453869,0,READ,502,572.41,3.65,16.76,4.44,9.57,283.13,354.3
53,1732020453869,1,READ,501,633.34,5.15,176.99,166.78,239.49,527.87,574.98
54,1732020453869,2,READ,503,679.42,5.75,184.39,174.97,267.01,572.93,672.25
55,1732020453869,3,READ,504,679.93,5.01,181.59,177.53,229.5,481.54,611.84
56,1732020454374,0,READ,504,304.89,3.66,12.39,4.56,7.89,239.36,269.31
57,1732020454374,1,READ,504,552.45,6.65,175.67,162.43,252.29,422.91,514.56
58,1732020454374,2,READ,503,660.99,5.96,205.54,198.14,259.97,442.11,600.06
59,1732020454374,3,READ,502,605.7,5.21,182.78,165.38,249.09,485.38,543.74
60,1732020454875,0,READ,501,510.98,3.55,11.98,4.18,6.74,252.03,308.74
61,1732020454875,1,READ,501,683.52,5.71,169.31,162.3,238.21,495.36,593.92
62,1732020454875,2,READ,502,645.12,6.34,188.44,174.34,259.71,467.97,594.43
63,1732020454875,3,READ,502,607.23,5.26,175.57,160.9,232.96,434.18,581.63
64,1732020455377,0,READ,502,417.79,3.5,10.27,4.14,5.96,216.32,258.18
65,1732020455377,1,READ,501,600.06,5.79,175.09,160.9,252.16,514.05,560.13
66,1732020455377,2,READ,501,674.82,5.93,196.59,183.42,245.76,543.23,631.29
67,1732020455377,3,READ,502,649.22,5.26,184.31,167.29,247.81,504.57,597.5
68,1732020455879,0,READ,501,362.5,3.63,14.98,4.32,6.68,234.11,295.68
69,1732020455879,1,READ,502,605.18,5.69,168.83,161.41,235.9,511.23,588.8
70,1732020455879,2,READ,501,654.34,6.08,195.68,181.5,255.49,582.65,633.34
71,1732020455879,3,READ,501,634.37,5.26,186.06,174.08,236.16,554.5,605.7
72,1732020456381,0,READ,500,457.21,3.62,15.82,4.59,9.96,265.21,456.19
73,1732020456381,1,READ,502,620.03,6.18,178.31,166.66,251.01,541.18,546.3
74,1732020456381,2,READ,503,655.87,7.28,196.58,180.09,267.52,555.52,578.56
75,1732020456381,3,READ,503,666.62,6.36,195.39,175.87,257.79,545.79,644.1
76,1732020456885,0,READ,504,475.9,3.64,13.88,4.6,8.19,270.08,284.93
