,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732147332540,0,READ,488,4976.64,3.16,24.25,3.86,5.02,188.93,4976.64
1,1732147332540,1,READ,492,719.36,5.25,189.76,165.76,237.44,616.96,719.36
2,1732147332540,2,READ,492,684.54,6.05,228.47,212.22,267.01,619.52,684.54
3,1732147332540,3,READ,493,711.17,5.14,218.65,197.76,281.86,600.58,711.17
4,1732147333041,0,READ,502,214.4,3.46,6.95,3.88,4.55,164.61,196.09
5,1732147333041,1,READ,502,748.54,4.54,193.08,169.47,255.36,625.15,638.98
6,1732147333041,2,READ,501,791.55,4.95,224.82,208.0,261.25,603.65,703.49
7,1732147333041,3,READ,501,778.24,3.97,213.58,189.82,291.07,660.48,777.73
8,1732147333543,0,READ,500,488.45,3.42,7.21,3.81,5.01,154.62,185.47
9,1732147333543,1,READ,502,765.95,4.95,189.38,169.22,252.8,672.25,756.74
10,1732147333543,2,READ,503,672.77,5.85,225.47,216.57,270.08,613.89,653.31
11,1732147333543,3,READ,504,814.08,5.32,209.84,194.56,279.55,611.33,683.01
12,1732147334048,0,READ,504,340.48,3.46,6.77,3.86,5.09,157.57,201.34
13,1732147334048,1,READ,504,764.41,4.86,183.2,170.11,240.64,466.18,735.23
14,1732147334048,2,READ,503,692.74,4.96,216.43,216.19,271.1,472.83,621.05
15,1732147334048,3,READ,501,587.77,4.49,196.17,190.46,266.5,439.55,562.69
16,1732147334549,0,READ,501,179.46,3.36,4.58,3.8,4.21,5.77,172.41
17,1732147334549,1,READ,501,843.77,4.44,179.81,170.24,250.88,436.99,738.3
18,1732147334549,2,READ,501,692.22,4.5,211.19,207.62,261.38,508.93,608.25
19,1732147334549,3,READ,501,566.27,4.18,190.23,179.46,267.01,456.7,565.76
20,1732147335050,0,READ,501,252.16,3.43,7.21,3.82,4.83,163.71,201.98
21,1732147335050,1,READ,501,741.38,4.84,177.63,166.01,245.76,608.77,740.86
22,1732147335050,2,READ,501,730.11,4.9,211.2,212.61,260.61,607.74,710.65
23,1732147335050,3,READ,501,774.14,4.7,191.94,181.89,257.41,579.07,678.91
24,1732147335552,0,READ,501,304.89,3.41,7.43,3.81,4.79,171.13,233.34
25,1732147335552,1,READ,502,755.71,4.47,170.88,162.43,227.33,477.69,717.31
26,1732147335552,2,READ,501,706.56,4.74,198.28,192.25,256.64,506.37,658.43
27,1732147335552,3,READ,501,645.63,3.9,186.21,182.27,255.36,504.57,628.22
28,1732147336053,0,READ,501,260.74,3.36,6.98,3.82,4.98,173.06,203.9
29,1732147336053,1,READ,501,792.06,4.47,176.67,166.53,240.9,632.32,765.95
30,1732147336053,2,READ,501,805.89,4.62,195.8,192.0,239.62,616.96,768.51
31,1732147336053,3,READ,501,716.29,3.87,186.12,173.95,264.96,605.7,672.25
32,1732147336554,0,READ,501,203.65,3.37,5.71,3.83,4.88,7.45,182.78
33,1732147336554,1,READ,501,744.96,4.73,173.41,165.25,234.11,444.16,629.25
34,1732147336554,2,READ,501,699.9,5.28,198.9,201.73,246.66,413.95,583.17
35,1732147336554,3,READ,501,659.46,4.55,182.24,176.25,244.48,384.25,590.85
36,1732147337055,0,READ,501,226.56,3.44,6.16,3.85,5.13,39.58,200.19
37,1732147337055,1,READ,501,621.05,4.47,173.55,164.09,239.23,513.28,600.06
38,1732147337055,2,READ,503,685.05,4.7,204.7,188.67,280.32,575.49,666.62
39,1732147337055,3,READ,503,700.41,4.1,173.33,161.66,250.5,555.01,650.24
40,1732147337559,0,READ,504,189.06,3.43,5.44,3.82,4.76,12.62,185.22
41,1732147337559,1,READ,504,601.6,4.75,174.15,166.66,239.74,459.77,521.22
42,1732147337559,2,READ,502,680.45,5.13,201.09,196.86,257.92,583.17,632.83
43,1732147337559,3,READ,502,624.64,4.78,172.97,162.3,238.21,529.92,581.12
44,1732147338060,0,READ,501,270.33,3.41,7.0,3.81,5.0,170.24,197.89
45,1732147338060,1,READ,501,544.77,5.21,181.53,166.4,250.75,419.07,500.48
46,1732147338060,2,READ,500,620.54,5.21,196.91,181.89,249.47,428.54,567.81
47,1732147338060,3,READ,501,595.46,4.63,175.47,162.18,248.57,408.32,545.28
48,1732147338562,0,READ,501,187.39,3.4,4.57,3.76,4.3,5.98,166.78
49,1732147338562,1,READ,501,552.96,4.35,174.72,165.5,230.01,490.24,545.28
50,1732147338562,2,READ,501,689.66,5.39,189.43,170.88,257.02,564.74,654.85
51,1732147338562,3,READ,501,629.25,4.88,167.54,158.97,230.4,523.77,623.62
52,1732147339063,0,READ,501,216.45,3.43,5.12,3.84,4.92,19.05,200.7
53,1732147339063,1,READ,501,633.34,4.94,170.43,162.3,237.44,429.82,528.89
54,1732147339063,2,READ,502,652.8,4.76,185.51,174.72,256.64,555.01,644.61
55,1732147339063,3,READ,503,642.05,4.29,166.68,155.13,235.9,503.55,597.5
56,1732147339567,0,READ,504,189.57,3.38,5.39,3.81,4.69,8.99,186.88
57,1732147339567,1,READ,503,485.63,5.14,168.67,158.34,232.19,402.69,476.16
