,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732146780402,0,READ,490,3043.33,3.42,130.4,8.1,355.07,580.61,3043.33
1,1732146780402,1,READ,492,481.79,5.38,190.78,176.64,248.96,333.06,481.79
2,1732146780402,2,READ,492,498.94,6.06,231.22,245.38,267.52,364.03,498.94
3,1732146780402,3,READ,493,516.86,5.44,209.17,192.38,278.01,341.5,516.86
4,1732146780904,0,READ,501,865.28,3.71,86.01,6.59,302.33,555.01,830.46
5,1732146780904,1,READ,502,865.28,5.4,191.86,175.87,264.7,459.52,547.84
6,1732146780904,2,READ,501,441.86,5.97,225.56,236.03,274.18,330.24,432.64
7,1732146780904,3,READ,502,771.07,5.61,214.55,204.03,286.72,390.4,560.13
8,1732146781406,0,READ,501,861.18,3.61,84.16,6.86,306.69,565.76,850.94
9,1732146781406,1,READ,502,468.74,5.49,179.21,166.27,238.97,421.63,435.71
10,1732146781406,2,READ,503,751.1,5.74,224.96,233.47,273.15,447.74,507.13
11,1732146781406,3,READ,504,788.99,4.38,205.45,200.19,275.2,424.96,551.93
12,1732146781911,0,READ,505,915.46,3.62,88.4,6.17,326.4,559.1,729.6
13,1732146781911,1,READ,504,556.03,5.26,179.87,169.22,252.67,389.38,499.97
14,1732146781911,2,READ,503,611.33,5.15,227.48,242.05,265.21,403.97,516.1
15,1732146781911,3,READ,502,506.11,4.9,193.8,183.42,276.99,321.54,433.92
16,1732146782412,0,READ,501,719.36,3.55,75.33,5.61,165.12,237.57,402.43
17,1732146782412,1,READ,501,332.8,4.68,172.75,163.2,219.01,289.79,325.12
18,1732146782412,2,READ,501,337.92,4.62,223.84,229.12,265.98,275.71,321.02
19,1732146782412,3,READ,501,365.06,5.38,195.73,185.98,259.97,296.45,352.77
20,1732146782914,0,READ,502,265.21,3.68,58.31,5.01,160.9,241.41,245.25
21,1732146782914,1,READ,502,350.21,5.54,171.74,162.3,228.86,290.81,339.45
22,1732146782914,2,READ,501,323.84,5.98,228.55,238.97,252.41,280.32,298.75
23,1732146782914,3,READ,502,314.11,5.15,185.64,170.88,266.5,293.38,308.74
