,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732152734293,0,READ,483,5644.29,3.51,29.26,4.05,6.42,457.47,5644.29
1,1732152734293,1,READ,487,1991.68,3.42,20.02,4.15,5.13,238.59,1991.68
2,1732152734293,2,READ,488,1977.34,3.58,19.61,4.25,5.39,230.4,1977.34
3,1732152734293,3,READ,488,1989.63,3.5,16.99,4.14,5.15,205.18,1989.63
4,1732152734794,0,READ,502,542.72,3.52,12.58,4.13,5.56,335.36,454.4
5,1732152734794,1,READ,501,268.29,3.72,8.5,4.25,4.95,185.22,265.73
6,1732152734794,2,READ,501,299.01,3.62,9.2,4.18,4.83,221.69,258.69
7,1732152734794,3,READ,501,260.35,3.24,8.03,4.13,4.73,190.59,206.08
8,1732152735296,0,READ,501,350.72,3.55,8.06,4.11,6.45,189.31,350.72
9,1732152735296,1,READ,501,238.97,3.59,7.73,4.27,5.09,180.74,224.38
10,1732152735296,2,READ,502,257.66,3.33,8.22,4.21,4.89,182.91,215.29
11,1732152735296,3,READ,502,263.17,3.46,10.27,4.09,4.86,226.3,248.06
12,1732152735797,0,READ,501,434.18,3.54,11.22,4.07,5.77,201.98,363.52
13,1732152735797,1,READ,502,276.99,3.64,10.32,4.25,4.94,190.08,273.92
14,1732152735797,2,READ,501,293.89,3.66,10.24,4.23,4.97,198.66,271.62
15,1732152735797,3,READ,501,267.77,3.29,8.41,4.01,4.64,182.91,202.11
16,1732152736299,0,READ,502,236.16,3.43,8.86,3.81,4.18,172.03,207.23
17,1732152736299,1,READ,501,248.57,3.61,8.94,4.12,4.51,170.11,210.81
18,1732152736299,2,READ,501,221.31,3.5,10.62,4.1,4.86,188.8,207.74
19,1732152736299,3,READ,502,259.33,3.64,11.63,4.11,4.99,178.56,240.51
20,1732152736800,0,READ,501,236.67,3.42,8.01,3.85,4.39,172.93,223.23
21,1732152736800,1,READ,501,289.28,3.77,8.67,4.19,4.86,188.93,229.12
22,1732152736800,2,READ,501,275.2,3.66,8.8,4.2,5.13,187.01,239.1
23,1732152736800,3,READ,501,252.54,3.46,7.86,4.02,4.36,175.87,184.06
24,1732152737302,0,READ,502,246.66,3.44,8.99,3.87,4.4,192.9,233.47
25,1732152737302,1,READ,501,257.28,3.62,9.17,4.11,4.5,202.62,251.65
26,1732152737302,2,READ,501,255.62,3.69,7.57,4.17,4.82,186.11,247.94
27,1732152737302,3,READ,501,219.65,3.43,8.16,4.05,4.4,173.95,203.78
28,1732152737803,0,READ,501,230.27,3.44,7.08,3.9,4.4,155.78,185.98
29,1732152737803,1,READ,501,294.14,3.48,8.51,4.13,4.74,192.0,214.4
30,1732152737803,2,READ,500,287.74,3.58,7.79,4.14,4.82,175.23,261.12
31,1732152737803,3,READ,500,223.87,3.62,6.23,4.09,4.78,26.83,206.59
32,1732152738304,0,READ,501,223.87,3.42,6.05,3.85,4.19,161.79,182.78
33,1732152738304,1,READ,501,245.12,3.51,8.96,4.13,4.59,195.58,240.38
34,1732152738304,2,READ,501,273.92,3.71,6.13,4.18,4.78,15.65,258.3
35,1732152738304,3,READ,501,203.13,3.59,4.52,4.09,4.46,5.31,5.92
36,1732152738805,0,READ,501,250.5,3.5,6.59,3.87,4.29,150.66,196.74
37,1732152738805,1,READ,501,239.49,3.64,8.31,4.12,4.51,201.09,234.75
38,1732152738805,2,READ,501,328.19,3.42,7.28,4.05,4.73,196.22,268.8
39,1732152738805,3,READ,501,382.72,3.62,6.4,4.11,5.24,18.67,238.85
40,1732152739306,0,READ,501,205.57,3.45,5.39,3.87,4.16,9.41,185.09
41,1732152739306,1,READ,501,253.31,3.68,6.69,4.13,4.5,160.9,250.75
42,1732152739306,2,READ,501,271.1,3.64,5.95,4.13,4.6,12.2,210.56
43,1732152739306,3,READ,501,290.05,3.46,6.89,4.1,4.71,185.34,254.21
44,1732152739807,0,READ,501,316.42,3.44,5.61,3.88,4.33,17.28,172.67
45,1732152739807,1,READ,501,208.0,3.64,5.31,4.06,4.45,9.91,180.99
46,1732152739807,2,READ,501,229.12,3.69,6.33,4.14,4.7,16.4,205.44
47,1732152739807,3,READ,501,271.87,3.37,7.07,4.05,4.7,179.97,271.62
48,1732152740308,0,READ,501,282.88,3.46,6.53,3.87,4.39,159.74,182.14
49,1732152740308,1,READ,501,266.75,3.65,7.3,4.12,4.51,179.97,217.34
50,1732152740308,2,READ,501,257.66,3.45,6.22,4.11,4.66,16.72,207.49
51,1732152740308,3,READ,501,252.8,3.61,5.87,4.09,4.42,8.73,220.03
52,1732152740809,0,READ,501,259.58,3.46,6.5,3.86,5.33,32.24,201.85
53,1732152740809,1,READ,501,206.46,3.63,5.65,4.1,4.56,17.61,197.76
54,1732152740809,2,READ,501,257.41,3.43,5.84,4.1,4.81,15.57,257.28
55,1732152740809,3,READ,501,346.62,3.54,8.41,4.13,5.43,192.64,241.28
56,1732152741311,0,READ,501,197.5,3.48,5.13,3.87,4.25,9.53,191.23
57,1732152741311,1,READ,502,200.32,3.57,5.78,4.14,4.71,16.32,198.53
58,1732152741311,2,READ,502,264.45,3.61,5.5,4.12,4.47,8.9,206.85
59,1732152741311,3,READ,502,286.46,3.6,6.17,4.07,4.41,10.0,205.06
60,1732152741813,0,READ,502,190.85,3.5,4.84,3.88,4.38,13.63,186.24
61,1732152741813,1,READ,502,259.2,3.55,5.33,4.12,4.5,16.7,198.66
62,1732152741813,2,READ,502,208.9,3.61,4.68,4.13,4.64,8.13,17.21
63,1732152741813,3,READ,502,311.04,3.55,7.56,4.06,4.43,198.01,247.17
64,1732152742315,0,READ,502,234.11,3.45,6.18,3.92,4.46,19.33,227.84
65,1732152742315,1,READ,501,267.26,3.63,6.27,4.12,4.63,27.15,204.93
66,1732152742315,2,READ,502,206.72,3.65,7.25,4.11,4.63,188.54,201.98
67,1732152742315,3,READ,502,242.43,3.51,6.06,4.03,4.38,6.09,234.88
68,1732152742817,0,READ,502,315.9,3.44,5.99,3.92,4.66,18.91,295.17
69,1732152742817,1,READ,502,261.89,3.59,6.15,4.16,4.98,27.07,215.81
70,1732152742817,2,READ,502,245.89,3.69,5.98,4.09,4.48,18.46,220.41
71,1732152742817,3,READ,502,264.96,3.57,6.13,4.06,4.74,17.12,210.18
72,1732152743319,0,READ,502,199.55,3.46,5.85,3.91,4.3,9.07,192.77
73,1732152743319,1,READ,502,301.57,3.62,5.91,4.09,4.42,9.54,220.93
74,1732152743319,2,READ,502,274.43,3.66,5.81,4.08,4.53,12.49,268.03
75,1732152743319,3,READ,502,224.51,3.64,5.57,4.08,4.59,15.54,211.07
76,1732152743821,0,READ,502,224.13,3.5,5.89,3.93,4.46,17.38,206.34
77,1732152743821,1,READ,501,274.94,3.69,5.88,4.15,4.47,9.37,199.68
78,1732152743821,2,READ,502,208.64,3.58,5.24,4.13,4.85,10.25,194.3
79,1732152743821,3,READ,502,250.37,3.54,5.95,4.03,4.63,16.51,249.09
80,1732152744323,0,READ,502,255.49,3.55,5.69,3.9,4.22,8.8,244.86
81,1732152744323,1,READ,501,212.74,3.67,6.21,4.13,6.65,10.48,208.13
82,1732152744323,2,READ,502,353.79,3.57,5.85,4.1,4.72,16.01,219.52
83,1732152744323,3,READ,502,258.81,3.6,6.33,4.07,4.68,16.56,211.46
84,1732152744825,0,READ,502,264.7,3.48,6.03,3.91,4.33,17.54,199.29
85,1732152744825,1,READ,502,203.65,3.56,5.34,4.09,4.42,8.18,199.55
86,1732152744825,2,READ,502,211.71,3.62,5.04,4.13,4.66,9.06,179.58
87,1732152744825,3,READ,502,249.34,3.58,5.36,4.07,4.46,7.25,184.57
88,1732152745327,0,READ,501,294.91,3.5,5.42,3.95,4.4,6.63,238.72
89,1732152745327,1,READ,502,284.42,3.61,5.53,4.12,4.56,9.27,214.78
90,1732152745327,2,READ,501,243.97,3.72,7.71,4.17,5.08,190.21,235.39
91,1732152745327,3,READ,501,268.03,3.63,5.88,4.09,4.54,6.21,222.34
92,1732152745828,0,READ,501,219.65,3.57,5.74,3.97,4.96,17.38,215.04
93,1732152745828,1,READ,502,254.72,3.62,5.98,4.1,5.19,16.5,219.78
94,1732152745828,2,READ,501,347.65,3.7,6.31,4.22,5.04,16.64,223.49
95,1732152745828,3,READ,502,262.4,3.59,5.53,4.1,5.21,16.11,232.83
96,1732152746331,0,READ,502,239.74,3.52,4.89,3.91,4.23,8.77,196.61
97,1732152746331,1,READ,502,308.99,3.47,4.58,3.9,4.29,7.43,10.34
98,1732152746331,2,READ,502,237.44,3.7,5.33,4.16,4.59,11.73,232.96
99,1732152746331,3,READ,502,236.8,3.59,5.18,4.1,4.64,11.29,204.8
100,1732152746832,0,READ,502,288.25,2.76,6.74,3.97,4.44,176.51,261.63
101,1732152746832,1,READ,501,229.25,3.67,5.11,4.09,4.55,8.22,209.79
102,1732152746832,2,READ,502,249.22,3.73,4.93,4.17,4.89,15.6,17.87
103,1732152746832,3,READ,502,234.24,3.58,5.8,4.09,4.51,8.89,205.95
104,1732152747334,0,READ,502,263.17,3.58,5.24,3.98,4.31,5.62,182.14
105,1732152747334,1,READ,502,254.85,3.64,5.14,4.12,4.51,8.3,216.96
106,1732152747334,2,READ,502,245.5,3.73,5.6,4.13,4.72,15.89,219.13
107,1732152747334,3,READ,502,224.13,3.6,5.36,4.08,4.47,6.93,197.89
108,1732152747836,0,READ,502,17.36,3.49,4.13,3.98,4.43,5.74,15.99
109,1732152747836,1,READ,502,263.94,3.66,5.77,4.16,4.77,17.33,257.41
110,1732152747836,2,READ,502,241.02,3.66,4.73,4.09,4.5,9.28,16.8
111,1732152747836,3,READ,501,273.66,3.72,5.52,4.13,4.63,11.88,185.47
112,1732152748338,0,READ,501,231.94,3.54,4.93,3.98,4.29,5.53,218.75
