,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732020999470,0,READ,488,5062.65,3.78,32.14,4.43,7.97,489.98,5062.65
1,1732020999470,1,READ,492,747.01,5.77,188.3,173.57,243.58,345.09,747.01
2,1732020999470,2,READ,493,658.43,6.26,237.88,233.73,272.64,443.65,658.43
3,1732020999470,3,READ,493,659.46,5.68,205.68,179.2,277.5,455.68,659.46
4,1732020999971,0,READ,502,535.55,3.82,12.5,4.48,6.09,378.11,483.07
5,1732020999971,1,READ,501,670.72,5.52,188.99,174.08,255.74,409.86,588.8
6,1732020999971,2,READ,501,598.53,6.23,234.8,245.5,264.19,410.88,565.25
7,1732020999971,3,READ,502,581.63,5.26,204.03,191.23,261.25,334.59,496.89
8,1732021000473,0,READ,501,563.71,3.78,13.35,4.38,7.46,371.97,507.13
9,1732021000473,1,READ,502,687.1,6.09,186.59,174.21,244.99,344.57,532.99
10,1732021000473,2,READ,504,582.14,6.35,225.76,230.27,269.06,321.02,429.31
11,1732021000473,3,READ,504,610.3,5.46,202.34,191.36,275.45,361.73,419.33
12,1732021000978,0,READ,505,484.86,3.67,11.01,4.37,7.41,236.41,418.3
13,1732021000978,1,READ,503,512.25,6.13,184.16,173.31,264.7,417.54,484.86
14,1732021000978,2,READ,503,425.21,5.41,226.05,241.53,260.48,353.02,422.4
15,1732021000978,3,READ,502,399.87,5.54,199.51,188.54,281.86,328.96,376.06
16,1732021001480,0,READ,501,338.69,3.75,16.51,4.53,6.26,257.15,324.61
17,1732021001480,1,READ,501,880.64,6.38,175.81,163.33,217.09,315.13,330.24
18,1732021001480,2,READ,501,753.66,6.06,236.0,254.46,272.64,290.81,323.33
19,1732021001480,3,READ,502,811.01,5.9,202.9,198.27,246.14,311.04,330.24
20,1732021001981,0,READ,502,263.42,3.7,7.56,4.21,5.05,174.72,248.45
21,1732021001981,1,READ,502,327.68,5.42,169.25,159.87,219.78,294.65,306.94
22,1732021001981,2,READ,502,286.46,7.11,229.17,238.46,252.8,283.13,285.95
23,1732021001981,3,READ,501,315.65,5.99,182.57,178.3,226.94,287.49,308.99
24,1732021002483,0,READ,501,251.9,3.62,9.09,4.21,5.25,201.73,245.5
25,1732021002483,1,READ,501,321.54,5.67,165.28,158.85,207.62,309.5,317.95
26,1732021002483,2,READ,502,320.0,6.39,229.04,252.54,266.75,289.79,317.18
27,1732021002483,3,READ,501,348.93,5.5,193.66,195.58,252.03,311.55,318.46
28,1732021002985,0,READ,501,251.39,3.78,7.65,4.39,5.17,169.47,230.66
29,1732021002985,1,READ,502,323.07,6.02,158.2,158.34,198.78,275.2,291.58
30,1732021002985,2,READ,501,328.19,5.85,211.84,231.68,248.7,279.04,323.84
31,1732021002985,3,READ,502,333.57,5.98,174.79,175.87,224.51,282.62,325.63
32,1732021003486,0,READ,502,253.82,3.55,7.41,4.33,5.05,174.46,253.31
33,1732021003486,1,READ,502,344.83,5.8,156.21,156.41,183.17,296.7,308.48
34,1732021003486,2,READ,502,308.74,6.8,226.22,249.22,262.4,291.07,304.64
35,1732021003486,3,READ,501,313.86,5.74,185.32,188.41,217.98,306.18,312.83
