,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732143071224,0,READ,479,4222.98,5.53,174.61,158.08,213.38,238.08,4222.98
1,1732143071224,1,READ,483,285.69,5.74,163.31,153.98,217.47,265.21,285.69
2,1732143071224,2,READ,482,1510.4,6.61,218.76,165.76,372.48,609.28,1510.4
3,1732143071224,3,READ,483,376.06,6.59,220.94,206.97,284.42,335.87,376.06
4,1732143071726,0,READ,502,270.33,5.54,169.36,161.02,226.81,251.78,257.41
5,1732143071726,1,READ,501,283.9,5.24,164.55,156.29,230.78,255.23,275.97
6,1732143071726,2,READ,501,670.21,5.47,215.16,171.52,361.98,594.43,668.67
7,1732143071726,3,READ,502,373.25,5.12,216.43,211.33,271.36,324.86,336.38
8,1732143072228,0,READ,500,269.06,5.46,168.24,162.81,221.82,255.1,268.8
9,1732143072228,1,READ,502,946.69,5.74,173.65,161.15,240.77,264.96,285.18
10,1732143072228,2,READ,503,627.71,6.07,214.03,172.41,349.69,575.49,620.54
11,1732143072228,3,READ,504,919.04,5.7,219.01,214.27,283.13,331.01,388.35
12,1732143072732,0,READ,504,264.7,5.23,164.3,160.38,219.78,249.34,263.94
13,1732143072732,1,READ,503,276.22,4.9,175.45,163.84,244.74,268.8,273.92
14,1732143072732,2,READ,503,660.48,5.21,222.74,171.01,418.05,583.17,638.46
15,1732143072732,3,READ,502,407.81,5.02,227.68,229.38,292.35,348.93,392.45
16,1732143073234,0,READ,502,267.26,4.77,162.56,161.92,224.9,258.56,265.73
17,1732143073234,1,READ,502,316.93,5.3,175.37,167.94,241.92,273.66,289.54
18,1732143073234,2,READ,501,664.58,4.93,208.75,160.77,407.55,587.77,625.66
19,1732143073234,3,READ,502,361.98,4.87,216.39,211.2,298.75,334.59,357.63
20,1732143073735,0,READ,501,264.19,5.58,166.79,161.53,226.69,251.65,259.45
21,1732143073735,1,READ,502,305.41,5.34,180.25,164.86,252.03,269.31,293.89
22,1732143073735,2,READ,501,639.49,5.55,212.94,160.77,358.14,553.98,631.81
23,1732143073735,3,READ,501,379.39,5.12,218.39,220.16,279.3,332.29,373.76
24,1732143074237,0,READ,502,265.21,5.11,157.25,157.31,209.92,234.5,259.2
25,1732143074237,1,READ,501,273.92,4.93,170.95,163.58,231.17,266.5,270.59
26,1732143074237,2,READ,501,652.8,5.1,200.41,159.23,357.12,560.13,630.78
27,1732143074237,3,READ,501,381.44,4.88,218.33,229.25,290.05,329.47,334.33
28,1732143074739,0,READ,501,256.51,5.21,157.95,159.36,227.33,245.25,253.06
29,1732143074739,1,READ,502,278.53,5.13,173.6,170.37,242.94,270.85,278.01
30,1732143074739,2,READ,501,601.6,4.95,198.05,159.36,362.75,566.78,594.94
31,1732143074739,3,READ,501,392.45,5.25,208.26,212.48,290.56,326.4,356.61
32,1732143075240,0,READ,501,259.84,4.83,159.74,158.72,209.66,248.45,251.78
33,1732143075240,1,READ,501,308.22,5.22,165.47,158.97,242.43,267.77,303.36
34,1732143075240,2,READ,503,652.29,5.06,214.83,167.29,397.06,568.32,606.72
35,1732143075240,3,READ,503,381.44,5.03,201.48,224.0,238.72,333.57,370.69
36,1732143075745,0,READ,504,275.45,5.31,161.72,161.02,226.43,242.56,273.92
37,1732143075745,1,READ,503,325.38,4.93,149.51,152.06,208.9,242.81,256.38
38,1732143075745,2,READ,503,636.41,6.52,221.84,165.63,406.78,594.43,613.89
39,1732143075745,3,READ,502,292.35,5.03,175.82,166.14,244.48,259.58,271.62
40,1732143076246,0,READ,501,268.29,5.42,162.59,160.13,228.09,255.36,260.86
41,1732143076246,1,READ,501,264.19,5.24,150.33,151.17,204.41,247.29,262.01
42,1732143076246,2,READ,502,659.46,5.35,216.93,168.83,380.67,595.97,635.39
43,1732143076246,3,READ,501,259.71,5.15,174.4,166.14,229.38,256.38,257.54
44,1732143076748,0,READ,501,267.26,5.1,158.08,156.67,215.68,235.52,248.32
45,1732143076748,1,READ,501,252.16,5.16,146.98,147.58,206.34,233.98,238.72
46,1732143076748,2,READ,501,639.49,5.14,217.57,176.51,379.13,575.49,590.85
47,1732143076748,3,READ,501,251.01,5.22,177.1,174.72,235.78,248.83,249.6
48,1732143077249,0,READ,501,255.87,5.17,164.75,161.66,226.94,244.74,249.73
49,1732143077249,1,READ,501,258.43,4.66,154.03,150.4,213.25,243.33,251.9
50,1732143077249,2,READ,503,604.16,5.5,215.2,163.71,365.31,565.25,601.09
51,1732143077249,3,READ,503,315.9,4.75,175.03,163.2,244.74,260.48,307.45
52,1732143077754,0,READ,505,298.5,5.31,163.05,163.2,218.11,253.06,265.73
53,1732143077754,1,READ,503,254.34,5.06,148.83,149.89,192.13,243.07,251.78
54,1732143077754,2,READ,503,628.22,5.44,203.78,159.87,365.31,580.61,620.54
55,1732143077754,3,READ,502,333.06,4.64,168.38,162.43,228.35,268.8,306.94
56,1732143078256,0,READ,501,302.59,5.46,164.76,159.74,221.06,273.15,283.13
57,1732143078256,1,READ,502,251.13,5.78,155.64,152.32,211.2,241.66,248.96
58,1732143078256,2,READ,502,624.64,5.22,211.68,166.66,374.27,586.24,605.7
59,1732143078256,3,READ,501,301.06,5.98,178.41,165.76,248.83,268.29,294.65
60,1732143078757,0,READ,502,318.46,5.03,165.92,163.33,229.89,259.07,288.0
61,1732143078757,1,READ,502,268.54,4.91,151.72,150.27,201.34,242.18,244.99
62,1732143078757,2,READ,503,619.52,5.11,205.84,165.38,365.06,557.57,589.31
63,1732143078757,3,READ,503,313.6,5.34,168.59,162.56,226.18,268.29,299.52
64,1732143079262,0,READ,504,302.08,5.94,171.11,166.66,221.44,277.25,290.56
65,1732143079262,1,READ,504,476.42,5.4,153.36,150.14,203.9,244.48,256.0
66,1732143079262,2,READ,503,577.02,5.55,205.77,168.06,333.31,541.7,569.86
