,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732142290164,0,READ,1928,653.31,3.86,160.08,153.47,216.32,247.68,308.22
1,1732142290164,1,READ,1920,326.65,4.06,199.18,196.86,246.66,292.35,304.13
2,1732142290164,2,READ,1920,335.1,4.5,200.05,193.92,246.01,296.96,330.5
3,1732142290164,3,READ,1919,361.73,3.84,198.48,194.94,248.96,296.96,336.64
4,1732142290666,0,READ,2005,281.09,3.88,152.84,151.81,216.45,244.61,269.82
5,1732142290666,1,READ,1994,336.64,3.82,187.82,191.74,245.5,294.65,319.49
6,1732142290666,2,READ,1997,343.3,4.29,182.95,186.5,242.94,286.72,312.06
7,1732142290666,3,READ,1991,341.76,3.75,188.42,193.92,247.17,296.7,305.15
8,1732142291167,0,READ,2005,266.5,3.87,149.33,147.97,210.94,240.77,254.21
9,1732142291167,1,READ,1997,346.11,3.95,185.76,192.25,245.5,293.89,305.41
10,1732142291167,2,READ,1996,324.35,4.4,184.45,188.67,244.22,292.1,308.99
11,1732142291167,3,READ,1994,320.51,3.71,185.73,190.59,246.27,295.94,313.34
12,1732142291669,0,READ,2006,295.42,3.48,150.67,148.86,215.29,240.0,252.29
13,1732142291669,1,READ,1994,358.91,3.96,186.54,189.57,246.01,293.89,311.3
14,1732142291669,2,READ,1998,306.69,4.51,189.51,190.59,243.84,288.0,301.06
15,1732142291669,3,READ,1995,351.49,3.58,190.41,194.18,245.89,292.86,329.73
16,1732142292171,0,READ,2001,298.24,3.86,154.76,151.81,219.52,246.91,270.85
17,1732142292171,1,READ,1998,313.09,3.84,187.12,189.95,244.74,295.68,307.97
18,1732142292171,2,READ,2003,352.77,4.44,188.91,190.85,243.33,290.56,300.54
19,1732142292171,3,READ,2004,344.32,3.86,189.55,192.77,245.25,293.89,303.62
20,1732142292675,0,READ,2016,320.77,3.8,149.69,149.12,212.09,241.02,276.99
21,1732142292675,1,READ,2003,392.7,4.12,186.87,191.62,244.99,294.91,320.25
22,1732142292675,2,READ,2004,336.38,4.56,187.96,191.87,243.71,287.74,303.62
23,1732142292675,3,READ,1994,396.03,3.9,188.49,193.15,247.42,296.96,345.09
24,1732142293177,0,READ,2004,476.93,3.58,149.3,149.5,214.27,238.97,265.98
25,1732142293177,1,READ,1999,332.29,3.94,182.52,189.44,242.18,284.67,310.78
26,1732142293177,2,READ,1993,388.35,4.33,186.58,191.49,245.12,295.94,339.71
27,1732142293177,3,READ,1993,344.83,3.96,187.38,192.13,245.89,294.91,325.12
28,1732142293679,0,READ,2003,494.08,3.92,150.44,149.63,214.4,243.84,336.89
29,1732142293679,1,READ,1994,383.49,3.79,187.4,193.41,247.17,292.1,327.68
30,1732142293679,2,READ,1996,344.32,4.14,184.75,189.82,246.4,290.56,310.01
31,1732142293679,3,READ,1992,344.32,3.24,186.94,191.36,246.66,297.98,343.04
32,1732142294180,0,READ,2003,514.3,3.66,150.07,148.35,210.18,238.72,302.08
