,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733773680549,0,READ,4,3.58,0.53,1.12,1.4,3.58,4.21,4.21,452512,5368709120,15,247,27424,335544320,0,6,0.0,16384
1,1733773680549,1,READ,6,3.02,0.69,1.65,0.96,3.0,3.02,3.02,479920,5368709120,16,258,27424,335544320,0,7,0.0,24576
2,1733773680549,2,READ,4,2.98,0.6,1.42,1.23,2.98,2.98,2.98,511896,5368709120,16,276,22856,335544320,0,7,0.0,16384
3,1733773680549,3,READ,5,3.55,0.22,1.16,0.59,3.55,3.55,3.55,543872,5368709120,16,294,22872,335544320,0,7,0.0,20480
4,1733773680549,4,READ,6,4.72,0.37,1.97,0.69,2.88,4.72,4.72,603256,5368709120,16,313,27424,335544320,0,8,0.0,24576
5,1733773680549,5,READ,8,5.51,0.27,2.01,0.5,4.74,5.51,5.51,685480,5368709120,16,343,36560,335544320,0,10,0.0,32768
6,1733773680549,6,READ,7,4.69,0.22,2.18,1.94,3.83,4.69,4.69,722024,5368709120,16,365,31976,335544320,0,11,0.0,28672
7,1733773680549,7,READ,9,5.0,0.2,2.2,2.25,3.1,5.0,5.0,754000,5368709120,16,371,41112,335544320,0,11,0.0,36864
8,1733773680549,8,READ,10,3.38,0.21,1.6,1.44,2.78,3.38,3.38,790544,5368709120,16,376,45696,335544320,0,10,0.0,40960
9,1733773680549,9,READ,7,5.19,0.88,2.6,2.22,4.12,5.19,5.19,817952,5368709120,16,379,31976,335544320,0,9,0.0,28672
10,1733773680549,10,READ,9,4.09,0.95,2.2,1.76,3.6,4.09,4.09,895608,5368709120,16,380,41112,335544320,0,9,0.0,36864
11,1733773680549,11,READ,9,4.23,0.21,2.14,2.16,2.94,4.23,4.23,945856,5368709120,16,389,41112,335544320,0,9,0.0,36864
12,1733773680549,12,READ,18,6.33,0.22,1.99,1.32,4.63,6.33,6.33,945856,5368709120,16,404,82224,335544320,0,18,0.0,73728
13,1733773680549,13,READ,19,11.38,0.22,2.92,2.17,5.92,11.38,11.38,945856,5368709120,16,404,86792,335544320,0,19,0.0,77824
14,1733773680549,14,READ,23,15.72,0.22,8.46,10.41,15.25,15.72,15.72,945856,5368709120,16,404,114248,335544320,1,192,0.0,94208
15,1733773680549,15,READ,24,15.14,0.21,8.12,5.29,15.1,15.14,15.14,945856,5368709120,16,404,109632,335544320,0,52,0.0,98304
16,1733773680661,0,READ,85,9.93,0.19,1.45,0.49,5.94,8.94,9.93,11868808,5368709120,17,2960,434040,335544320,0,95,0.112,348160
17,1733773680661,1,READ,88,9.43,0.18,1.04,0.28,2.08,8.03,9.43,11868808,5368709120,17,2960,438592,335544320,0,96,0.112,360448
18,1733773680661,2,READ,91,10.09,0.18,1.01,0.27,1.44,8.89,10.09,11987576,5368709120,17,2976,438576,335544320,0,96,0.112,372736
19,1733773680661,3,READ,90,10.2,0.18,0.98,0.26,1.67,9.8,10.2,12247952,5368709120,17,3025,452328,335544320,0,102,0.112,368640
20,1733773680661,4,READ,92,9.87,0.18,0.91,0.25,1.21,9.81,9.87,12549456,5368709120,17,3092,466016,335544320,0,102,0.112,376832
21,1733773680661,5,READ,90,9.75,0.18,0.87,0.25,1.27,9.25,9.75,12617976,5368709120,17,3123,447680,335544320,0,98,0.112,368640
22,1733773680661,6,READ,93,8.59,0.17,0.82,0.25,1.26,7.78,8.59,12617976,5368709120,17,3124,456800,335544320,0,100,0.112,380928
23,1733773680661,7,READ,91,8.65,0.18,0.71,0.26,1.1,7.82,8.65,12617976,5368709120,17,3124,456800,335544320,0,100,0.112,372736
24,1733773680661,8,READ,89,10.14,0.17,0.64,0.24,0.95,8.73,10.14,12631680,5368709120,17,3124,452280,335544320,0,99,0.112,364544
25,1733773680661,9,READ,93,10.36,0.18,0.9,0.25,1.07,10.12,10.36,12773288,5368709120,17,3148,456800,335544320,0,100,0.112,380928
26,1733773680661,10,READ,92,10.62,0.17,0.81,0.25,0.94,10.22,10.62,12978896,5368709120,17,3193,470536,335544320,0,105,0.112,376832
27,1733773680661,11,READ,92,10.86,0.17,0.69,0.23,0.98,9.41,10.86,13243904,5368709120,17,3242,475104,335544320,0,104,0.112,376832
28,1733773680661,12,READ,180,37.82,0.18,10.66,10.21,17.97,22.48,37.82,13412952,5368709120,17,3296,913648,335544320,0,209,0.112,737280
29,1733773680661,13,READ,179,30.8,0.2,7.33,7.43,11.39,16.08,30.8,13417520,5368709120,17,3299,913648,335544320,0,209,0.112,733184
30,1733773680661,14,READ,753,80.64,0.18,22.48,11.29,52.22,58.08,76.16,13417520,5368709120,17,3299,3627328,335544320,2,798,0.112,3084288
31,1733773680661,15,READ,455,47.52,14.62,36.55,40.61,43.87,45.82,47.52,13417520,5368709120,17,3299,2220240,335544320,0,823,0.112,1863680
32,1733773680773,0,READ,89,5.31,0.18,0.93,0.31,2.07,4.82,5.31,30234120,5368709120,29,6980,849760,335544320,2,186,0.224,364544
33,1733773680773,1,READ,89,4.81,0.19,0.95,0.44,1.9,4.55,4.81,30288936,5368709120,29,6984,849712,335544320,1,188,0.224,364544
34,1733773680773,2,READ,89,4.58,0.18,0.81,0.29,1.67,3.52,4.58,30531072,5368709120,29,7029,845128,335544320,0,188,0.224,364544
35,1733773680773,3,READ,90,4.37,0.18,0.8,0.28,1.85,4.37,4.37,30732064,5368709120,29,7075,872600,335544320,1,191,0.224,368640
36,1733773680773,4,READ,89,4.5,0.18,0.77,0.28,1.68,4.46,4.5,31134208,5368709120,29,7170,890904,335544320,2,195,0.224,364544
37,1733773680773,5,READ,89,4.46,0.18,0.77,0.29,1.66,4.44,4.46,31161632,5368709120,29,7182,863400,335544320,0,189,0.224,364544
38,1733773680773,6,READ,89,4.1,0.18,0.67,0.26,1.55,3.94,4.1,31166200,5368709120,29,7184,863352,335544320,0,189,0.224,364544
39,1733773680773,7,READ,89,2.04,0.18,0.67,0.29,1.62,1.78,2.04,31166200,5368709120,29,7184,881688,335544320,0,193,0.224,364544
40,1733773680773,8,READ,87,2.02,0.18,0.68,0.29,1.57,1.82,2.02,31252992,5368709120,29,7195,877200,335544320,0,192,0.224,356352
41,1733773680773,9,READ,90,2.74,0.18,0.75,0.32,1.64,2.06,2.74,31499728,5368709120,29,7238,899992,335544320,0,198,0.224,368640
42,1733773680773,10,READ,87,1.86,0.17,0.56,0.25,1.49,1.62,1.86,31728160,5368709120,29,7291,877120,335544320,1,194,0.224,356352
43,1733773680773,11,READ,89,2.16,0.17,0.68,0.29,1.55,1.66,2.16,32011504,5368709120,29,7352,881656,335544320,1,194,0.224,364544
44,1733773680773,12,READ,186,7.31,0.18,0.86,0.29,1.68,5.09,7.31,32102864,5368709120,29,7388,1777032,335544320,0,389,0.224,761856
45,1733773680773,13,READ,187,17.68,0.16,1.29,0.33,3.54,10.71,17.68,32125704,5368709120,29,7393,1813720,335544320,0,397,0.224,765952
46,1733773680773,14,READ,1269,13.5,0.18,1.16,0.34,3.07,8.06,10.27,32139408,5368709120,29,7396,9690008,335544320,4,2121,0.224,5197824
47,1733773680773,15,READ,1247,110.46,22.83,30.2,29.55,34.66,38.85,110.14,32203360,5368709120,29,7403,8186736,335544320,2,2135,0.224,5107712
48,1733773680885,0,READ,90,3.37,0.18,0.87,0.29,2.4,3.3,3.37,53768912,5368709120,33,12126,1297584,335544320,2,285,0.336,368640
49,1733773680885,1,READ,89,3.97,0.16,0.94,0.32,2.44,3.89,3.97,53969904,5368709120,33,12160,1292952,335544320,1,285,0.336,364544
50,1733773680885,2,READ,91,3.45,0.19,0.8,0.29,2.35,2.86,3.45,54216576,5368709120,33,12213,1288320,335544320,0,283,0.336,372736
51,1733773680885,3,READ,87,3.88,0.19,0.98,0.36,2.45,3.75,3.88,54413032,5368709120,33,12261,1297536,335544320,1,286,0.336,356352
52,1733773680885,4,READ,89,3.94,0.18,1.0,0.47,2.25,2.98,3.94,54751064,5368709120,33,12320,1329528,335544320,2,291,0.336,364544
53,1733773680885,5,READ,90,3.07,0.19,0.91,0.32,2.4,2.9,3.07,54846992,5368709120,33,12367,1302024,335544320,0,285,0.336,368640
54,1733773680885,6,READ,89,3.26,0.18,0.95,0.33,2.42,3.03,3.26,54846992,5368709120,33,12367,1306576,335544320,0,286,0.336,364544
55,1733773680885,7,READ,89,3.29,0.17,1.03,0.5,2.42,3.12,3.29,54906376,5368709120,33,12374,1352416,335544320,0,298,0.336,364544
56,1733773680885,8,READ,90,2.96,0.18,0.99,0.34,2.34,2.78,2.96,55134776,5368709120,33,12414,1347896,335544320,0,296,0.336,368640
57,1733773680885,9,READ,88,3.8,0.17,0.72,0.29,2.08,3.23,3.8,55367744,5368709120,33,12466,1334048,335544320,0,293,0.336,360448
58,1733773680885,10,READ,88,3.18,0.18,0.8,0.3,2.15,2.94,3.18,55545896,5368709120,33,12507,1315776,335544320,1,291,0.336,360448
59,1733773680885,11,READ,88,3.34,0.18,0.98,0.5,2.34,3.2,3.34,55842816,5368709120,33,12564,1338648,335544320,1,293,0.336,360448
60,1733773680885,12,READ,177,3.22,0.18,0.66,0.29,2.05,2.69,3.22,56075784,5368709120,33,12616,2590136,335544320,0,567,0.336,724992
61,1733773680885,13,READ,179,4.22,0.17,0.95,0.38,2.28,3.56,4.22,56158008,5368709120,33,12653,2631408,335544320,0,578,0.336,733184
62,1733773680885,14,READ,1776,7.3,0.18,1.01,0.57,2.15,4.42,6.26,56308752,5368709120,33,12674,18238368,335544320,7,4002,0.336,7274496
63,1733773680885,15,READ,1802,85.38,12.82,21.97,20.03,25.21,69.76,80.06,56482336,5368709120,33,12711,16853576,335544320,3,4004,0.336,7380992
64,1733773680997,0,READ,88,8.98,0.19,2.11,0.37,7.29,8.7,8.98,82997184,5368709120,37,18430,1704168,335544320,2,375,0.448,360448
65,1733773680997,1,READ,87,13.92,0.19,2.34,0.38,7.21,13.87,13.92,83179920,5368709120,37,18456,1694936,335544320,1,375,0.448,356352
66,1733773680997,2,READ,86,17.42,0.19,2.83,0.57,7.04,13.12,17.42,83449432,5368709120,37,18502,1690304,335544320,0,373,0.448,352256
67,1733773680997,3,READ,89,13.97,0.18,2.72,0.47,7.48,10.9,13.97,83664128,5368709120,37,18559,1722424,335544320,1,380,0.448,364544
68,1733773680997,4,READ,88,9.49,0.18,2.11,0.41,6.69,8.81,9.49,83787464,5368709120,37,18586,1749848,335544320,2,384,0.448,360448
69,1733773680997,5,READ,89,8.97,0.18,1.31,0.29,5.25,8.39,8.97,84011296,5368709120,37,18628,1708576,335544320,0,375,0.448,364544
70,1733773680997,6,READ,88,17.14,0.19,2.05,0.41,4.94,13.04,17.14,84385888,5368709120,37,18700,1713144,335544320,0,377,0.448,360448
71,1733773680997,7,READ,89,10.0,0.19,2.11,0.46,5.97,7.95,10.0,84765032,5368709120,37,18769,1768104,335544320,0,388,0.448,364544
72,1733773680997,8,READ,89,14.43,0.19,2.97,0.86,6.79,12.58,14.43,84924912,5368709120,37,18800,1754464,335544320,0,386,0.448,364544
73,1733773680997,9,READ,88,13.5,0.18,1.94,0.32,6.74,12.44,13.5,85226400,5368709120,37,18843,1736048,335544320,0,383,0.448,360448
74,1733773680997,10,READ,93,14.8,0.19,2.84,1.38,6.52,13.05,14.8,85482224,5368709120,37,18916,1740632,335544320,1,381,0.448,380928
