,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses,time_s,throughput
0,1733747146604,0,READ,7,4.49,0.21,1.96,1.42,4.13,4.49,4.49,32096,335544320,0,9,0,0,0,0,0.0,28672
1,1733747146604,1,READ,6,5.17,0.18,2.25,0.99,4.82,5.17,5.17,27528,335544320,0,10,0,0,0,0,0.0,24576
2,1733747146604,2,READ,5,1.37,0.22,0.85,0.68,1.37,1.37,1.37,22960,335544320,0,11,0,0,0,0,0.0,20480
3,1733747146604,3,READ,6,5.83,0.23,1.55,0.57,1.6,5.83,5.83,32096,335544320,0,11,0,0,0,0,0.0,24576
4,1733747146604,4,READ,6,2.46,0.44,1.24,0.62,2.31,2.46,2.46,27528,335544320,0,10,0,0,0,0,0.0,24576
5,1733747146604,5,READ,7,5.29,0.4,2.15,1.25,4.87,5.29,5.29,32096,335544320,0,11,0,0,0,0,0.0,28672
6,1733747146604,6,READ,7,5.82,0.53,2.33,1.33,5.31,5.82,5.82,32096,335544320,0,10,0,0,0,0,0.0,28672
7,1733747146604,7,READ,6,5.28,0.33,2.41,1.4,4.12,5.28,5.28,27512,335544320,0,10,0,0,0,0,0.0,24576
8,1733747146604,8,READ,7,5.2,0.54,2.39,2.41,5.2,5.7,5.7,36648,335544320,0,10,0,0,0,0,0.0,28672
9,1733747146604,9,READ,8,5.83,0.27,2.87,0.94,5.54,5.83,5.83,36664,335544320,0,10,0,0,0,0,0.0,32768
10,1733747146604,10,READ,8,5.85,0.32,2.91,2.38,5.56,5.85,5.85,36648,335544320,0,10,0,0,0,0,0.0,32768
11,1733747146604,11,READ,9,8.81,0.77,3.3,2.94,4.93,8.81,8.81,41216,335544320,0,11,0,0,0,0,0.0,36864
12,1733747146604,12,READ,8,5.78,0.25,3.03,2.35,5.73,5.78,5.78,36648,335544320,0,10,0,0,0,0,0.0,32768
13,1733747146604,13,READ,8,5.28,0.66,1.87,1.08,3.51,5.28,5.28,36648,335544320,0,10,0,0,0,0,0.0,32768
14,1733747146604,14,READ,23,14.51,0.35,7.66,6.13,14.19,14.51,14.51,114336,335544320,0,209,0,0,0,0,0.0,94208
15,1733747146604,15,READ,24,10.86,0.26,5.48,5.25,10.11,10.86,10.86,109736,335544320,0,34,0,0,0,0,0.0,98304
16,1733747146711,0,READ,85,8.96,0.18,0.9,0.27,1.41,8.92,8.96,438744,335544320,0,101,0,0,0,0,0.107,348160
17,1733747146711,1,READ,89,9.04,0.18,0.98,0.28,1.41,8.97,9.04,443248,335544320,0,99,0,0,0,0,0.107,364544
18,1733747146711,2,READ,90,9.19,0.17,0.87,0.27,1.41,7.01,9.19,434096,335544320,0,97,0,0,0,0,0.107,368640
19,1733747146711,3,READ,88,9.19,0.18,0.69,0.25,1.28,7.69,9.19,452416,335544320,0,101,0,0,0,0,0.107,360448
20,1733747146711,4,READ,89,9.4,0.16,0.82,0.26,1.09,8.76,9.4,452416,335544320,0,101,0,0,0,0,0.107,364544
21,1733747146711,5,READ,88,8.96,0.17,0.71,0.22,1.15,7.74,8.96,434080,335544320,0,97,0,0,0,0,0.107,360448
22,1733747146711,6,READ,88,9.42,0.16,0.73,0.24,1.14,9.23,9.42,434080,335544320,0,97,0,0,0,0,0.107,360448
23,1733747146711,7,READ,89,8.98,0.15,0.81,0.24,1.23,8.89,8.98,434064,335544320,0,97,0,0,0,0,0.107,364544
24,1733747146711,8,READ,87,8.85,0.17,0.65,0.24,0.9,8.85,8.85,434064,335544320,0,97,0,0,0,0,0.107,356352
25,1733747146711,9,READ,87,8.91,0.16,0.64,0.23,0.69,8.76,8.91,434080,335544320,0,97,0,0,0,0,0.107,356352
26,1733747146711,10,READ,87,9.17,0.16,0.66,0.23,1.02,8.89,9.17,452368,335544320,0,102,0,0,0,0,0.107,356352
27,1733747146711,11,READ,88,8.9,0.16,0.6,0.25,0.97,7.69,8.9,456936,335544320,0,103,0,0,0,0,0.107,360448
28,1733747146711,12,READ,91,8.87,0.15,0.64,0.23,0.92,8.51,8.87,452336,335544320,0,101,0,0,0,0,0.107,372736
29,1733747146711,13,READ,91,8.89,0.16,0.61,0.21,0.69,8.44,8.89,452336,335544320,0,101,0,0,0,0,0.107,372736
30,1733747146711,14,READ,762,80.7,0.17,25.05,24.0,54.81,60.61,80.64,3668528,335544320,0,812,0,0,0,0,0.107,3121152
31,1733747146711,15,READ,432,46.66,9.89,35.8,40.32,44.29,46.08,46.66,2101560,335544320,0,817,0,0,0,0,0.107,1769472
32,1733747146819,0,READ,88,2.31,0.18,0.86,0.29,1.95,2.3,2.31,854464,335544320,2,189,0,0,0,0,0.215,360448
33,1733747146819,1,READ,86,2.04,0.18,0.63,0.25,1.72,1.99,2.04,836096,335544320,1,185,0,0,0,0,0.215,352256
34,1733747146819,2,READ,86,2.03,0.18,0.62,0.24,1.54,2.02,2.03,826944,335544320,0,183,0,0,0,0,0.215,352256
35,1733747146819,3,READ,86,2.09,0.16,0.74,0.28,1.71,2.01,2.09,845264,335544320,1,188,0,0,0,0,0.215,352256
36,1733747146819,4,READ,86,2.07,0.18,0.67,0.27,1.78,1.99,2.07,863600,335544320,2,193,0,0,0,0,0.215,352256
37,1733747146819,5,READ,87,2.29,0.17,0.68,0.26,1.69,1.98,2.29,840680,335544320,0,188,0,0,0,0,0.215,356352
38,1733747146819,6,READ,88,1.9,0.18,0.52,0.25,1.56,1.89,1.9,840632,335544320,0,186,0,0,0,0,0.215,360448
39,1733747146819,7,READ,89,2.01,0.17,0.58,0.26,1.45,1.96,2.01,858952,335544320,0,190,0,0,0,0,0.215,364544
40,1733747146819,8,READ,89,1.9,0.18,0.66,0.29,1.54,1.88,1.9,868120,335544320,0,192,0,0,0,0,0.215,364544
41,1733747146819,9,READ,89,2.49,0.18,0.66,0.27,1.55,1.83,2.49,868136,335544320,0,192,0,0,0,0,0.215,364544
42,1733747146819,10,READ,87,1.77,0.18,0.5,0.27,1.33,1.7,1.77,849784,335544320,1,188,0,0,0,0,0.215,356352
43,1733747146819,11,READ,86,2.06,0.17,0.62,0.28,1.53,1.95,2.06,849784,335544320,1,188,0,0,0,0,0.215,352256
44,1733747146819,12,READ,85,1.84,0.17,0.58,0.27,1.4,1.61,1.84,849784,335544320,0,188,0,0,0,0,0.215,348160
45,1733747146819,13,READ,85,1.78,0.17,0.59,0.27,1.53,1.74,1.78,849784,335544320,0,188,0,0,0,0,0.215,348160
46,1733747146819,14,READ,1206,6.46,0.16,1.32,0.31,3.6,5.44,6.03,9425072,335544320,2,2067,0,0,0,0,0.215,4939776
47,1733747146819,15,READ,1223,115.52,22.7,30.85,30.03,35.2,41.63,107.78,7908144,335544320,2,2064,0,0,0,0,0.215,5009408
48,1733747146928,0,READ,83,3.37,0.18,0.99,0.29,2.42,3.12,3.37,1270280,335544320,2,280,0,0,0,0,0.324,339968
49,1733747146928,1,READ,86,3.24,0.17,1.02,0.29,2.44,3.06,3.24,1270200,335544320,1,280,0,0,0,0,0.324,352256
50,1733747146928,2,READ,86,3.07,0.17,0.81,0.29,2.04,2.63,3.07,1247296,335544320,0,276,0,0,0,0,0.324,352256
51,1733747146928,3,READ,87,3.12,0.18,1.0,0.46,2.24,2.68,3.12,1270184,335544320,1,281,0,0,0,0,0.324,356352
52,1733747146928,4,READ,88,3.46,0.17,0.97,0.31,2.31,2.89,3.46,1293088,335544320,2,285,0,0,0,0,0.324,360448
53,1733747146928,5,READ,87,3.21,0.17,0.88,0.29,1.98,3.06,3.21,1265600,335544320,0,280,0,0,0,0,0.324,356352
54,1733747146928,6,READ,86,3.79,0.18,0.74,0.27,1.87,2.42,3.79,1270152,335544320,0,280,0,0,0,0,0.324,352256
55,1733747146928,7,READ,84,3.27,0.18,0.94,0.3,2.25,2.93,3.27,1306840,335544320,0,290,0,0,0,0,0.324,344064
56,1733747146928,8,READ,86,3.24,0.18,0.91,0.29,2.14,2.52,3.24,1315976,335544320,0,290,0,0,0,0,0.324,352256
57,1733747146928,9,READ,86,2.5,0.17,0.82,0.29,2.02,2.45,2.5,1288504,335544320,0,285,0,0,0,0,0.324,352256
58,1733747146928,10,READ,87,4.93,0.18,0.87,0.29,2.05,3.11,4.93,1293040,335544320,1,285,0,0,0,0,0.324,356352
59,1733747146928,11,READ,87,4.96,0.17,1.04,0.36,2.21,4.93,4.96,1293040,335544320,1,285,0,0,0,0,0.324,356352
60,1733747146928,12,READ,87,2.81,0.17,0.75,0.28,1.88,2.58,2.81,1256384,335544320,0,278,0,0,0,0,0.324,356352
61,1733747146928,13,READ,88,3.06,0.18,0.65,0.27,1.87,2.32,3.06,1288440,335544320,0,284,0,0,0,0,0.324,360448
62,1733747146928,14,READ,1649,7.19,0.16,0.82,0.29,2.05,4.42,5.65,17420656,335544320,5,3838,0,0,0,0,0.324,6754304
63,1733747146928,15,READ,1667,80.51,11.5,22.88,21.23,25.98,70.78,80.19,15944728,335544320,3,3803,0,0,0,0,0.324,6828032
64,1733747147035,0,READ,86,3.38,0.18,1.1,0.3,2.52,3.13,3.38,1663160,335544320,2,367,0,0,0,0,0.431,352256
65,1733747147035,1,READ,85,2.91,0.17,0.89,0.29,2.33,2.67,2.91,1658496,335544320,1,366,0,0,0,0,0.431,348160
66,1733747147035,2,READ,86,2.65,0.18,0.91,0.31,2.21,2.51,2.65,1640160,335544320,0,362,0,0,0,0,0.431,352256
67,1733747147035,3,READ,84,2.97,0.18,0.78,0.26,2.27,2.67,2.97,1672264,335544320,1,371,0,0,0,0,0.431,344064
68,1733747147035,4,READ,84,2.58,0.17,0.77,0.29,2.02,2.49,2.58,1704272,335544320,2,375,0,0,0,0,0.431,344064
69,1733747147035,5,READ,86,2.94,0.16,0.88,0.29,2.25,2.77,2.94,1658448,335544320,0,365,0,0,0,0,0.431,352256
70,1733747147035,6,READ,85,2.82,0.17,0.89,0.34,2.06,2.75,2.82,1658432,335544320,0,365,0,0,0,0,0.431,348160
71,1733747147035,7,READ,87,3.09,0.18,0.86,0.3,2.21,2.98,3.09,1704272,335544320,0,375,0,0,0,0,0.431,356352
72,1733747147035,8,READ,85,2.71,0.18,0.85,0.29,2.14,2.67,2.71,1704256,335544320,0,375,0,0,0,0,0.431,348160
73,1733747147035,9,READ,85,2.69,0.18,0.76,0.29,2.06,2.52,2.69,1676784,335544320,0,369,0,0,0,0,0.431,348160
74,1733747147035,10,READ,84,3.59,0.18,0.88,0.3,2.07,3.05,3.59,1685888,335544320,1,371,0,0,0,0,0.431,344064
75,1733747147035,11,READ,85,2.58,0.2,0.74,0.32,1.96,2.23,2.58,1681320,335544320,1,371,0,0,0,0,0.431,348160
76,1733747147035,12,READ,85,2.66,0.18,0.74,0.29,2.0,2.57,2.66,1649232,335544320,0,364,0,0,0,0,0.431,348160
77,1733747147035,13,READ,85,3.0,0.18,0.83,0.31,2.06,2.58,3.0,1676720,335544320,0,370,0,0,0,0,0.431,348160
78,1733747147035,14,READ,1771,7.56,0.17,0.86,0.29,1.95,4.78,7.29,25772016,335544320,8,5676,0,0,0,0,0.431,7254016
79,1733747147035,15,READ,1771,66.62,14.97,19.93,19.66,22.3,25.01,26.05,24186008,335544320,4,5609,0,0,0,0,0.431,7254016
80,1733747147143,0,READ,86,3.06,0.18,0.9,0.26,2.61,3.05,3.06,2065176,335544320,2,455,0,0,0,0,0.539,352256
81,1733747147143,1,READ,84,3.47,0.18,0.79,0.26,2.51,2.73,3.47,2042224,335544320,1,452,0,0,0,0,0.539,344064
82,1733747147143,2,READ,85,3.18,0.18,0.82,0.28,2.54,2.81,3.18,2033024,335544320,0,448,0,0,0,0,0.539,348160
83,1733747147143,3,READ,88,2.76,0.18,0.94,0.29,2.5,2.75,2.76,2074264,335544320,1,457,0,0,0,0,0.539,360448
84,1733747147143,4,READ,85,2.75,0.18,0.82,0.3,2.35,2.73,2.75,2092600,335544320,2,461,0,0,0,0,0.539,348160
85,1733747147143,5,READ,86,2.84,0.19,0.99,0.32,2.46,2.71,2.84,2051296,335544320,0,451,0,0,0,0,0.539,352256
86,1733747147143,6,READ,86,2.75,0.18,0.64,0.28,2.29,2.5,2.75,2051296,335544320,0,451,0,0,0,0,0.539,352256
87,1733747147143,7,READ,86,2.99,0.2,0.75,0.28,2.38,2.62,2.99,2097136,335544320,0,462,0,0,0,0,0.539,352256
88,1733747147143,8,READ,86,3.35,0.18,0.82,0.28,2.39,3.16,3.35,2097120,335544320,0,462,0,0,0,0,0.539,352256
89,1733747147143,9,READ,86,2.73,0.18,0.82,0.29,2.42,2.65,2.73,2078816,335544320,0,458,0,0,0,0,0.539,352256
90,1733747147143,10,READ,85,2.89,0.18,0.9,0.32,2.28,2.69,2.89,2074216,335544320,1,457,0,0,0,0,0.539,348160
91,1733747147143,11,READ,86,3.17,0.18,0.79,0.3,2.28,2.81,3.17,2078736,335544320,1,457,0,0,0,0,0.539,352256
92,1733747147143,12,READ,86,3.33,0.19,0.9,0.31,2.34,2.84,3.33,2042144,335544320,0,450,0,0,0,0,0.539,352256
93,1733747147143,13,READ,86,2.9,0.16,0.77,0.29,2.23,2.88,2.9,2083336,335544320,0,458,0,0,0,0,0.539,352256
94,1733747147143,14,READ,1806,7.5,0.17,1.14,0.36,2.31,5.03,7.33,34022096,335544320,8,7470,0,0,0,0,0.539,7397376
95,1733747147143,15,READ,1771,66.62,16.61,20.35,19.7,21.61,24.75,65.79,32276176,335544320,4,7407,0,0,0,0,0.539,7254016
96,1733747147251,0,READ,86,3.44,0.18,0.91,0.28,2.67,3.17,3.44,2458024,335544320,2,541,0,0,0,0,0.647,352256
97,1733747147251,1,READ,86,3.41,0.19,0.89,0.29,2.38,3.02,3.41,2435088,335544320,1,538,0,0,0,0,0.647,352256
98,1733747147251,2,READ,86,4.72,0.18,0.96,0.29,2.44,3.52,4.72,2425872,335544320,0,534,0,0,0,0,0.647,352256
99,1733747147251,3,READ,84,3.59,0.18,0.9,0.28,2.49,3.17,3.59,2462560,335544320,1,543,0,0,0,0,0.647,344064
100,1733747147251,4,READ,85,3.57,0.18,0.83,0.26,2.36,3.25,3.57,2485464,335544320,2,547,0,0,0,0,0.647,348160
101,1733747147251,5,READ,84,5.93,0.18,0.89,0.3,2.32,3.04,5.93,2435008,335544320,0,537,0,0,0,0,0.647,344064
102,1733747147251,6,READ,86,4.96,0.18,0.85,0.27,2.45,3.21,4.96,2444192,335544320,0,538,0,0,0,0,0.647,352256
103,1733747147251,7,READ,86,3.52,0.18,0.98,0.28,2.5,3.19,3.52,2490016,335544320,0,548,0,0,0,0,0.647,352256
104,1733747147251,8,READ,86,3.43,0.18,0.9,0.26,2.28,3.27,3.43,2490016,335544320,0,548,0,0,0,0,0.647,352256
105,1733747147251,9,READ,85,3.08,0.18,0.72,0.28,2.25,2.81,3.08,2476280,335544320,0,547,0,0,0,0,0.647,348160
106,1733747147251,10,READ,86,3.65,0.18,0.94,0.3,2.53,3.26,3.65,2471664,335544320,1,543,0,0,0,0,0.647,352256
107,1733747147251,11,READ,86,7.27,0.18,0.91,0.34,2.58,3.55,7.27,2480752,335544320,1,545,0,0,0,0,0.647,352256
108,1733747147251,12,READ,86,6.96,0.18,0.89,0.3,2.46,3.04,6.96,2435008,335544320,0,535,0,0,0,0,0.647,352256
109,1733747147251,13,READ,85,6.75,0.18,0.99,0.29,2.69,3.81,6.75,2471616,335544320,0,544,0,0,0,0,0.647,348160
110,1733747147251,14,READ,1687,15.56,0.15,1.5,0.96,3.7,6.97,11.78,42237520,335544320,15,9290,0,0,0,0,0.647,6909952
111,1733747147251,15,READ,1720,62.72,13.56,20.24,19.87,22.13,25.71,60.7,40321656,335544320,8,9155,0,0,0,0,0.647,7045120
112,1733747147359,0,READ,87,5.82,0.18,1.24,0.29,3.24,4.01,5.82,2882944,335544320,2,633,0,0,0,0,0.755,356352
113,1733747147359,1,READ,89,7.24,0.19,0.99,0.27,2.92,5.44,7.24,2850856,335544320,1,626,0,0,0,0,0.755,364544
114,1733747147359,2,READ,86,3.63,0.18,1.11,0.3,2.77,3.55,3.63,2818736,335544320,0,620,0,0,0,0,0.755,352256
115,1733747147359,3,READ,87,5.4,0.19,1.22,0.29,2.91,5.05,5.4,2864560,335544320,1,629,0,0,0,0,0.755,356352
116,1733747147359,4,READ,85,7.75,0.19,1.19,0.29,3.23,4.62,7.75,2887512,335544320,2,635,0,0,0,0,0.755,348160
117,1733747147359,5,READ,87,5.19,0.18,1.24,0.37,2.83,5.0,5.19,2837024,335544320,0,623,0,0,0,0,0.755,356352
118,1733747147359,6,READ,86,4.74,0.18,1.23,0.33,2.98,4.51,4.74,2878296,335544320,0,632,0,0,0,0,0.755,352256
119,1733747147359,7,READ,87,6.35,0.18,1.06,0.28,2.66,4.63,6.35,2896600,335544320,0,636,0,0,0,0,0.755,356352
120,1733747147359,8,READ,87,4.87,0.18,1.31,0.32,3.02,4.21,4.87,2887448,335544320,0,634,0,0,0,0,0.755,356352
121,1733747147359,9,READ,88,5.15,0.19,0.93,0.29,2.42,3.69,5.15,2878280,335544320,0,632,0,0,0,0,0.755,360448
122,1733747147359,10,READ,85,3.29,0.18,0.81,0.29,2.31,3.06,3.29,2859960,335544320,1,629,0,0,0,0,0.755,348160
123,1733747147359,11,READ,86,5.19,0.18,1.11,0.32,2.84,4.54,5.19,2873600,335544320,1,631,0,0,0,0,0.755,352256
124,1733747147359,12,READ,86,3.33,0.19,0.77,0.29,2.25,2.96,3.33,2837040,335544320,0,624,0,0,0,0,0.755,352256
125,1733747147359,13,READ,86,3.55,0.19,1.14,0.35,2.62,3.24,3.55,2864512,335544320,0,630,0,0,0,0,0.755,352256
126,1733747147359,14,READ,1716,15.35,0.17,1.64,1.2,4.14,8.7,13.23,50360784,335544320,17,11065,0,0,0,0,0.755,7028736
127,1733747147359,15,READ,1741,64.64,11.04,20.04,19.3,21.66,56.22,61.15,48733312,335544320,10,10968,0,0,0,0,0.755,7131136
128,1733747147466,0,READ,82,9.74,0.18,1.26,0.27,3.23,6.1,9.74,3257536,335544320,2,719,0,0,0,0,0.862,335872
129,1733747147466,1,READ,84,9.93,0.18,1.24,0.26,3.69,5.45,9.93,3243736,335544320,1,714,0,0,0,0,0.862,344064
130,1733747147466,2,READ,84,8.28,0.18,1.48,0.29,4.02,7.7,8.28,3202448,335544320,0,706,0,0,0,0,0.862,344064
131,1733747147466,3,READ,83,5.43,0.18,1.42,0.31,3.69,5.43,6.58,3248288,335544320,1,714,0,0,0,0,0.862,339968
132,1733747147466,4,READ,86,7.08,0.19,1.19,0.29,3.29,4.09,7.08,3280376,335544320,2,720,0,0,0,0,0.862,352256
133,1733747147466,5,READ,85,7.97,0.19,1.31,0.29,4.3,5.94,7.97,3266544,335544320,0,718,0,0,0,0,0.862,348160
134,1733747147466,6,READ,84,8.18,0.18,1.29,0.27,3.7,4.43,8.18,3262024,335544320,0,718,0,0,0,0,0.862,344064
135,1733747147466,7,READ,86,9.7,0.18,1.54,0.3,3.78,8.19,9.7,3298616,335544320,0,724,0,0,0,0,0.862,352256
136,1733747147466,8,READ,86,7.78,0.18,1.3,0.29,3.74,5.27,7.78,3280312,335544320,0,720,0,0,0,0,0.862,352256
137,1733747147466,9,READ,85,7.5,0.18,1.54,0.29,3.96,7.33,7.5,3266576,335544320,0,718,0,0,0,0,0.862,348160
138,1733747147466,10,READ,83,7.72,0.18,1.3,0.29,3.62,5.21,7.72,3239152,335544320,1,714,0,0,0,0,0.862,339968
139,1733747147466,11,READ,84,7.87,0.19,1.63,0.37,4.04,7.09,7.87,3257312,335544320,1,718,0,0,0,0,0.862,344064
140,1733747147466,12,READ,83,11.12,0.2,1.75,0.39,3.97,9.46,11.12,3216184,335544320,0,710,0,0,0,0,0.862,339968
141,1733747147466,13,READ,87,7.43,0.18,1.45,0.29,3.83,6.13,7.43,3261976,335544320,0,716,0,0,0,0,0.862,356352
142,1733747147466,14,READ,1636,22.37,0.18,3.2,2.85,7.25,12.94,16.3,58457760,335544320,25,12880,0,0,0,0,0.862,6701056
143,1733747147466,15,READ,1690,64.06,9.6,19.18,18.05,22.25,56.67,63.36,56710128,335544320,16,12648,0,0,0,0,0.862,6922240
144,1733747147574,0,READ,89,10.22,0.18,1.93,0.26,6.01,9.62,10.22,3673304,335544320,2,807,0,0,0,0,0.97,364544
145,1733747147574,1,READ,86,11.94,0.19,2.16,0.28,5.32,8.36,11.94,3645768,335544320,1,802,0,0,0,0,0.97,352256
146,1733747147574,2,READ,88,10.95,0.18,2.48,0.33,5.81,10.4,10.95,3613616,335544320,0,794,0,0,0,0,0.97,360448
147,1733747147574,3,READ,86,10.27,0.18,1.85,0.29,5.08,9.02,10.27,3641136,335544320,1,800,0,0,0,0,0.97,352256
148,1733747147574,4,READ,84,9.71,0.18,1.49,0.26,4.97,9.47,9.71,3673256,335544320,2,808,0,0,0,0,0.97,344064
149,1733747147574,5,READ,85,8.1,0.18,1.67,0.29,4.56,7.44,8.1,3663992,335544320,0,805,0,0,0,0,0.97,348160
150,1733747147574,6,READ,87,13.5,0.18,2.35,0.32,5.74,9.75,13.5,3668624,335544320,0,806,0,0,0,0,0.97,356352
151,1733747147574,7,READ,85,10.34,0.18,2.04,0.3,5.8,9.22,10.34,3686912,335544320,0,810,0,0,0,0,0.97,348160
152,1733747147574,8,READ,85,15.49,0.19,1.8,0.29,5.55,7.24,15.49,3677760,335544320,0,808,0,0,0,0,0.97,348160
153,1733747147574,9,READ,86,9.99,0.18,2.18,0.31,5.6,8.28,9.99,3668592,335544320,0,806,0,0,0,0,0.97,352256
154,1733747147574,10,READ,89,7.74,0.17,1.71,0.3,4.86,6.13,7.74,3650288,335544320,1,801,0,0,0,0,0.97,364544
155,1733747147574,11,READ,88,10.03,0.17,2.08,0.35,5.21,9.97,10.03,3659312,335544320,1,803,0,0,0,0,0.97,360448
156,1733747147574,12,READ,89,14.77,0.18,2.21,0.38,5.06,10.17,14.77,3622736,335544320,0,795,0,0,0,0,0.97,364544
157,1733747147574,13,READ,84,13.89,0.18,1.39,0.27,4.21,6.4,13.89,3663992,335544320,0,804,0,0,0,0,0.97,344064
158,1733747147574,14,READ,1780,23.38,0.18,3.9,3.65,8.79,16.82,18.62,66859352,335544320,29,14674,0,0,0,0,0.97,7290880
159,1733747147574,15,READ,1703,62.34,6.92,16.88,16.05,21.1,47.49,55.55,64902056,335544320,23,14527,0,0,0,0,0.97,6975488
160,1733747147682,0,READ,86,10.2,0.18,1.34,0.27,3.47,8.0,10.2,4084488,335544320,2,897,0,0,0,0,1.078,352256
161,1733747147682,1,READ,84,7.52,0.19,1.7,1.52,3.54,6.39,7.52,4047832,335544320,1,891,0,0,0,0,1.078,344064
