,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732414493947,0,READ,445,1345.54,20.67,375.63,467.71,614.4,856.06,1345.54,2698776,10485760
1,1732414493947,1,READ,446,1174.53,24.05,488.31,478.21,616.45,841.73,1174.53,3849168,10485760
2,1732414493947,2,READ,446,987.65,24.43,490.22,485.12,606.72,813.05,987.65,3857912,10485760
3,1732414493947,3,READ,447,1135.62,24.13,487.49,486.14,601.09,813.05,1135.62,3857688,10485760
4,1732414494448,0,READ,502,952.32,19.38,159.75,23.71,530.43,691.71,900.61,3918400,10485760
5,1732414494448,1,READ,501,1181.69,24.86,488.52,492.8,609.28,765.44,880.13,8173712,10485760
6,1732414494448,2,READ,501,1012.22,25.07,495.85,493.06,604.67,843.77,1007.1,8182728,10485760
7,1732414494448,3,READ,502,958.98,25.78,476.46,476.42,581.63,720.38,943.62,8182536,10485760
8,1732414494950,0,READ,500,809.98,19.42,99.34,25.17,466.18,638.98,809.98,4584408,10287534
9,1732414494950,1,READ,501,1593.34,26.08,474.54,479.23,596.99,819.71,973.31,10483048,10644187
10,1732414494950,2,READ,501,2203.65,25.39,483.88,478.98,604.67,837.63,1707.01,10379592,10507867
11,1732414494950,3,READ,502,1807.36,24.66,474.19,470.53,592.89,809.98,1627.13,10370752,10504911
12,1732414495455,0,READ,504,656.38,18.94,47.26,23.23,27.09,564.74,633.34,4791960,9978909
13,1732414495455,1,READ,502,2349.05,28.93,480.78,481.79,607.74,788.99,905.22,10655992,10793156
14,1732414495455,2,READ,503,1119.23,27.52,477.84,479.74,588.8,783.87,885.76,10379576,10516463
15,1732414495455,3,READ,503,898.05,28.06,471.6,470.01,589.31,730.11,806.91,10517768,10654695
16,1732414495957,0,READ,502,622.59,19.31,37.82,22.53,25.01,472.57,563.2,4938976,9584475
17,1732414495957,1,READ,496,6533.12,27.52,502.39,487.42,612.35,841.73,6533.12,10932696,11062518
18,1732414495957,2,READ,501,1010.17,24.96,479.37,477.44,605.7,845.31,982.01,10379560,10509722
19,1732414495957,3,READ,500,2197.5,26.75,488.41,481.79,601.6,861.7,2197.5,10656120,10786335
20,1732414496458,0,READ,501,481.54,19.02,25.76,22.21,23.58,29.26,448.51,4973584,9255299
21,1732414496458,1,READ,501,917.5,27.47,474.32,476.42,593.41,754.17,908.29,11071016,11192280
22,1732414496458,2,READ,502,868.35,25.02,465.89,473.09,588.29,775.68,867.33,10483336,10581920
23,1732414496458,3,READ,501,1392.64,27.01,471.68,478.72,592.38,829.95,971.77,10794472,10914345
24,1732414496960,0,READ,502,528.89,19.04,23.07,22.0,23.5,25.18,26.27,4982232,8877292
25,1732414496960,1,READ,501,958.98,25.14,480.16,481.79,599.55,785.41,887.29,11209352,11344479
26,1732414496960,2,READ,501,1149.95,24.78,472.19,466.69,592.38,788.48,1135.62,10517880,10652962
27,1732414496960,3,READ,499,2752.51,25.06,483.22,473.34,585.73,766.98,2752.51,10932840,11068166
28,1732414497462,0,READ,501,25.63,19.36,21.99,21.93,23.23,24.3,25.58,4982232,8568867
29,1732414497462,1,READ,500,2848.77,24.16,479.75,480.0,589.82,802.82,2848.77,11209352,11333599
30,1732414497462,2,READ,501,1594.37,24.86,469.22,463.36,593.92,855.55,982.01,10656184,10780034
31,1732414497462,3,READ,502,877.57,25.65,466.77,467.71,594.94,765.95,871.42,11166384,11265157
32,1732414497964,0,READ,501,63.01,19.26,22.46,22.19,23.66,27.14,57.25,4982232,8185958
33,1732414497964,1,READ,502,974.34,24.24,491.57,500.22,613.38,833.02,964.61,11486056,11621317
34,1732414497964,2,READ,502,1294.34,24.0,474.76,472.83,594.94,753.66,958.46,10656200,10791332
35,1732414497964,3,READ,497,5378.05,24.91,501.55,490.24,609.28,871.93,5378.05,11209576,11344769
36,1732414498465,0,READ,502,78.02,19.26,26.1,25.57,30.66,38.91,76.03,4982232,7811047
37,1732414498465,1,READ,502,1027.58,29.82,482.5,480.51,612.35,749.05,818.69,11901192,12020379
38,1732414498465,2,READ,502,1523.71,28.96,494.09,488.19,623.62,857.6,961.02,10656184,10779544
39,1732414498465,3,READ,503,1382.4,28.8,484.66,484.61,600.58,819.2,1175.55,11209544,11333773
40,1732414498970,0,READ,505,128.9,19.7,23.66,23.01,26.16,32.27,37.47,4982232,7488338
41,1732414498970,1,READ,504,994.3,30.35,503.29,500.48,633.86,908.29,960.0,12039560,12176545
42,1732414498970,2,READ,503,1423.36,25.44,475.11,480.0,596.99,870.4,1144.83,10794520,10931476
43,1732414498970,3,READ,501,1794.05,28.93,491.28,487.68,627.71,850.94,1396.73,11209544,11346776
44,1732414499472,0,READ,502,54.94,19.38,23.64,23.28,26.19,29.44,44.26,4982232,7103822
45,1732414499472,1,READ,502,1056.77,28.5,490.18,491.26,605.18,762.88,1020.93,12039560,12166719
46,1732414499472,2,READ,501,1046.53,28.02,488.6,481.79,607.74,886.78,925.18,11209656,11335387
47,1732414499472,3,READ,501,940.54,26.66,483.1,478.98,606.72,818.69,931.84,11209544,11337599
48,1732414499974,0,READ,501,29.47,19.66,22.46,22.34,23.93,25.79,26.7,4982232,6792000
49,1732414499974,1,READ,502,976.89,27.09,479.23,481.54,594.43,749.05,947.71,12333624,12462496
50,1732414499974,2,READ,499,4464.64,28.16,491.19,480.0,594.43,862.21,4464.64,11209624,11344519
51,1732414499974,3,READ,501,886.27,26.18,480.56,482.3,607.23,760.83,845.31,11209512,11344562
52,1732414500476,0,READ,502,519.93,19.52,25.28,22.18,23.49,27.31,434.18,4956288,6456507
53,1732414500476,1,READ,500,2055.17,25.33,482.08,478.21,605.18,854.01,2055.17,12454696,12573224
54,1732414500476,2,READ,502,1081.34,27.82,493.01,481.28,632.83,867.33,995.33,11339344,11448819
55,1732414500476,3,READ,494,6504.45,26.85,492.3,473.34,611.33,911.36,6504.45,11347864,11467326
56,1732414500978,0,READ,502,636.41,19.39,25.98,22.29,23.82,53.5,482.05,4930328,6118982
57,1732414500978,1,READ,502,981.5,24.9,481.18,480.77,612.86,748.54,900.1,12454680,12587456
58,1732414500978,2,READ,501,917.5,24.0,480.94,481.79,611.33,757.76,847.87,11486312,11618944
59,1732414500978,3,READ,501,845.31,23.23,467.04,468.99,583.17,732.16,837.63,11486264,11618323
60,1732414501479,0,READ,502,531.46,19.07,32.92,24.21,29.04,391.42,526.34,4878424,5861586
61,1732414501479,1,READ,502,945.15,29.14,475.94,477.18,608.77,864.25,932.35,12454616,12580712
62,1732414501479,2,READ,502,2703.36,29.04,490.62,480.25,619.52,838.14,1036.29,11486344,11613321
63,1732414501479,3,READ,503,1472.51,29.42,489.54,485.89,609.28,856.06,1010.17,11763048,11889077
64,1732414501984,0,READ,504,1281.02,19.5,34.59,22.91,25.81,487.42,587.26,4817872,5573770
65,1732414501984,1,READ,504,940.03,27.31,478.86,473.34,596.99,770.05,832.0,12454536,12584074
66,1732414501984,2,READ,502,1220.61,29.74,502.79,491.77,618.5,850.94,966.65,11763096,11893262
67,1732414501984,3,READ,502,952.83,28.94,476.35,476.67,600.06,859.65,904.7,11763032,11892762
68,1732414502486,0,READ,502,629.25,19.2,34.38,22.7,24.83,435.71,523.26,4817872,5554340
69,1732414502486,1,READ,502,898.56,26.9,471.13,475.13,594.43,736.25,803.33,12454408,12590715
70,1732414502486,2,READ,500,1808.38,24.83,497.75,492.54,624.64,836.1,1808.38,11771696,11899164
71,1732414502486,3,READ,502,974.85,26.86,482.14,476.42,598.53,838.14,936.96,11762920,11899013
72,1732414502988,0,READ,501,994.3,19.25,35.71,22.43,24.66,495.62,596.48,4817872,5554072
73,1732414502988,1,READ,502,987.13,24.45,486.46,487.42,599.55,769.53,862.21,12454392,12590819
74,1732414502988,2,READ,495,6393.85,25.81,498.22,480.77,603.65,806.91,6393.85,11763032,11899299
75,1732414502988,3,READ,501,952.32,23.55,483.31,487.42,606.72,791.04,930.82,11762872,11898903
76,1732414503489,0,READ,501,760.32,19.38,35.45,22.38,24.38,335.1,552.45,4774600,5420457
77,1732414503489,1,READ,501,1177.6,24.85,481.64,481.54,596.48,848.89,998.91,12592776,12727457
