,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732414619358,0,READ,446,795.65,20.8,344.59,430.59,580.1,720.89,795.65,2707360,10485760
1,1732414619358,1,READ,446,1000.45,25.09,487.69,487.42,614.4,773.12,1000.45,3849168,10485760
2,1732414619358,2,READ,446,1354.75,24.58,483.47,485.63,593.92,794.11,1354.75,3849056,10485760
3,1732414619358,3,READ,447,980.99,25.44,478.6,471.55,589.82,875.52,980.99,3857688,10485760
4,1732414619859,0,READ,502,739.33,20.27,150.78,23.89,503.04,646.65,718.85,3918208,10485760
5,1732414619859,1,READ,502,892.93,24.7,494.36,498.18,608.25,723.97,810.5,8174064,10485760
6,1732414619859,2,READ,500,1731.58,25.66,492.28,490.5,593.41,761.86,1731.58,8156736,10485760
7,1732414619859,3,READ,499,2764.8,25.3,486.87,480.25,600.58,791.04,2764.8,8165224,10485760
8,1732414620361,0,READ,500,917.5,19.7,98.06,25.25,471.81,635.9,917.5,4584200,10285452
9,1732414620361,1,READ,502,1394.69,26.13,480.03,477.44,587.26,913.41,1050.62,10483448,10645312
10,1732414620361,2,READ,497,6668.29,26.91,512.56,498.18,630.27,819.2,6668.29,10379576,10507764
11,1732414620361,3,READ,502,1713.15,27.58,486.78,484.86,602.11,845.82,1552.38,10362040,10505999
12,1732414620866,0,READ,504,619.52,19.76,45.79,23.47,26.88,574.98,601.09,4800416,9927807
13,1732414620866,1,READ,503,1310.72,26.61,486.46,489.73,605.7,775.17,916.48,10915880,11018052
14,1732414620866,2,READ,503,1057.79,27.78,485.88,487.17,603.65,793.6,956.93,10379512,10498932
15,1732414620866,3,READ,502,1100.8,27.57,473.44,475.39,589.31,738.3,945.66,10379320,10498297
16,1732414621368,0,READ,501,657.41,20.03,36.99,22.93,25.39,496.38,577.02,4938800,9516778
17,1732414621368,1,READ,502,1020.93,29.63,489.59,489.98,600.06,828.93,897.53,11331016,11430220
18,1732414621368,2,READ,502,1048.06,27.31,477.98,475.65,597.5,820.74,983.55,10379512,10499470
19,1732414621368,3,READ,502,832.0,27.57,470.29,471.81,587.26,668.67,752.64,10379320,10497884
20,1732414621869,0,READ,501,589.31,19.63,26.98,22.35,24.05,55.62,587.26,4973408,9149994
21,1732414621869,1,READ,501,973.82,27.17,477.69,481.54,603.13,827.39,929.28,11625064,11761407
22,1732414621869,2,READ,495,6701.06,26.82,490.69,477.44,596.48,829.44,6701.06,10379496,10516202
23,1732414621869,3,READ,501,2011.13,26.34,475.68,474.11,594.43,861.18,993.79,10379320,10515644
24,1732414622371,0,READ,502,300.29,19.18,22.69,22.02,23.5,25.01,26.25,4982056,8738169
25,1732414622371,1,READ,501,1083.39,25.38,480.46,487.42,607.23,733.7,909.31,12040184,12175332
26,1732414622371,2,READ,502,1104.89,23.58,474.52,468.99,586.24,816.64,994.82,10379480,10514794
27,1732414622371,3,READ,501,1214.46,24.86,490.39,488.96,614.91,884.22,1027.07,10379320,10514702
28,1732414622873,0,READ,502,25.55,19.34,21.95,21.93,23.1,24.46,24.94,4982056,8344218
29,1732414622873,1,READ,502,1211.39,25.94,486.03,485.63,597.5,851.46,947.71,12455352,12583127
30,1732414622873,2,READ,500,2035.71,24.72,487.55,487.68,611.84,840.19,902.14,10379480,10508580
31,1732414622873,3,READ,499,2893.82,24.75,493.27,486.14,607.74,971.26,2893.82,10379288,10507936
32,1732414623375,0,READ,501,25.39,19.84,22.22,22.21,23.39,24.57,24.94,4982056,7926372
33,1732414623375,1,READ,501,923.65,25.17,480.87,484.1,606.72,787.46,917.5,12870456,12999573
34,1732414623375,2,READ,501,1100.8,25.04,488.15,489.21,598.53,858.62,1077.25,10379480,10508502
35,1732414623375,3,READ,501,2162.69,24.42,495.81,487.94,624.13,882.69,1086.46,10379288,10509001
36,1732414623876,0,READ,502,76.67,20.02,25.42,24.78,28.7,37.12,60.45,4982056,7535947
37,1732414623876,1,READ,502,1346.56,29.41,493.81,488.96,616.45,818.17,1004.03,13285512,13404014
38,1732414623876,2,READ,503,1276.93,29.6,485.93,484.86,599.55,825.34,894.46,10379464,10503313
39,1732414623876,3,READ,503,1575.93,29.87,490.34,480.51,616.45,854.53,1000.45,10379224,10502048
40,1732414624381,0,READ,505,153.22,19.66,24.83,23.44,27.18,41.5,110.72,4982056,7200945
41,1732414624381,1,READ,504,973.31,28.64,485.47,489.98,600.06,792.06,952.83,13622768,13721816
42,1732414624381,2,READ,502,1344.51,27.68,479.28,477.18,611.33,892.93,953.86,10379448,10510420
43,1732414624381,3,READ,496,6524.93,29.22,497.29,484.35,612.35,891.39,6524.93,10379176,10510192
44,1732414624883,0,READ,501,187.65,19.78,24.39,23.07,26.98,38.37,80.89,4982056,6797692
45,1732414624883,1,READ,502,884.22,25.6,485.4,484.61,608.25,777.22,840.7,13977384,14113811
46,1732414624883,2,READ,501,987.13,29.02,482.55,485.89,596.48,787.97,961.02,10379448,10516059
47,1732414624883,3,READ,502,915.46,28.96,486.44,482.56,609.79,832.51,913.41,10379128,10515640
48,1732414625385,0,READ,501,29.52,19.94,22.42,22.27,23.82,25.74,28.21,4956096,6382105
49,1732414625385,1,READ,500,1976.32,27.98,481.9,485.38,598.01,876.03,1976.32,14392568,14529221
50,1732414625385,2,READ,501,946.17,29.1,486.05,483.58,601.09,808.45,944.13,10379400,10516041
51,1732414625385,3,READ,501,1242.11,27.73,488.32,481.79,613.89,940.54,1197.06,10379064,10515595
52,1732414625886,0,READ,501,551.42,19.49,28.3,22.61,24.24,311.3,483.84,4904208,6003530
53,1732414625886,1,READ,502,866.82,27.22,478.54,479.23,592.89,748.54,825.34,14799040,14931009
54,1732414625886,2,READ,501,1555.45,27.3,472.68,471.3,592.89,711.17,832.0,10379384,10504211
55,1732414625886,3,READ,502,1030.65,26.11,470.55,472.32,584.19,809.47,945.15,10379048,10504534
56,1732414626388,0,READ,502,429.31,19.9,29.06,23.2,28.32,302.08,350.46,4852304,5757623
