,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732415638291,0,READ,446,2107.39,21.46,450.93,491.52,612.86,813.05,2107.39,0,0
1,1732415638291,1,READ,440,3934.21,26.62,532.85,499.45,632.83,1643.52,3934.21,0,0
2,1732415638291,2,READ,445,2441.22,24.4,402.85,318.72,592.89,912.38,2441.22,0,0
3,1732415638291,3,READ,426,2867.2,27.63,420.97,285.69,618.5,2478.08,2867.2,0,0
4,1732415638793,0,READ,497,2670.59,20.32,319.4,425.21,589.82,960.0,2670.59,0,0
5,1732415638793,1,READ,498,3158.01,25.06,530.49,514.3,638.98,951.81,3158.01,0,0
6,1732415638793,2,READ,502,972.29,26.3,388.79,315.9,582.14,743.42,940.03,0,0
7,1732415638793,3,READ,499,2277.38,24.27,355.67,286.98,576.51,954.88,2277.38,0,0
8,1732415639295,0,READ,499,891.39,20.8,232.29,27.82,579.07,716.8,891.39,0,0
9,1732415639295,1,READ,501,2035.71,24.99,496.8,493.57,603.65,862.72,1845.25,0,0
10,1732415639295,2,READ,500,2086.91,25.01,385.91,310.53,579.58,783.87,1643.52,0,0
11,1732415639295,3,READ,503,1389.57,25.6,342.29,283.39,556.54,964.61,1160.19,0,0
12,1732415639799,0,READ,505,819.71,20.34,138.98,27.47,526.34,659.97,795.65,0,0
13,1732415639799,1,READ,503,1379.33,25.25,504.27,501.25,626.17,897.53,1150.97,0,0
14,1732415639799,2,READ,503,1001.47,24.83,381.23,328.96,569.86,751.1,948.74,0,0
15,1732415639799,3,READ,500,2177.02,25.2,341.07,282.88,548.35,1145.86,2177.02,0,0
16,1732415640301,0,READ,501,776.7,20.54,114.43,25.61,491.01,642.05,692.22,0,0
17,1732415640301,1,READ,498,3244.03,22.69,506.54,496.13,616.96,908.8,3244.03,0,0
18,1732415640301,2,READ,501,954.88,23.89,396.02,377.86,590.85,719.36,912.89,0,0
19,1732415640301,3,READ,500,1661.95,24.5,330.54,278.78,521.98,859.13,1661.95,0,0
20,1732415640803,0,READ,501,765.44,19.71,91.57,23.28,444.16,619.01,764.93,0,0
21,1732415640803,1,READ,500,2404.35,24.86,507.88,501.76,613.38,868.86,2404.35,0,0
22,1732415640803,2,READ,500,1269.76,24.4,398.36,374.53,588.8,886.78,1269.76,0,0
23,1732415640803,3,READ,502,1152.0,24.78,326.63,271.87,528.38,784.89,1033.73,0,0
24,1732415641304,0,READ,502,1010.17,19.38,82.25,22.94,418.05,605.7,684.54,0,0
25,1732415641304,1,READ,501,1015.29,23.76,482.54,480.51,596.99,819.2,952.83,0,0
26,1732415641304,2,READ,499,2539.52,24.34,382.4,358.91,557.57,738.82,2539.52,0,0
27,1732415641304,3,READ,500,2551.81,24.06,304.93,266.75,487.94,641.02,2551.81,0,0
28,1732415641806,0,READ,501,1165.31,19.22,64.96,22.77,26.69,567.81,754.69,0,0
