,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732414810913,0,READ,404,4575.23,21.25,444.07,441.09,768.51,2078.72,4575.23,0,0
1,1732414810913,1,READ,400,4694.02,25.65,567.08,499.45,648.19,2816.0,4694.02,0,0
2,1732414810913,2,READ,404,3670.01,25.9,463.42,354.3,628.74,2197.5,3670.01,0,0
3,1732414810913,3,READ,403,3426.3,26.98,395.89,297.21,507.39,2697.22,3426.3,0,0
4,1732414811415,0,READ,498,2633.73,20.43,188.66,25.41,561.66,1166.34,2633.73,0,0
5,1732414811415,1,READ,493,4898.81,25.9,520.15,494.85,620.03,982.01,4898.81,0,0
6,1732414811415,2,READ,494,6336.51,25.68,418.96,323.58,590.34,838.14,6336.51,0,0
7,1732414811415,3,READ,502,876.03,27.5,327.07,298.75,453.12,694.27,863.74,0,0
8,1732414811917,0,READ,499,2103.3,20.99,112.07,26.3,448.77,1037.31,2103.3,0,0
9,1732414811917,1,READ,493,3930.11,26.03,525.84,500.99,630.78,1000.96,3930.11,0,0
10,1732414811917,2,READ,503,1030.14,25.66,396.08,323.07,603.13,766.98,1002.5,0,0
11,1732414811917,3,READ,504,1013.76,25.87,330.94,295.68,487.68,771.58,864.25,0,0
12,1732414812422,0,READ,501,3520.51,21.78,78.58,26.21,56.8,707.58,1419.26,0,0
13,1732414812422,1,READ,503,1713.15,26.69,498.64,495.87,599.55,814.08,979.46,0,0
14,1732414812422,2,READ,501,2228.22,26.69,397.44,383.49,577.53,764.41,799.74,0,0
15,1732414812422,3,READ,501,1735.68,27.84,310.26,283.65,405.76,642.56,769.02,0,0
16,1732414812923,0,READ,501,1013.25,20.94,63.21,24.78,43.42,612.35,934.4,0,0
17,1732414812923,1,READ,501,1342.46,24.51,495.65,487.94,601.6,872.96,1313.79,0,0
18,1732414812923,2,READ,499,2811.9,25.2,408.09,386.05,594.94,954.88,2811.9,0,0
19,1732414812923,3,READ,502,868.35,27.52,316.09,282.37,472.83,721.92,797.7,0,0
20,1732414813425,0,READ,501,1142.78,20.11,52.22,24.02,38.72,559.62,954.88,0,0
21,1732414813425,1,READ,500,2078.72,23.18,502.99,493.57,608.25,804.86,2078.72,0,0
22,1732414813425,2,READ,493,4878.34,24.59,407.27,369.92,573.95,806.4,4878.34,0,0
23,1732414813425,3,READ,501,900.61,26.61,315.63,285.18,448.77,619.52,873.47,0,0
24,1732414813927,0,READ,501,1859.58,20.48,38.67,23.71,34.85,453.89,579.07,0,0
25,1732414813927,1,READ,501,1068.03,23.81,490.12,492.29,600.06,747.52,945.66,0,0
26,1732414813927,2,READ,501,1456.13,24.72,410.15,410.37,585.22,812.54,954.88,0,0
27,1732414813927,3,READ,501,1039.36,25.65,317.2,282.62,473.6,654.34,824.32,0,0
28,1732414814428,0,READ,501,591.36,20.16,28.76,23.41,33.47,276.48,523.77,0,0
29,1732414814428,1,READ,499,2314.24,23.57,491.63,491.52,591.36,796.67,2314.24,0,0
30,1732414814428,2,READ,500,2320.38,25.18,395.35,376.32,576.0,739.33,2320.38,0,0
31,1732414814428,3,READ,500,2224.13,24.0,315.46,276.22,485.63,789.5,2224.13,0,0
32,1732414814930,0,READ,501,1304.58,20.14,35.44,23.93,35.45,338.43,628.22,0,0
33,1732414814930,1,READ,496,6619.14,24.4,506.94,485.63,612.35,863.74,6619.14,0,0
34,1732414814930,2,READ,500,2494.46,23.98,410.52,418.81,578.56,771.58,2494.46,0,0
35,1732414814930,3,READ,499,2994.18,24.37,315.97,277.25,465.92,672.77,2994.18,0,0
36,1732414815432,0,READ,502,667.65,20.05,32.23,25.47,35.74,276.22,623.1,0,0
37,1732414815432,1,READ,495,6696.96,25.07,514.68,497.92,611.33,815.62,6696.96,0,0
38,1732414815432,2,READ,502,931.84,26.72,417.33,435.97,587.26,731.13,837.63,0,0
39,1732414815432,3,READ,503,2269.18,25.38,337.16,288.51,547.33,690.69,771.58,0,0
40,1732414815936,0,READ,505,542.72,19.89,26.92,24.53,30.8,43.77,60.58,0,0
41,1732414815936,1,READ,504,1453.06,25.6,490.92,481.28,606.72,811.01,981.5,0,0
42,1732414815936,2,READ,504,986.11,23.92,429.5,438.01,613.38,804.35,958.46,0,0
43,1732414815936,3,READ,502,886.27,25.94,322.86,284.16,516.1,688.13,772.1,0,0
