,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732145208987,0,READ,50,1784.83,139.52,211.71,167.04,226.81,1784.83,1784.83
1,1732145208987,1,READ,50,10264.58,137.47,383.32,170.5,223.36,10264.58,10264.58
2,1732145208987,2,READ,50,316.93,169.47,208.45,193.28,240.0,316.93,316.93
3,1732145208987,3,READ,50,10338.3,95.81,391.86,181.63,234.11,10338.3,10338.3
4,1732145209488,0,READ,50,257.15,138.24,175.1,163.97,231.68,257.15,257.15
5,1732145209488,1,READ,50,272.64,136.58,185.42,172.03,256.89,272.64,272.64
6,1732145209488,2,READ,50,323.07,163.58,207.28,196.22,241.66,323.07,323.07
7,1732145209488,3,READ,50,247.04,79.1,171.74,174.46,231.81,247.04,247.04
8,1732145209990,0,READ,50,239.36,11.12,164.28,160.25,194.81,239.36,239.36
9,1732145209990,1,READ,50,257.41,9.39,174.64,165.25,252.54,257.41,257.41
10,1732145209990,2,READ,50,320.51,10.47,198.11,195.58,235.65,320.51,320.51
11,1732145209990,3,READ,50,240.64,10.85,152.76,163.58,204.8,240.64,240.64
12,1732145210494,0,READ,50,231.55,5.39,151.84,153.6,177.66,231.55,231.55
13,1732145210494,1,READ,50,258.43,5.82,166.33,164.22,246.91,258.43,258.43
14,1732145210494,2,READ,51,283.65,6.48,186.86,190.72,231.94,261.25,283.65
15,1732145210494,3,READ,50,242.81,6.48,145.56,158.72,233.47,242.81,242.81
16,1732145210996,0,READ,50,227.07,5.56,154.95,159.23,194.94,227.07,227.07
17,1732145210996,1,READ,50,250.11,5.72,167.22,166.53,242.94,250.11,250.11
18,1732145210996,2,READ,50,279.3,6.72,193.95,199.04,265.73,279.3,279.3
19,1732145210996,3,READ,51,241.53,5.53,142.67,156.67,209.41,236.8,241.53
20,1732145211497,0,READ,50,269.57,6.12,161.2,160.77,209.02,269.57,269.57
21,1732145211497,1,READ,50,248.96,5.62,168.89,165.63,235.01,248.96,248.96
22,1732145211497,2,READ,50,307.45,6.36,190.72,195.46,225.66,307.45,307.45
23,1732145211497,3,READ,50,236.93,5.38,160.84,167.17,232.32,236.93,236.93
24,1732145211998,0,READ,50,273.66,6.51,157.7,166.66,193.79,273.66,273.66
25,1732145211998,1,READ,50,244.99,5.79,151.5,158.72,174.21,244.99,244.99
26,1732145211998,2,READ,50,273.15,6.79,184.05,194.69,236.54,273.15,273.15
27,1732145211998,3,READ,50,281.6,6.43,151.07,159.87,216.96,281.6,281.6
28,1732145212500,0,READ,50,270.85,5.34,139.66,167.17,197.76,270.85,270.85
29,1732145212500,1,READ,50,262.65,4.99,146.87,167.68,240.64,262.65,262.65
30,1732145212500,2,READ,50,321.02,5.01,168.9,196.35,265.21,321.02,321.02
31,1732145212500,3,READ,50,240.0,4.42,134.93,161.15,215.04,240.0,240.0
32,1732145213001,0,READ,50,208.9,7.36,150.34,154.75,190.85,208.9,208.9
33,1732145213001,1,READ,50,243.58,7.01,162.57,166.66,220.93,243.58,243.58
34,1732145213001,2,READ,50,268.03,6.96,193.33,200.45,246.91,268.03,268.03
35,1732145213001,3,READ,50,269.06,6.25,162.26,162.81,212.61,269.06,269.06
36,1732145213505,0,READ,51,257.92,4.26,139.87,155.39,179.71,254.85,257.92
37,1732145213505,1,READ,51,245.25,5.16,142.72,158.21,218.62,235.65,245.25
38,1732145213505,2,READ,51,267.52,4.7,166.5,189.18,227.97,264.45,267.52
39,1732145213505,3,READ,51,277.76,5.14,143.82,162.3,192.9,250.62,277.76
40,1732145214007,0,READ,50,219.39,4.79,124.69,153.34,193.53,219.39,219.39
41,1732145214007,1,READ,50,239.62,5.3,137.6,163.46,229.89,239.62,239.62
42,1732145214007,2,READ,50,312.06,5.73,164.33,187.26,261.38,312.06,312.06
43,1732145214007,3,READ,50,264.19,5.25,142.88,162.81,224.25,264.19,264.19
44,1732145214508,0,READ,50,254.59,5.58,144.04,157.57,176.51,254.59,254.59
45,1732145214508,1,READ,50,284.42,5.1,145.31,161.92,178.81,284.42,284.42
46,1732145214508,2,READ,50,264.19,5.66,166.48,185.47,219.52,264.19,264.19
47,1732145214508,3,READ,50,208.13,4.96,135.56,155.13,170.11,208.13,208.13
48,1732145215009,0,READ,50,250.37,5.83,153.94,162.05,218.62,250.37,250.37
49,1732145215009,1,READ,50,238.85,5.25,151.17,162.69,185.6,238.85,238.85
50,1732145215009,2,READ,50,264.19,6.42,175.1,188.93,251.78,264.19,264.19
51,1732145215009,3,READ,50,238.59,5.5,146.77,155.9,200.19,238.59,238.59
52,1732145215510,0,READ,50,273.66,5.7,131.93,157.44,184.96,273.66,273.66
53,1732145215510,1,READ,50,222.08,5.26,128.67,157.44,173.18,222.08,222.08
54,1732145215510,2,READ,50,253.69,6.72,151.41,182.91,245.63,253.69,253.69
55,1732145215510,3,READ,50,263.42,6.42,138.36,159.36,209.28,263.42,263.42
56,1732145216015,0,READ,51,315.65,6.02,163.19,164.09,242.81,249.34,315.65
57,1732145216015,1,READ,51,237.69,4.91,151.81,157.31,206.85,226.69,237.69
58,1732145216015,2,READ,51,315.13,6.45,183.85,194.18,245.38,304.64,315.13
59,1732145216015,3,READ,50,238.72,5.85,153.45,156.16,196.48,238.72,238.72
60,1732145216516,0,READ,50,184.57,5.26,127.9,151.04,166.78,184.57,184.57
61,1732145216516,1,READ,50,218.62,4.81,134.51,154.88,171.52,218.62,218.62
62,1732145216516,2,READ,50,270.59,6.18,157.59,182.78,206.97,270.59,270.59
63,1732145216516,3,READ,51,253.82,4.75,132.41,155.13,168.45,247.55,253.82
64,1732145217017,0,READ,50,243.71,6.25,147.05,160.77,236.93,243.71,243.71
65,1732145217017,1,READ,50,282.88,6.57,150.38,162.43,234.5,282.88,282.88
66,1732145217017,2,READ,50,316.16,6.61,170.29,194.43,243.84,316.16,316.16
67,1732145217017,3,READ,50,258.3,5.83,141.44,160.64,176.9,258.3,258.3
68,1732145217519,0,READ,50,239.62,5.15,131.0,158.72,227.58,239.62,239.62
69,1732145217519,1,READ,50,222.46,4.9,126.38,154.5,201.47,222.46,222.46
70,1732145217519,2,READ,50,302.59,5.92,160.06,192.38,241.79,302.59,302.59
71,1732145217519,3,READ,50,246.91,5.38,135.73,161.79,245.12,246.91,246.91
72,1732145218020,0,READ,50,308.99,5.02,141.34,162.94,229.63,308.99,308.99
73,1732145218020,1,READ,50,263.17,4.4,137.14,156.29,201.85,263.17,263.17
74,1732145218020,2,READ,50,299.52,5.0,160.97,189.18,236.29,299.52,299.52
75,1732145218020,3,READ,50,250.62,4.24,133.53,155.52,185.22,250.62,250.62
76,1732145218521,0,READ,50,236.29,6.03,131.23,155.13,197.76,236.29,236.29
77,1732145218521,1,READ,50,260.61,5.14,130.83,156.03,197.25,260.61,260.61
78,1732145218521,2,READ,50,285.69,6.4,159.49,191.23,234.88,285.69,285.69
79,1732145218521,3,READ,50,242.3,5.24,133.21,160.38,200.96,242.3,242.3
80,1732145219022,0,READ,50,231.68,6.38,125.1,152.96,190.34,231.68,231.68
81,1732145219022,1,READ,50,260.74,6.54,139.52,164.99,236.54,260.74,260.74
82,1732145219022,2,READ,50,297.47,6.48,155.42,190.34,235.13,297.47,297.47
83,1732145219022,3,READ,50,250.24,5.51,135.69,161.79,213.38,250.24,250.24
84,1732145219526,0,READ,51,269.06,5.45,126.97,153.85,201.22,246.78,269.06
85,1732145219526,1,READ,51,259.84,5.65,140.23,165.25,248.57,251.01,259.84
86,1732145219526,2,READ,50,281.09,6.06,153.72,189.18,230.27,281.09,281.09
87,1732145219526,3,READ,51,236.03,5.34,132.26,163.2,195.58,235.65,236.03
88,1732145220027,0,READ,50,224.9,6.05,132.11,154.24,171.01,224.9,224.9
89,1732145220027,1,READ,50,216.96,4.9,131.1,156.03,171.26,216.96,216.96
90,1732145220027,2,READ,50,329.47,4.97,165.02,187.78,225.79,329.47,329.47
91,1732145220027,3,READ,50,264.7,5.52,139.43,165.12,188.41,264.7,264.7
92,1732145220528,0,READ,50,272.89,5.22,120.91,152.83,179.33,272.89,272.89
93,1732145220528,1,READ,50,249.85,4.87,123.47,158.46,193.53,249.85,249.85
94,1732145220528,2,READ,50,311.3,5.02,149.49,192.13,225.02,311.3,311.3
95,1732145220528,3,READ,50,283.39,4.94,125.77,155.9,205.06,283.39,283.39
96,1732145221030,0,READ,50,259.33,5.69,130.95,155.52,206.34,259.33,259.33
97,1732145221030,1,READ,50,247.04,5.13,138.06,163.58,244.35,247.04,247.04
98,1732145221030,2,READ,50,270.08,5.63,158.44,193.66,243.71,270.08,270.08
99,1732145221030,3,READ,50,240.77,5.28,134.69,158.08,218.11,240.77,240.77
100,1732145221531,0,READ,50,264.7,5.42,124.83,156.03,208.9,264.7,264.7
101,1732145221531,1,READ,50,242.43,4.93,117.09,155.26,177.41,242.43,242.43
102,1732145221531,2,READ,50,273.41,4.9,146.76,191.62,256.51,273.41,273.41
103,1732145221531,3,READ,50,272.38,5.15,124.91,156.03,214.53,272.38,272.38
