,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p
0,1732145362771,0,READ,134,9052.16,141.18,3630.28,3004.41,6086.65,9027.58,9052.16
1,1732145362771,1,READ,247,551.93,5.62,201.19,179.07,270.85,412.67,551.93
2,1732145362771,2,READ,247,615.42,9.3,223.64,208.0,296.45,395.52,615.42
3,1732145362771,3,READ,248,426.5,5.98,204.28,183.29,275.97,381.18,426.5
4,1732145363272,0,READ,135,8114.18,6.49,3606.45,3018.75,6053.89,8065.02,8114.18
5,1732145363272,1,READ,251,436.22,5.15,183.62,169.73,245.25,376.32,436.22
6,1732145363272,2,READ,251,397.31,5.73,206.54,192.38,287.23,336.38,397.31
7,1732145363272,3,READ,250,370.94,5.46,198.27,173.82,264.7,353.54,370.94
8,1732145363774,0,READ,250,354.81,5.98,165.22,156.8,226.18,244.61,354.81
9,1732145363774,1,READ,251,323.07,5.55,172.22,166.4,239.62,254.97,323.07
10,1732145363774,2,READ,252,509.95,6.14,207.86,185.22,275.45,289.54,509.95
11,1732145363774,3,READ,252,490.75,5.34,205.36,200.32,252.03,302.85,490.75
12,1732145364279,0,READ,252,402.69,5.27,160.21,150.66,215.04,233.22,402.69
13,1732145364279,1,READ,252,239.49,5.46,166.44,161.15,219.65,235.26,239.49
14,1732145364279,2,READ,251,353.02,6.46,207.67,190.34,263.68,274.18,353.02
15,1732145364279,3,READ,251,323.07,5.78,214.33,229.76,237.95,278.53,323.07
16,1732145364780,0,READ,250,253.31,5.21,149.17,147.46,197.63,214.91,253.31
17,1732145364780,1,READ,250,278.27,5.63,163.79,161.53,211.71,270.85,278.27
18,1732145364780,2,READ,251,336.89,6.7,199.12,182.4,250.24,259.2,336.89
19,1732145364780,3,READ,251,316.42,5.5,200.77,212.74,224.9,268.29,316.42
20,1732145365281,0,READ,251,284.16,5.23,152.55,150.01,184.06,248.57,284.16
21,1732145365281,1,READ,251,265.21,5.71,166.31,162.81,204.54,264.19,265.21
22,1732145365281,2,READ,251,330.24,6.38,197.2,184.06,270.85,293.38,330.24
23,1732145365281,3,READ,251,359.94,5.44,192.57,203.26,224.13,304.64,359.94
24,1732145365783,0,READ,251,333.31,5.95,155.76,154.75,220.8,240.64,333.31
25,1732145365783,1,READ,251,294.91,5.71,163.84,166.78,238.08,255.62,294.91
26,1732145365783,2,READ,250,318.72,6.32,169.87,169.85,228.09,285.18,318.72
27,1732145365783,3,READ,250,314.88,6.06,188.31,209.66,249.22,275.97,314.88
28,1732145366284,0,READ,250,266.75,5.14,141.64,148.09,206.46,220.8,266.75
29,1732145366284,1,READ,251,278.01,5.18,162.01,163.84,225.28,237.82,278.01
30,1732145366284,2,READ,251,308.48,5.75,177.58,170.62,254.21,298.24,308.48
31,1732145366284,3,READ,250,308.74,5.32,188.28,196.09,207.74,299.52,308.74
32,1732145366786,0,READ,251,277.76,5.13,150.27,149.89,202.24,256.25,277.76
33,1732145366786,1,READ,251,332.8,5.62,171.18,167.81,238.08,307.2,332.8
34,1732145366786,2,READ,251,332.54,6.06,168.1,168.06,253.31,296.7,332.54
35,1732145366786,3,READ,252,464.89,5.26,161.67,180.22,200.32,259.58,464.89
36,1732145367290,0,READ,252,493.82,5.25,151.39,154.88,219.9,248.06,493.82
37,1732145367290,1,READ,252,329.47,4.73,192.74,218.37,234.62,299.01,329.47
38,1732145367290,2,READ,251,313.6,5.24,180.52,174.08,249.09,294.4,313.6
39,1732145367290,3,READ,251,273.66,5.1,159.16,166.53,220.41,252.54,273.66
40,1732145367792,0,READ,251,235.78,5.08,142.31,149.5,215.42,234.88,235.78
41,1732145367792,1,READ,250,313.6,5.2,174.7,199.94,252.54,313.34,313.6
42,1732145367792,2,READ,250,337.41,5.17,168.78,168.57,234.88,278.53,337.41
43,1732145367792,3,READ,251,288.51,4.9,151.87,161.15,204.41,260.86,288.51
44,1732145368293,0,READ,251,221.31,5.26,141.11,147.33,206.08,216.45,221.31
45,1732145368293,1,READ,251,370.69,5.18,185.29,197.89,248.32,290.56,370.69
