,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732573583855,0,READ,875,1230.85,1.76,46.57,25.49,47.68,375.55,493.06,864984,10485760
1,1732573583855,1,READ,902,523.77,1.24,44.61,24.34,47.2,351.23,517.63,864984,10485760
2,1732573583855,2,READ,903,508.42,0.84,45.45,23.79,46.78,400.64,494.33,864936,10485760
3,1732573583855,3,READ,904,516.86,6.01,47.96,23.93,47.36,477.95,505.6,864936,10485760
4,1732573584357,0,READ,1003,61.15,20.85,26.05,23.77,34.56,45.57,49.57,864984,10485760
5,1732573584357,1,READ,1004,62.69,18.34,25.36,23.57,31.7,42.34,51.87,864984,10485760
6,1732573584357,2,READ,1003,56.61,18.54,24.85,23.07,31.28,42.98,50.17,864936,10485760
7,1732573584357,3,READ,1004,57.63,18.27,25.5,23.49,31.76,44.35,52.41,864936,10485760
8,1732573584859,0,READ,1000,146.56,20.37,23.99,22.73,26.56,44.0,101.95,864984,10485760
9,1732573584859,1,READ,1004,346.62,19.02,25.83,23.28,31.65,50.34,157.57,864984,10485760
10,1732573584859,2,READ,1003,409.09,20.02,26.31,23.97,31.5,47.39,350.21,864936,10485760
11,1732573584859,3,READ,1003,227.97,17.76,24.07,22.62,30.19,46.94,91.14,864936,10485760
12,1732573585361,0,READ,1003,35.94,20.29,22.95,22.56,25.2,28.99,34.66,864984,10485760
13,1732573585361,1,READ,1003,52.29,18.74,24.0,23.02,27.66,39.39,47.94,864984,10485760
14,1732573585361,2,READ,1003,50.34,20.77,24.6,23.28,29.36,41.41,49.82,864936,10485760
15,1732573585361,3,READ,1003,80.45,17.82,22.96,22.35,27.21,40.09,59.62,864936,10485760
16,1732573585863,0,READ,1002,51.26,20.53,23.91,22.56,28.62,40.58,49.98,864984,10485760
17,1732573585863,1,READ,1005,60.67,20.98,23.87,23.12,25.57,39.58,59.55,864984,10485760
18,1732573585863,2,READ,1007,49.79,20.9,25.14,23.41,31.45,41.09,49.53,864936,10485760
