,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732573646482,0,READ,875,1014.78,0.82,47.49,23.63,71.61,442.11,817.66,864952,10485760
1,1732573646482,1,READ,902,526.34,10.09,43.97,23.87,48.61,319.74,419.07,864936,10485760
2,1732573646482,2,READ,903,518.91,0.39,46.21,24.82,48.26,382.72,499.45,864952,10485760
3,1732573646482,3,READ,904,507.9,5.35,41.77,20.37,48.22,349.69,478.98,865000,10485760
4,1732573646984,0,READ,1003,46.98,18.98,24.6,22.96,30.27,41.38,46.59,864952,10485760
5,1732573646984,1,READ,1003,49.89,18.37,24.15,22.86,27.97,41.6,49.76,864936,10485760
6,1732573646984,2,READ,1003,54.24,21.39,28.32,25.63,37.98,47.33,51.65,864952,10485760
7,1732573646984,3,READ,1003,48.16,17.65,20.73,19.6,23.38,39.97,46.81,865000,10485760
8,1732573647485,0,READ,1000,234.62,18.38,25.08,22.91,30.86,45.82,126.14,864952,10485760
9,1732573647485,1,READ,1003,317.69,18.03,25.04,22.93,31.14,45.57,313.34,864936,10485760
10,1732573647485,2,READ,1003,289.28,18.13,26.35,23.55,34.17,47.39,180.48,864952,10485760
11,1732573647485,3,READ,1003,293.63,17.68,23.42,21.82,29.76,47.87,232.96,865000,10485760
12,1732573647987,0,READ,1003,49.38,19.26,24.07,22.66,28.43,43.23,47.45,864952,10485760
13,1732573647987,1,READ,1004,51.26,17.66,24.14,22.93,30.22,42.88,49.76,864936,10485760
14,1732573647987,2,READ,1003,56.13,17.71,21.72,20.19,25.39,40.09,50.66,864952,10485760
15,1732573647987,3,READ,1003,50.05,17.63,24.26,23.28,29.33,39.74,47.04,865000,10485760
16,1732573648489,0,READ,1003,48.26,20.45,24.77,23.39,29.38,39.84,44.93,864952,10485760
17,1732573648489,1,READ,1005,57.73,18.58,26.09,24.45,32.05,45.57,51.87,864936,10485760
18,1732573648489,2,READ,1006,53.79,17.34,20.04,19.28,22.08,30.09,41.25,864952,10485760
19,1732573648489,3,READ,1007,53.28,20.64,25.36,23.79,30.51,41.98,50.46,865000,10485760
20,1732573648994,0,READ,1009,54.49,20.48,24.74,23.63,29.1,39.04,44.38,864952,10485760
21,1732573648994,1,READ,1008,63.81,18.86,25.24,23.54,30.27,42.88,51.07,864936,10485760
22,1732573648994,2,READ,1006,57.02,17.41,21.61,19.84,26.98,39.58,50.56,864952,10485760
23,1732573648994,3,READ,1004,52.19,21.17,24.92,23.5,29.6,44.09,49.82,865000,10485760
24,1732573649496,0,READ,1003,53.28,20.53,24.81,23.86,28.51,38.78,52.22,864952,10485760
25,1732573649496,1,READ,1003,62.72,17.82,25.42,23.52,31.02,44.26,54.88,864936,10485760
26,1732573649496,2,READ,1003,58.53,17.74,21.64,20.03,25.84,41.5,57.18,864952,10485760
27,1732573649496,3,READ,1003,58.94,17.97,24.47,23.33,28.03,42.81,53.02,865000,10485760
28,1732573649998,0,READ,1003,43.65,20.32,24.83,23.5,29.89,38.46,43.62,864952,10485760
29,1732573649998,1,READ,1003,50.46,18.24,25.0,23.5,29.77,40.45,47.42,864936,10485760
30,1732573649998,2,READ,1003,68.8,17.92,24.76,23.21,29.52,41.63,49.66,864952,10485760
31,1732573649998,3,READ,1003,51.55,18.08,24.67,23.18,29.02,40.9,50.34,865000,10485760
32,1732573650499,0,READ,1003,126.14,20.96,27.75,26.18,33.28,49.05,79.3,864952,10485760
33,1732573650499,1,READ,1003,83.26,18.13,24.76,23.1,29.36,42.91,74.5,864936,10485760
34,1732573650499,2,READ,1003,76.67,18.64,24.77,23.07,29.57,46.72,62.53,864952,10485760
35,1732573650499,3,READ,1002,112.7,19.2,24.66,23.05,29.54,41.25,51.3,865000,10485760
36,1732573651002,0,READ,1004,52.99,20.48,26.58,25.38,33.15,44.09,50.56,864952,10485760
37,1732573651002,1,READ,1004,55.3,18.59,24.54,23.01,30.0,43.2,50.14,864936,10485760
38,1732573651002,2,READ,1004,47.68,18.13,24.35,22.98,28.37,42.3,46.08,864952,10485760
39,1732573651002,3,READ,1004,46.98,18.48,24.32,22.94,28.78,41.15,46.46,865000,10485760
40,1732573651503,0,READ,1002,50.75,20.59,26.22,25.39,31.65,41.76,46.08,864952,10485760
41,1732573651503,1,READ,1003,47.84,18.22,23.93,22.91,26.43,42.4,46.85,864936,10485760
42,1732573651503,2,READ,1003,48.35,18.62,23.85,22.91,26.51,39.2,47.07,864952,10485760
43,1732573651503,3,READ,1003,50.62,17.76,23.82,22.98,26.21,37.18,46.85,865000,10485760
44,1732573652005,0,READ,1003,50.24,20.82,26.91,26.08,32.34,44.29,49.47,864952,10485760
45,1732573652005,1,READ,1003,62.05,20.08,24.24,23.2,27.39,39.74,52.35,864936,10485760
46,1732573652005,2,READ,1003,64.8,19.04,24.58,23.41,29.26,37.5,51.77,864952,10485760
47,1732573652005,3,READ,1003,47.9,17.71,22.75,22.34,27.76,39.07,47.17,865000,10485760
48,1732573652507,0,READ,1003,62.62,20.88,26.18,25.04,31.71,44.29,52.06,864952,10485760
49,1732573652507,1,READ,1004,47.77,18.21,23.98,23.17,28.14,36.41,46.91,864936,10485760
50,1732573652507,2,READ,1007,45.82,17.81,23.7,22.94,28.25,36.19,44.48,864952,10485760
51,1732573652507,3,READ,1008,154.11,17.7,23.16,21.87,29.87,42.91,59.1,865000,10485760
52,1732573653011,0,READ,1008,57.38,19.79,26.98,24.64,35.84,44.54,50.46,864952,10485760
53,1732573653011,1,READ,1007,53.98,18.85,23.92,22.85,27.44,37.92,47.97,864936,10485760
54,1732573653011,2,READ,1005,47.39,18.66,23.62,22.75,25.58,39.26,45.15,864952,10485760
55,1732573653011,3,READ,1004,49.79,17.65,22.89,22.38,26.88,39.42,48.19,865000,10485760
56,1732573653513,0,READ,1003,53.02,20.42,26.35,25.12,32.09,46.91,51.1,864952,10485760
57,1732573653513,1,READ,1003,43.94,17.94,23.5,23.14,26.89,33.02,42.88,864936,10485760
58,1732573653513,2,READ,1003,38.59,18.1,23.71,23.09,26.54,33.89,38.43,864952,10485760
59,1732573653513,3,READ,1003,48.09,20.5,23.5,22.83,24.94,38.17,46.98,865000,10485760
60,1732573654015,0,READ,1003,52.73,19.52,26.76,25.41,32.86,45.25,50.72,864952,10485760
61,1732573654015,1,READ,1003,49.05,17.86,24.6,23.14,31.45,41.7,47.3,864936,10485760
62,1732573654015,2,READ,1003,47.36,20.62,23.27,22.67,25.73,34.46,45.82,864952,10485760
63,1732573654015,3,READ,1003,49.6,17.86,23.5,22.73,27.61,39.04,48.83,865000,10485760
64,1732573654517,0,READ,1002,50.11,18.29,25.67,23.33,32.93,44.32,49.28,864952,10485760
65,1732573654517,1,READ,1004,64.67,18.3,25.77,24.06,34.78,45.95,56.86,864936,10485760
66,1732573654517,2,READ,1003,52.35,20.74,23.78,22.93,26.05,40.41,50.27,864952,10485760
67,1732573654517,3,READ,1003,45.22,20.61,22.86,22.64,24.08,26.78,38.91,865000,10485760
68,1732573655019,0,READ,1003,49.47,20.43,23.08,22.38,25.33,33.92,41.41,864952,10485760
69,1732573655019,1,READ,1003,54.53,17.84,28.23,26.69,36.13,47.1,54.49,864936,10485760
70,1732573655019,2,READ,1003,47.77,20.43,23.49,22.78,24.66,38.91,47.62,864952,10485760
71,1732573655019,3,READ,1003,54.56,20.51,23.55,22.82,25.7,34.27,45.79,865000,10485760
72,1732573655520,0,READ,1002,50.72,18.51,24.27,22.73,29.61,40.8,50.3,864952,10485760
73,1732573655520,1,READ,1003,51.62,18.7,26.98,26.02,33.73,44.45,51.36,864936,10485760
74,1732573655520,2,READ,1003,46.75,20.74,22.97,22.61,24.29,32.93,42.98,864952,10485760
75,1732573655520,3,READ,1003,41.18,20.59,23.0,22.77,24.27,27.66,40.09,865000,10485760
76,1732573656022,0,READ,1003,54.56,17.76,25.92,24.73,32.34,42.3,50.53,864952,10485760
77,1732573656022,1,READ,1003,52.54,18.54,25.28,23.73,30.38,40.35,52.13,864936,10485760
78,1732573656022,2,READ,1003,35.94,20.54,23.45,22.91,25.55,32.26,35.68,864952,10485760
79,1732573656022,3,READ,1004,48.29,20.69,23.37,22.86,25.18,34.24,43.07,865000,10485760
80,1732573656524,0,READ,1003,48.67,17.98,24.48,23.01,30.13,39.13,48.16,864952,10485760
81,1732573656524,1,READ,1003,52.58,21.02,26.48,25.5,32.72,46.02,51.58,864936,10485760
82,1732573656524,2,READ,1002,48.7,20.88,24.19,23.23,27.42,38.69,48.51,864952,10485760
83,1732573656524,3,READ,1003,50.56,17.26,21.89,21.9,24.78,35.87,46.34,865000,10485760
84,1732573657026,0,READ,1003,64.13,19.82,24.25,23.15,27.98,35.74,43.65,864952,10485760
85,1732573657026,1,READ,1003,51.94,18.77,27.63,25.97,35.2,46.49,50.85,864936,10485760
86,1732573657026,2,READ,1003,48.03,20.86,23.45,22.89,25.9,31.7,41.47,864952,10485760
87,1732573657026,3,READ,1002,40.45,17.68,21.89,22.29,24.62,29.09,37.82,865000,10485760
88,1732573657528,0,READ,1003,53.25,20.59,25.42,23.73,31.34,41.66,53.22,864952,10485760
89,1732573657528,1,READ,1003,52.06,20.8,26.62,25.23,33.05,43.62,51.13,864936,10485760
90,1732573657528,2,READ,1003,49.25,21.02,23.48,22.82,25.25,35.3,44.99,864952,10485760
91,1732573657528,3,READ,1003,48.32,18.77,24.07,23.01,27.81,37.79,47.81,865000,10485760
92,1732573658029,0,READ,1003,96.32,20.34,23.85,22.83,26.43,41.25,78.59,864952,10485760
93,1732573658029,1,READ,1003,75.14,20.69,26.39,24.89,32.99,44.06,58.75,864936,10485760
94,1732573658029,2,READ,1003,199.04,17.76,22.84,22.35,25.61,41.18,69.31,864952,10485760
95,1732573658029,3,READ,1003,95.87,20.27,25.29,23.77,30.16,40.73,66.62,865000,10485760
96,1732573658532,0,READ,1005,49.82,20.53,24.33,22.8,28.91,40.51,49.28,864952,10485760
97,1732573658532,1,READ,1005,51.68,20.59,25.77,23.38,32.99,47.13,51.68,864936,10485760
98,1732573658532,2,READ,1006,48.9,17.68,20.91,19.74,23.71,36.32,41.7,864952,10485760
99,1732573658532,3,READ,1004,49.57,21.01,24.81,23.31,30.38,41.12,47.01,865000,10485760
100,1732573659034,0,READ,1003,49.76,20.4,24.87,22.73,31.89,41.44,48.73,864952,10485760
101,1732573659034,1,READ,1002,50.66,20.11,25.49,23.61,32.72,45.22,50.27,864936,10485760
102,1732573659034,2,READ,1003,54.46,17.55,23.09,22.24,29.33,40.35,48.06,864952,10485760
103,1732573659034,3,READ,1003,46.14,17.98,23.91,22.85,27.25,41.79,45.34,865000,10485760
104,1732573659536,0,READ,1003,49.57,20.59,24.36,22.77,29.34,43.81,49.38,864952,10485760
105,1732573659536,1,READ,1003,50.4,20.26,24.19,23.17,28.29,36.7,47.84,864936,10485760
106,1732573659536,2,READ,1003,60.16,18.34,26.2,23.58,34.78,45.66,58.56,864952,10485760
107,1732573659536,3,READ,1003,47.07,17.86,22.46,22.21,25.71,35.1,45.92,865000,10485760
108,1732573660038,0,READ,1003,48.38,20.83,25.17,23.66,31.17,37.82,47.1,864952,10485760
109,1732573660038,1,READ,1003,52.06,18.99,24.49,23.45,27.57,42.08,51.87,864936,10485760
110,1732573660038,2,READ,1003,52.35,18.72,26.48,23.6,35.42,46.34,50.88,864952,10485760
