,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732573773783,0,READ,881,1016.32,0.21,86.22,27.6,429.06,499.97,510.98,0,0
1,1732573773783,1,READ,908,516.61,0.01,77.91,23.49,438.53,502.53,511.49,0,0
2,1732573773783,2,READ,908,515.84,0.46,81.9,27.49,453.63,499.45,512.0,0,0
3,1732573773783,3,READ,908,516.1,0.25,99.25,26.57,477.18,501.5,508.42,0,0
4,1732573774286,0,READ,1005,500.74,13.79,32.25,24.98,32.8,148.35,499.45,0,0
5,1732573774286,1,READ,1006,505.6,0.02,25.48,19.87,25.34,151.42,488.96,0,0
6,1732573774286,2,READ,1006,487.17,0.85,28.05,24.06,31.26,117.12,290.81,0,0
7,1732573774286,3,READ,1006,496.64,0.08,29.32,23.74,31.33,79.17,495.87,0,0
8,1732573774789,0,READ,1002,158.85,20.74,26.16,24.75,30.02,49.6,140.8,0,0
9,1732573774789,1,READ,1004,366.08,18.74,27.19,25.68,30.35,54.75,259.71,0,0
10,1732573774789,2,READ,1004,361.73,21.58,27.45,25.76,30.66,49.34,266.24,0,0
11,1732573774789,3,READ,1004,135.04,3.22,26.77,25.76,30.91,48.9,114.24,0,0
12,1732573775291,0,READ,1003,58.43,19.58,24.81,23.58,28.66,38.27,48.16,0,0
13,1732573775291,1,READ,1003,52.41,18.66,23.94,23.1,28.03,39.01,48.99,0,0
14,1732573775291,2,READ,1004,50.3,19.41,24.73,23.42,28.69,39.36,50.27,0,0
15,1732573775291,3,READ,1004,52.48,19.04,24.54,23.45,28.43,37.18,52.06,0,0
16,1732573775793,0,READ,1004,51.65,19.2,24.78,23.44,28.98,38.75,48.41,0,0
17,1732573775793,1,READ,1006,53.44,18.88,25.2,23.71,29.47,45.02,52.03,0,0
18,1732573775793,2,READ,1008,58.3,19.49,25.15,23.66,29.26,38.81,51.68,0,0
19,1732573775793,3,READ,1010,59.39,19.66,25.27,23.57,29.77,42.49,50.43,0,0
20,1732573776299,0,READ,1011,50.91,19.39,24.67,23.3,28.72,41.44,49.38,0,0
21,1732573776299,1,READ,1009,61.12,18.96,25.25,23.71,29.36,45.15,59.39,0,0
22,1732573776299,2,READ,1007,55.58,18.66,24.3,23.45,28.54,37.73,48.73,0,0
23,1732573776299,3,READ,1005,49.85,19.14,24.79,23.65,28.66,39.2,48.29,0,0
24,1732573776802,0,READ,1004,80.51,18.91,26.07,25.01,31.01,42.27,53.47,0,0
25,1732573776802,1,READ,1004,100.16,21.07,25.69,25.09,28.98,41.25,52.16,0,0
26,1732573776802,2,READ,1003,58.11,21.14,26.25,25.21,31.01,44.29,55.39,0,0
27,1732573776802,3,READ,1004,123.65,19.97,25.62,24.93,29.07,43.58,53.92,0,0
28,1732573777305,0,READ,1006,60.06,19.42,25.35,23.84,31.42,39.68,58.11,0,0
29,1732573777305,1,READ,1006,37.09,21.38,24.44,23.98,27.2,30.16,37.05,0,0
30,1732573777305,2,READ,1006,80.58,21.2,25.62,23.86,29.7,49.31,63.1,0,0
31,1732573777305,3,READ,1006,41.28,21.71,24.49,23.77,27.44,31.66,41.12,0,0
32,1732573777808,0,READ,1004,51.07,18.72,24.93,24.25,28.89,36.96,49.7,0,0
33,1732573777808,1,READ,1006,45.92,19.09,24.98,23.9,28.82,34.53,41.63,0,0
34,1732573777808,2,READ,1007,50.08,20.98,24.64,23.52,28.69,42.94,49.92,0,0
35,1732573777808,3,READ,1010,50.4,19.7,24.26,23.45,27.31,32.35,44.99,0,0
36,1732573778313,0,READ,1008,47.13,20.93,24.77,23.68,28.82,40.38,46.24,0,0
37,1732573778313,1,READ,1007,52.67,18.37,24.99,24.24,29.87,39.13,52.61,0,0
38,1732573778313,2,READ,1005,51.97,21.02,23.94,23.12,25.98,38.53,51.55,0,0
39,1732573778313,3,READ,1004,58.85,18.69,25.06,23.7,29.79,45.34,58.66,0,0
40,1732573778815,0,READ,1004,52.06,21.01,24.03,23.18,26.88,35.84,49.09,0,0
41,1732573778815,1,READ,1003,57.05,18.59,24.0,23.07,29.12,36.9,55.33,0,0
42,1732573778815,2,READ,1004,51.33,21.12,25.35,23.82,30.09,41.66,50.72,0,0
43,1732573778815,3,READ,1004,38.75,18.05,21.88,20.48,26.4,30.5,32.66,0,0
44,1732573779317,0,READ,1002,142.34,20.93,25.01,24.22,27.5,46.4,102.14,0,0
45,1732573779317,1,READ,1004,144.25,18.48,26.18,24.25,31.84,48.45,87.3,0,0
46,1732573779317,2,READ,1004,74.37,21.55,26.77,26.08,30.8,48.8,53.31,0,0
47,1732573779317,3,READ,1006,103.87,18.53,22.72,22.13,26.75,42.14,81.92,0,0
48,1732573779821,0,READ,1007,42.34,21.04,24.2,23.68,26.82,31.07,35.33,0,0
49,1732573779821,1,READ,1007,152.06,19.02,26.58,24.94,31.73,47.26,56.45,0,0
50,1732573779821,2,READ,1007,54.37,21.57,27.21,26.82,31.38,38.78,50.72,0,0
51,1732573779821,3,READ,1005,62.69,19.28,25.01,24.16,28.82,36.06,55.55,0,0
52,1732573780324,0,READ,1003,95.36,21.28,24.07,23.14,26.82,34.56,40.86,0,0
53,1732573780324,1,READ,1003,60.0,18.48,25.93,25.23,30.72,42.17,52.13,0,0
54,1732573780324,2,READ,1004,43.45,20.99,24.21,23.33,27.61,31.87,40.86,0,0
55,1732573780324,3,READ,1004,53.66,18.64,24.34,23.39,27.92,38.4,52.99,0,0
56,1732573780826,0,READ,1004,35.55,18.94,23.7,23.15,26.22,29.36,34.4,0,0
57,1732573780826,1,READ,1004,56.61,21.42,24.32,23.36,27.38,35.94,56.22,0,0
58,1732573780826,2,READ,1005,56.8,19.06,25.57,24.77,29.79,39.07,53.6,0,0
59,1732573780826,3,READ,1003,55.49,19.34,25.34,24.03,29.12,41.53,53.76,0,0
60,1732573781329,0,READ,1004,51.1,17.87,22.74,22.24,27.89,39.58,46.24,0,0
61,1732573781329,1,READ,1006,54.3,18.43,24.63,24.02,29.17,39.49,50.94,0,0
62,1732573781329,2,READ,1008,62.17,18.29,23.78,22.86,28.62,39.81,48.09,0,0
63,1732573781329,3,READ,1007,51.26,21.18,24.89,23.97,27.95,39.9,47.81,0,0
64,1732573781833,0,READ,1007,36.09,18.18,20.64,19.79,23.9,29.18,34.78,0,0
65,1732573781833,1,READ,1006,42.75,18.54,24.55,23.95,29.57,37.6,42.53,0,0
66,1732573781833,2,READ,1004,52.83,18.11,22.19,21.86,25.79,30.96,48.19,0,0
67,1732573781833,3,READ,1004,50.75,21.1,25.01,23.87,28.27,40.32,49.57,0,0
68,1732573782335,0,READ,1004,50.94,18.59,24.57,24.27,29.31,37.95,48.38,0,0
69,1732573782335,1,READ,1004,51.9,18.16,22.8,22.09,27.74,37.53,48.13,0,0
70,1732573782335,2,READ,1004,49.7,18.27,24.02,23.45,27.38,35.17,48.13,0,0
71,1732573782335,3,READ,1003,252.41,21.02,24.76,23.2,29.61,40.54,50.94,0,0
72,1732573782838,0,READ,1003,64.7,19.34,26.84,26.24,31.14,46.3,63.49,0,0
73,1732573782838,1,READ,1004,93.95,18.43,24.11,23.14,28.45,43.71,71.17,0,0
74,1732573782838,2,READ,1003,65.41,21.3,25.54,24.59,29.31,46.3,54.94,0,0
75,1732573782838,3,READ,1006,85.44,20.48,24.17,22.96,27.39,41.95,71.17,0,0
76,1732573783342,0,READ,1007,61.98,18.19,27.23,26.02,32.8,48.67,58.81,0,0
77,1732573783342,1,READ,1008,60.77,18.48,24.34,23.74,28.78,40.26,56.8,0,0
78,1732573783342,2,READ,1008,50.05,20.98,24.08,23.42,26.62,32.14,40.93,0,0
79,1732573783342,3,READ,1006,48.45,20.94,24.02,23.39,26.77,31.26,45.5,0,0
80,1732573783844,0,READ,1004,49.57,20.19,25.1,23.89,28.98,44.06,49.22,0,0
81,1732573783844,1,READ,1006,195.46,18.53,24.7,23.57,27.84,39.17,50.17,0,0
82,1732573783844,2,READ,1006,56.77,21.36,24.58,23.58,28.72,32.53,49.85,0,0
83,1732573783844,3,READ,1006,52.0,20.35,24.67,23.58,28.77,36.32,51.71,0,0
84,1732573784348,0,READ,1004,49.31,18.18,24.42,23.1,30.4,40.99,48.29,0,0
85,1732573784348,1,READ,1004,48.99,18.53,24.01,23.05,30.22,42.27,48.16,0,0
86,1732573784348,2,READ,1004,50.49,20.26,24.93,23.84,28.88,36.86,49.92,0,0
87,1732573784348,3,READ,1004,57.44,19.68,24.74,23.73,28.72,35.26,49.63,0,0
88,1732573784850,0,READ,1003,50.98,17.86,21.95,19.87,26.91,35.65,46.75,0,0
