,timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,cache_usage,cache_capacity
0,1732573407926,0,READ,112,3909.63,51.87,2122.48,2140.16,3303.42,3684.35,3909.63,0,0
1,1732573407926,1,READ,116,3229.7,53.86,1121.05,1046.02,1152.0,2949.12,3229.7,0,0
2,1732573407926,2,READ,903,565.25,0.3,109.64,55.13,461.06,520.19,534.53,0,0
3,1732573407926,3,READ,904,537.6,0.1,135.29,59.94,479.74,515.84,531.46,0,0
4,1732573408427,0,READ,128,3883.01,41.38,2090.96,2953.22,3233.79,3581.95,3883.01,0,0
5,1732573408427,1,READ,128,2406.4,26.99,930.69,1040.38,1104.89,1440.77,2406.4,0,0
6,1732573408427,2,READ,1004,528.89,0.25,99.88,52.99,251.26,512.25,527.36,0,0
7,1732573408427,3,READ,1005,529.41,0.09,117.41,53.82,469.25,510.98,529.41,0,0
8,1732573408930,0,READ,128,3821.57,38.27,1751.98,1139.71,3280.89,3653.63,3821.57,0,0
9,1732573408930,1,READ,128,1181.69,26.46,801.84,1036.8,1105.92,1166.34,1181.69,0,0
10,1732573408930,2,READ,1002,534.53,1.05,99.95,54.85,232.7,514.3,534.01,0,0
11,1732573408930,3,READ,1002,544.77,0.29,97.15,53.66,207.49,508.42,530.94,0,0
12,1732573409432,0,READ,129,3874.82,40.51,1747.11,1182.72,3223.55,3831.81,3874.82,0,0
13,1732573409432,1,READ,129,1152.0,26.64,857.03,1040.89,1093.63,1129.47,1152.0,0,0
14,1732573409432,2,READ,1002,535.04,0.64,98.33,48.93,324.86,507.39,533.5,0,0
15,1732573409432,3,READ,1001,579.07,0.52,106.17,48.8,454.65,510.98,556.54,0,0
16,1732573409934,0,READ,128,3600.38,35.3,1689.63,1103.87,3129.34,3457.02,3600.38,0,0
17,1732573409934,1,READ,128,1142.78,26.72,789.01,1022.98,1085.44,1116.16,1142.78,0,0
18,1732573409934,2,READ,1007,532.99,0.13,118.74,46.94,477.69,502.53,517.38,0,0
19,1732573409934,3,READ,1009,531.46,0.2,123.25,48.09,472.06,504.83,527.87,0,0
20,1732573410439,0,READ,129,3665.92,39.17,1916.22,2125.82,3248.13,3665.92,3665.92,0,0
21,1732573410439,1,READ,129,1469.44,28.48,814.16,1040.38,1164.29,1327.1,1469.44,0,0
22,1732573410439,2,READ,1008,526.34,0.29,106.61,46.56,462.59,511.74,520.96,0,0
23,1732573410439,3,READ,1006,551.42,0.29,120.26,49.34,470.27,513.53,543.74,0,0
24,1732573410941,0,READ,130,3549.18,38.37,1856.28,1464.32,3166.21,3540.99,3549.18,0,0
25,1732573410941,1,READ,129,1339.39,26.51,869.99,1023.49,1094.65,1306.62,1339.39,0,0
26,1732573410941,2,READ,1002,522.75,0.34,114.37,45.7,473.86,510.98,522.24,0,0
27,1732573410941,3,READ,1004,542.21,0.29,139.08,51.71,480.25,516.86,531.97,0,0
28,1732573411443,0,READ,128,3624.96,36.58,1917.94,2049.02,3180.54,3575.81,3624.96,0,0
29,1732573411443,1,READ,128,1541.12,26.46,902.71,1032.19,1179.65,1484.8,1541.12,0,0
30,1732573411443,2,READ,1002,530.94,0.0,117.09,45.7,476.67,509.18,522.24,0,0
31,1732573411443,3,READ,1002,553.47,0.08,143.22,49.79,476.42,517.63,543.74,0,0
32,1732573411945,0,READ,128,3899.39,32.29,1957.61,2031.62,3246.08,3723.26,3899.39,0,0
