timestamp,client_id,op_type,count,max,min,avg,50p,90p,99p,99.9p,global_cache_usage,global_cache_capacity,global_cache_hits,global_cache_misses,user_cache_usage,user_cache_reserved,user_cache_hits,user_cache_misses
1742802407210,0,READ,256,717.82,0.62,154.01,128.25,334.85,519.17,717.82,18532864,-1717986919,7,2188,2322000,322122547,0,278
1742802407210,1,READ,270,570.37,0.30,137.80,118.21,303.87,517.12,570.37,19309640,-1717986919,7,2281,2467144,322122547,0,291
1742802407210,2,READ,280,673.28,0.11,147.31,120.19,324.35,460.29,673.28,20077880,-1717986919,7,2370,2501160,322122547,0,298
1742802407210,3,READ,291,570.88,0.14,139.46,98.56,348.93,506.62,570.88,20863192,-1717986919,7,2461,2646320,322122547,0,311
1742802407210,4,READ,303,992.77,0.06,154.03,118.14,350.98,547.33,992.77,21648520,-1717986919,7,2552,2723096,322122547,0,321
1742802407210,5,READ,311,710.65,0.11,138.78,103.17,340.74,503.55,710.65,22442368,-1717986919,7,2642,2816976,322122547,0,333
1742802407210,6,READ,322,652.29,0.09,135.20,101.57,307.45,612.35,638.98,23270360,-1717986919,7,2740,2885264,322122547,0,340
1742802407210,7,READ,330,798.21,0.06,165.63,137.60,374.78,610.30,798.21,24055672,-1717986919,7,2834,2987696,322122547,0,350
1742802407210,0,QUEUE,352,57835.52,15.10,28190.67,28983.29,53411.84,59015.17,59572.220,0,0,0,0,0,0,0,0
1742802407210,1,QUEUE,367,59932.67,10.36,28735.64,29376.51,54820.86,61145.09,61440.000,0,0,0,0,0,0,0,0
1742802407210,2,QUEUE,371,61276.16,35.04,29765.66,30507.01,56688.64,62259.20,62816.250,0,0,0,0,0,0,0,0
1742802407210,3,QUEUE,391,63832.06,22.50,30689.88,31375.36,58425.34,64454.65,65503.230,0,0,0,0,0,0,0,0
1742802407210,4,QUEUE,395,64880.64,72.90,31240.22,31981.57,59637.76,66387.97,66748.410,0,0,0,0,0,0,0,0
1742802407210,5,QUEUE,407,67108.86,105.73,32919.22,33161.21,61341.69,67829.76,68812.800,0,0,0,0,0,0,0,0
1742802407210,6,QUEUE,416,69140.48,291.58,33534.53,34045.95,63766.53,70451.20,70647.810,0,0,0,0,0,0,0,0
1742802407210,7,QUEUE,424,71237.63,735.74,35247.33,35422.21,65273.86,72286.21,72876.030,0,0,0,0,0,0,0,0
1742802407342,0,READ,779,1086.46,0.17,152.61,132.61,332.54,522.24,664.58,73948608,-1717986919,15,8681,9270304,322122547,1,1089
1742802407342,1,READ,780,735.74,0.05,145.57,117.31,336.13,524.80,650.24,74793672,-1717986919,15,8781,9381304,322122547,1,1102
1742802407342,2,READ,784,683.01,0.06,150.21,121.86,325.63,519.93,584.19,75672880,-1717986919,15,8883,9466536,322122547,1,1112
1742802407342,3,READ,780,746.50,0.02,149.49,122.50,328.96,491.26,559.10,76552088,-1717986919,15,8989,9577552,322122547,1,1125
1742802407342,4,READ,783,675.33,0.02,146.42,119.81,331.26,500.22,636.93,77550800,-1717986919,15,9101,9714080,322122547,1,1141
1742802407342,5,READ,783,651.77,0.04,147.33,121.73,321.28,500.22,632.32,78438544,-1717986919,15,9204,9807976,322122547,1,1152
1742802407342,6,READ,787,664.58,0.06,135.50,115.01,301.82,501.76,582.65,79283608,-1717986919,15,9310,9910392,322122547,1,1162
1742802407342,7,READ,787,747.01,0.00,149.33,126.72,327.68,523.26,629.25,80103064,-1717986919,15,9404,9978680,322122547,1,1172
1742802407342,0,QUEUE,787,190185.47,59998.21,124433.09,126091.26,178782.21,190578.69,191627.260,0,0,0,0,0,0,0,0
1742802407342,1,QUEUE,789,191889.41,61734.91,127063.11,127926.27,180355.07,191889.41,193200.130,0,0,0,0,0,0,0,0
1742802407342,2,QUEUE,785,192937.98,63700.99,128435.33,129433.60,181927.93,193724.42,195166.210,0,0,0,0,0,0,0,0
1742802407342,3,QUEUE,789,195952.64,65961.98,130626.39,131858.43,184287.23,196476.93,197525.500,0,0,0,0,0,0,0,0
1742802407342,4,QUEUE,787,197132.29,67010.56,132177.11,133038.08,185466.88,197132.29,198443.010,0,0,0,0,0,0,0,0
1742802407342,5,QUEUE,788,198967.30,69074.94,134116.22,134873.09,187301.89,199622.65,200540.160,0,0,0,0,0,0,0,0
1742802407342,6,QUEUE,788,201195.52,70975.49,135877.30,137363.45,189792.26,201981.95,202637.310,0,0,0,0,0,0,0,0
1742802407342,7,QUEUE,790,203423.74,73007.10,137260.47,139329.54,191234.05,203948.03,205127.680,0,0,0,0,0,0,0,0
1742802407476,0,READ,807,580.10,0.52,149.78,120.00,316.93,492.54,559.10,130345960,-1717986919,51,15294,16321040,322122547,6,1912
