Timestamp,r/s,rMB/s,r_await,rareq-sz,w/s,wMB/s,w_await,wareq-sz
2025-03-24 07:46:46.870,8513.39,126.03,0.19,15.16,401.49,125.93,0.63,321.18
2025-03-24 07:46:46.870,36099.00,486.39,0.20,13.80,52.00,0.31,0.00,6.15
2025-03-24 07:46:46.870,48453.00,565.66,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,50518.00,589.59,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,50741.00,591.16,0.19,11.93,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,52101.00,608.04,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,60550.00,706.64,0.19,11.95,30.00,0.26,0.00,8.80
2025-03-24 07:46:46.870,81717.00,954.45,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85688.00,999.73,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85860.00,1002.59,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86548.00,1009.63,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87177.00,1017.20,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86144.00,1006.63,0.20,11.97,25.00,0.10,0.00,4.00
2025-03-24 07:46:46.870,86225.00,1005.93,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86196.00,1006.93,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87353.00,1019.69,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88004.00,1028.57,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88690.00,1035.87,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88361.00,1031.19,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85547.00,999.82,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,84489.00,985.58,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87191.00,1018.58,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86251.00,1006.73,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86493.00,1009.80,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86218.00,1006.34,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86503.00,1009.36,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85925.00,1004.02,0.20,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86207.00,1006.49,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86074.00,1004.65,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86404.00,1008.60,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87834.00,1024.68,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86851.00,1013.93,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86018.00,1003.00,0.20,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85074.00,993.83,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85973.00,1003.27,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85890.00,1002.04,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86261.00,1006.73,0.20,11.95,7.00,0.09,0.00,12.57
2025-03-24 07:46:46.870,85914.00,1002.69,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,84546.00,987.69,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,84751.00,990.04,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85536.00,998.70,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87082.00,1015.61,0.20,11.94,5.00,0.02,0.00,4.00
2025-03-24 07:46:46.870,88173.00,1030.08,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88320.00,1030.51,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88157.00,1028.87,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87409.00,1020.01,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86036.00,1004.68,0.21,11.96,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,85712.00,1001.53,0.21,11.97,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85975.00,1003.79,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85782.00,1001.64,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87864.00,1025.27,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87726.00,1023.22,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88216.00,1029.75,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88144.00,1027.93,0.19,11.94,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86164.00,1006.22,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85697.00,999.91,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85738.00,1000.98,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85704.00,1001.20,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85318.00,995.96,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86181.00,1005.91,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86428.00,1008.81,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,85400.00,996.69,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87637.00,1023.33,0.21,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87565.00,1022.22,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86644.00,1011.32,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87221.00,1018.31,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87269.00,1018.71,0.20,11.95,8.00,0.09,0.00,11.00
2025-03-24 07:46:46.870,87773.00,1024.50,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87804.00,1025.58,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,88318.00,1031.02,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87292.00,1018.36,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87044.00,1016.71,0.19,11.96,2.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,86875.00,1014.17,0.19,11.95,3.00,0.01,0.00,4.00
2025-03-24 07:46:46.870,87191.00,1017.71,0.19,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87126.73,1017.65,0.19,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86316.00,1007.79,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87450.00,1021.14,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87505.00,1021.08,0.20,11.95,1.00,0.00,0.00,4.00
2025-03-24 07:46:46.870,87552.00,1021.86,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86899.00,1014.20,0.21,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87133.00,1017.48,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87128.00,1016.96,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,87725.00,1023.50,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86442.00,1009.50,0.20,11.96,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86184.00,1006.00,0.20,11.95,0.00,0.00,0.00,0.00
2025-03-24 07:46:46.870,86091.00,1004.21,0.20,11.94,0.00,0.00,0.00,0.00
